dataset	ESMC-600	ProtBert	ESM2-8	ESM2-650	ESM2-35	ESM2-150	ESMC-300	ESM2-3B
SS3	"{""test_loss"": 0.7162322402000427, ""test_f1"": 0.6920446862992023, ""test_acc"": 0.7443453185545643, ""test_prec"": 0.7328448231029503, ""test_rec"": 0.6781957066256719, ""test_mcc"": 0.6351221937863187}"	"{""test_loss"": 0.8298373222351074, ""test_f1"": 0.643515023229438, ""test_acc"": 0.6949626025051816, ""test_prec"": 0.6764120954630249, ""test_rec"": 0.6324691940896713, ""test_mcc"": 0.5642200648792912}"	"{""test_loss"": 0.9875425696372986, ""test_f1"": 0.6280755451882956, ""test_acc"": 0.6807245201405785, ""test_prec"": 0.6779642417878429, ""test_rec"": 0.6172987229162514, ""test_mcc"": 0.5437735923667275}"	"{""test_loss"": 0.7207755446434021, ""test_f1"": 0.6928832346384874, ""test_acc"": 0.7447958907812923, ""test_prec"": 0.7319149095783833, ""test_rec"": 0.6798452686639425, ""test_mcc"": 0.6360264485561407}"	"{""test_loss"": 0.8592328429222107, ""test_f1"": 0.632100433671133, ""test_acc"": 0.6905469946832478, ""test_prec"": 0.6788445026182699, ""test_rec"": 0.6256664116955603, ""test_mcc"": 0.5588476438490434}"	"{""test_loss"": 0.7354750633239746, ""test_f1"": 0.6710520982817056, ""test_acc"": 0.7212760205460935, ""test_prec"": 0.7158823800085047, ""test_rec"": 0.6555193065418619, ""test_mcc"": 0.6014889595983958}"	"{""test_loss"": 0.7052789926528931, ""test_f1"": 0.6835643493606897, ""test_acc"": 0.7359646751374246, ""test_prec"": 0.7169544584723844, ""test_rec"": 0.6713919830952063, ""test_mcc"": 0.6232089857202193}"	"{""test_loss"": 0.7224740386009216, ""test_f1"": 0.7084554920553848, ""test_acc"": 0.7566909975669099, ""test_prec"": 0.7460808684486999, ""test_rec"": 0.693030951252092, ""test_mcc"": 0.6529910459193503}"
SS8	"{""test_loss"": 0.9980040788650513, ""test_f1"": 0.4798504626986903, ""test_acc"": 0.6576552221321078, ""test_prec"": 0.5603991360841432, ""test_rec"": 0.4572171228197183, ""test_mcc"": 0.5765586439181046}"	"{""test_loss"": 1.2331290245056152, ""test_f1"": 0.34603027259647634, ""test_acc"": 0.5771830224384968, ""test_prec"": 0.40267732468832196, ""test_rec"": 0.3453292360905073, ""test_mcc"": 0.47528044712703926}"	"{""test_loss"": 1.3638014793395996, ""test_f1"": 0.32625171242513024, ""test_acc"": 0.556997386681085, ""test_prec"": 0.38215139861299985, ""test_rec"": 0.32836763119282075, ""test_mcc"": 0.44823965101022883}"	"{""test_loss"": 1.111025333404541, ""test_f1"": 0.46776646840122726, ""test_acc"": 0.6366585563665855, ""test_prec"": 0.5363606669074688, ""test_rec"": 0.44700887609016626, ""test_mcc"": 0.5508244546238963}"	"{""test_loss"": 1.2671568393707275, ""test_f1"": 0.34340109860064144, ""test_acc"": 0.5763719924303866, ""test_prec"": 0.40299783527311744, ""test_rec"": 0.3423766238442595, ""test_mcc"": 0.4725499294859202}"	"{""test_loss"": 1.147682547569275, ""test_f1"": 0.4161421948285187, ""test_acc"": 0.6131386861313869, ""test_prec"": 0.5740333197075325, ""test_rec"": 0.39883208719766955, ""test_mcc"": 0.5206871734544798}"	"{""test_loss"": 1.1169129610061646, ""test_f1"": 0.43818417260977266, ""test_acc"": 0.6291790574029017, ""test_prec"": 0.5272931487191455, ""test_rec"": 0.420700786979389, ""test_mcc"": 0.5408412137070403}"	"{""test_loss"": 1.0707141160964966, ""test_f1"": 0.5030017628246106, ""test_acc"": 0.6500856087230783, ""test_prec"": 0.5515002360082196, ""test_rec"": 0.48502715334218294, ""test_mcc"": 0.568589833868204}"
