t,y
0.0,0.0
0.2,0.004
0.4,0.009
0.6,0.014
0.8,0.022
1.0,0.032
1.2,0.041
1.4,0.05
1.6,0.059
1.8,0.067
2.0,0.072
2.2,0.076
2.4,0.08
2.6,0.083
2.8,0.089
3.0,0.097
3.2,0.104
3.4,0.109
3.6,0.112
3.8,0.112
4.0,0.112
4.2,0.111
4.4,0.111
4.6,0.111
4.8,0.112
5.0,0.114
5.2,0.117
5.4,0.123
5.6,0.126
5.8,0.128
6.0,0.13
6.2,0.13
6.4,0.132
6.6,0.135
6.8,0.136
7.0,0.134
7.2,0.13
7.4,0.124
7.6,0.117
7.8,0.115
8.0,0.116
8.2,0.12
8.4,0.124
8.6,0.128
8.8,0.13
9.0,0.132
9.2,0.131
9.4,0.132
9.6,0.134
9.8,0.136
10.0,0.137
10.2,0.139
10.4,0.137
10.6,0.136
10.8,0.135
11.0,0.132
11.2,0.132
11.4,0.133
11.6,0.134
11.8,0.135
12.0,0.139
12.2,0.143
12.4,0.145
12.6,0.146
12.8,0.146
13.0,0.142
13.2,0.138
13.4,0.138
13.6,0.139
13.8,0.142
14.0,0.144
14.2,0.148
14.4,0.148
14.6,0.147
14.8,0.145
15.0,0.145
15.2,0.142
15.4,0.142
15.6,0.142
15.8,0.142
16.0,0.141
16.2,0.142
16.4,0.144
16.6,0.146
16.8,0.148
17.0,0.151
17.2,0.153
17.4,0.153
17.6,0.155
17.8,0.154
18.0,0.153
18.2,0.154
18.4,0.153
18.6,0.155
18.8,0.154
19.0,0.154
19.2,0.152
19.4,0.15
19.6,0.147
19.8,0.146
20.0,0.148
20.2,0.149
20.4,0.15
20.6,0.15
20.8,0.154
21.0,0.155
21.2,0.156
21.4,0.154
21.6,0.152
21.8,0.147
22.0,0.145
22.2,0.146
22.4,0.149
22.6,0.148
22.8,0.148
23.0,0.148
23.2,0.147
23.4,0.147
23.6,0.15
23.8,0.153
24.0,0.154
24.2,0.155
24.4,0.154
24.6,0.152
24.8,0.151
25.0,0.151
25.2,0.15
25.4,0.148
25.6,0.15
25.8,0.151
26.0,0.149
26.2,0.148
26.4,0.15
26.6,0.149
26.8,0.15
27.0,0.151
27.2,0.154
27.4,0.157
27.6,0.16
27.8,0.159
28.0,0.157
28.2,0.156
28.4,0.152
28.6,0.148
28.8,0.146
29.0,0.147
29.2,0.147
29.4,0.147
29.6,0.149
29.8,0.15
30.0,0.15
30.2,0.15
30.4,0.151
30.6,0.152
30.8,0.153
31.0,0.153
31.2,0.15
31.4,0.148
31.6,0.148
31.8,0.147
32.0,0.149
32.2,0.152
32.4,0.155
32.6,0.156
32.8,0.157
33.0,0.157
33.2,0.159
33.4,0.158
33.6,0.156
33.8,0.153
34.0,0.151
34.2,0.149
34.4,0.148
34.6,0.149
34.8,0.15
35.0,0.151
35.2,0.151
35.4,0.151
35.6,0.151
35.8,0.151
36.0,0.15
36.2,0.149
36.4,0.149
36.6,0.151
36.8,0.154
37.0,0.155
37.2,0.155
37.4,0.154
37.6,0.153
37.8,0.15
38.0,0.15
38.2,0.148
38.4,0.148
38.6,0.148
38.8,0.148
39.0,0.146
39.2,0.146
39.4,0.146
39.6,0.146
39.8,0.149
40.0,0.154
40.2,0.158
40.4,0.163
40.6,0.166
40.8,0.166
41.0,0.163
41.2,0.162
41.4,0.158
41.6,0.156
41.8,0.154
42.0,0.156
42.2,0.156
42.4,0.156
42.6,0.155
42.8,0.154
43.0,0.155
43.2,0.157
43.4,0.159
43.6,0.16
43.8,0.161
44.0,0.158
44.2,0.154
44.4,0.15
44.6,0.149
44.8,0.147
45.0,0.148
45.2,0.15
45.4,0.151
