t,y
0.0,0.0
0.2,0.001
0.4,0.002
0.6,0.003
0.8,0.003
1.0,0.005
1.2,0.008
1.4,0.011
1.6,0.012
1.8,0.013
2.0,0.011
2.2,0.009
2.4,0.008
2.6,0.007
2.8,0.006
3.0,0.01
3.2,0.012
3.4,0.015
3.6,0.016
3.8,0.017
4.0,0.015
4.2,0.012
4.4,0.01
4.6,0.01
4.8,0.011
5.0,0.012
5.2,0.013
5.4,0.013
5.6,0.011
5.8,0.009
6.0,0.008
6.2,0.009
6.4,0.01
6.6,0.012
6.8,0.014
7.0,0.015
7.2,0.014
7.4,0.014
7.6,0.011
7.8,0.009
8.0,0.006
8.2,0.006
8.4,0.006
8.6,0.008
8.8,0.007
9.0,0.008
9.2,0.009
9.4,0.007
9.6,0.006
9.8,0.008
10.0,0.011
10.2,0.012
10.4,0.013
10.6,0.012
10.8,0.012
11.0,0.009
11.2,0.008
11.4,0.007
11.6,0.009
11.8,0.011
12.0,0.012
12.2,0.012
12.4,0.013
12.6,0.014
12.8,0.013
13.0,0.013
13.2,0.014
13.4,0.014
13.6,0.015
13.8,0.013
14.0,0.012
14.2,0.01
14.4,0.009
14.6,0.006
14.8,0.008
15.0,0.011
15.2,0.012
15.4,0.011
15.6,0.01
15.8,0.009
16.0,0.007
16.2,0.008
16.4,0.01
16.6,0.012
16.8,0.011
17.0,0.01
17.2,0.008
17.4,0.006
17.6,0.007
17.8,0.008
18.0,0.011
18.2,0.013
18.4,0.012
18.6,0.01
18.8,0.009
19.0,0.007
19.2,0.008
19.4,0.01
19.6,0.013
19.8,0.013
20.0,0.012
20.2,0.011
20.4,0.009
20.6,0.008
20.8,0.007
21.0,0.009
21.2,0.011
21.4,0.011
21.6,0.011
21.8,0.01
22.0,0.009
22.2,0.008
22.4,0.008
22.6,0.007
22.8,0.009
23.0,0.01
23.2,0.011
23.4,0.013
23.6,0.012
23.8,0.01
24.0,0.008
24.2,0.009
24.4,0.008
24.6,0.008
24.8,0.009
25.0,0.008
25.2,0.007
25.4,0.006
25.6,0.006
25.8,0.006
26.0,0.008
26.2,0.008
26.4,0.008
26.6,0.008
26.8,0.008
27.0,0.008
27.2,0.009
27.4,0.01
27.6,0.01
27.8,0.011
28.0,0.01
28.2,0.007
28.4,0.006
28.6,0.006
28.8,0.007
29.0,0.009
29.2,0.011
29.4,0.011
29.6,0.011
29.8,0.011
30.0,0.012
30.2,0.012
30.4,0.011
30.6,0.011
30.8,0.012
31.0,0.011
31.2,0.009
31.4,0.009
31.6,0.008
31.8,0.006
32.0,0.005
32.2,0.006
32.4,0.007
32.6,0.008
32.8,0.01
33.0,0.011
33.2,0.011
33.4,0.011
33.6,0.01
33.8,0.008
34.0,0.008
34.2,0.009
34.4,0.011
34.6,0.012
34.8,0.015
35.0,0.015
35.2,0.013
35.4,0.011
35.6,0.011
35.8,0.01
36.0,0.01
36.2,0.011
36.4,0.012
36.6,0.011
36.8,0.01
37.0,0.011
37.2,0.012
37.4,0.014
37.6,0.015
37.8,0.015
38.0,0.014
38.2,0.011
38.4,0.006
38.6,0.006
38.8,0.006
39.0,0.007
39.2,0.009
39.4,0.012
39.6,0.012
39.8,0.012
40.0,0.012
40.2,0.013
40.4,0.015
40.6,0.015
40.8,0.013
41.0,0.011
41.2,0.007
41.4,0.004
41.6,0.004
41.8,0.005
42.0,0.01
42.2,0.013
42.4,0.016
42.6,0.017
42.8,0.018
43.0,0.016
43.2,0.016
43.4,0.015
43.6,0.017
43.8,0.017
44.0,0.017
44.2,0.014
44.4,0.012
44.6,0.008
44.8,0.007
45.0,0.007
45.2,0.007
45.4,0.009
45.6,0.01
45.8,0.011
46.0,0.011
46.2,0.012
46.4,0.012
46.6,0.011
46.8,0.011
47.0,0.011
47.2,0.011
47.4,0.014
47.6,0.016
47.8,0.014
48.0,0.013
48.2,0.012
48.4,0.011
48.6,0.009
48.8,0.009
49.0,0.01
49.2,0.01
49.4,0.008
49.6,0.007
49.8,0.006
50.0,0.006
50.2,0.007
50.4,0.01
50.6,0.012
50.8,0.014
51.0,0.015
51.2,0.014
51.4,0.013
51.6,0.013
51.8,0.011
52.0,0.008
52.2,0.007
52.4,0.006
52.6,0.007
52.8,0.008
53.0,0.011
53.2,0.013
53.4,0.012
53.6,0.011
53.8,0.01
54.0,0.009
54.2,0.009
54.4,0.01
54.6,0.011
54.8,0.009
55.0,0.007
55.2,0.004
55.4,0.003
55.6,0.004
55.8,0.007
56.0,0.008
56.2,0.009
56.4,0.009
56.6,0.009
56.8,0.008
57.0,0.008
57.2,0.007
57.4,0.008
57.6,0.008
57.8,0.008
58.0,0.008
58.2,0.01
58.4,0.01
58.6,0.01
58.8,0.01
59.0,0.011
59.2,0.011
59.4,0.011
59.6,0.009
59.8,0.009
60.0,0.009
60.2,0.008
60.4,0.008
60.6,0.008
60.8,0.007
61.0,0.007
61.2,0.008
61.4,0.009
61.6,0.012
61.8,0.013
62.0,0.013
62.2,0.014
62.4,0.014
62.6,0.014
62.8,0.015
63.0,0.017
63.2,0.015
63.4,0.012
63.6,0.008
63.8,0.007
64.0,0.005
64.2,0.006
64.4,0.009
64.6,0.013
64.8,0.012
65.0,0.012
65.2,0.013
