t,y
0.0,0.0
0.2,0.0
0.4,0.003
0.6,0.007
0.8,0.011
1.0,0.016
1.2,0.018
1.4,0.018
1.6,0.015
1.8,0.014
2.0,0.014
2.2,0.016
2.4,0.018
2.6,0.019
2.8,0.02
3.0,0.021
3.2,0.02
3.4,0.021
3.6,0.024
3.8,0.026
4.0,0.027
4.2,0.026
4.4,0.024
4.6,0.02
4.8,0.018
5.0,0.017
5.2,0.017
5.4,0.018
5.6,0.02
5.8,0.02
6.0,0.022
6.2,0.025
6.4,0.027
6.6,0.027
6.8,0.027
7.0,0.026
7.2,0.023
7.4,0.019
7.6,0.015
7.8,0.013
8.0,0.014
8.2,0.016
8.4,0.02
8.6,0.025
8.8,0.028
9.0,0.029
9.2,0.028
9.4,0.026
9.6,0.025
9.8,0.023
10.0,0.022
10.2,0.023
10.4,0.024
10.6,0.023
10.8,0.022
11.0,0.02
11.2,0.018
11.4,0.019
11.6,0.02
11.8,0.025
12.0,0.03
12.2,0.032
12.4,0.031
12.6,0.03
12.8,0.025
13.0,0.022
13.2,0.022
13.4,0.023
13.6,0.022
13.8,0.022
14.0,0.023
14.2,0.024
14.4,0.023
14.6,0.023
14.8,0.022
15.0,0.02
15.2,0.02
15.4,0.021
15.6,0.023
15.8,0.025
16.0,0.027
16.2,0.027
16.4,0.028
16.6,0.027
16.8,0.026
17.0,0.025
17.2,0.023
17.4,0.023
17.6,0.024
17.8,0.025
18.0,0.027
18.2,0.028
18.4,0.028
18.6,0.029
18.8,0.032
19.0,0.033
19.2,0.033
19.4,0.035
19.6,0.034
19.8,0.032
20.0,0.03
20.2,0.027
20.4,0.025
20.6,0.023
20.8,0.023
21.0,0.024
21.2,0.023
21.4,0.022
21.6,0.02
21.8,0.018
22.0,0.017
22.2,0.02
22.4,0.024
22.6,0.028
22.8,0.027
23.0,0.028
23.2,0.028
23.4,0.027
23.6,0.026
23.8,0.029
24.0,0.03
24.2,0.03
24.4,0.03
24.6,0.029
