t,y
0.0,0.0
0.2,-0.0
0.4,0.0
0.6,0.003
0.8,0.003
1.0,0.003
1.2,0.002
1.4,0.001
1.6,0.0
1.8,-0.0
2.0,0.0
2.2,0.0
2.4,0.001
2.6,0.002
2.8,0.005
3.0,0.009
3.2,0.013
3.4,0.014
3.6,0.014
3.8,0.012
4.0,0.007
4.2,0.004
4.4,0.001
4.6,0.002
4.8,0.002
5.0,0.003
5.2,0.002
5.4,0.002
5.6,0.001
5.8,0.001
6.0,0.002
6.2,0.004
6.4,0.006
6.6,0.007
6.8,0.009
7.0,0.01
7.2,0.01
7.4,0.008
7.6,0.007
7.8,0.006
8.0,0.005
8.2,0.004
8.4,0.004
8.6,0.006
8.8,0.005
9.0,0.005
9.2,0.006
9.4,0.007
9.6,0.006
9.8,0.005
10.0,0.005
10.2,0.007
10.4,0.006
10.6,0.008
10.8,0.01
11.0,0.013
11.2,0.015
11.4,0.015
11.6,0.015
11.8,0.014
12.0,0.012
12.2,0.009
12.4,0.007
12.6,0.005
12.8,0.003
13.0,0.001
13.2,0.001
13.4,0.002
13.6,0.005
13.8,0.008
14.0,0.012
14.2,0.014
14.4,0.016
14.6,0.015
14.8,0.014
15.0,0.011
15.2,0.01
15.4,0.009
15.6,0.007
15.8,0.007
16.0,0.007
16.2,0.009
16.4,0.008
16.6,0.01
16.8,0.01
17.0,0.011
17.2,0.009
17.4,0.009
17.6,0.009
17.8,0.009
18.0,0.008
18.2,0.008
18.4,0.007
18.6,0.007
18.8,0.005
19.0,0.003
19.2,0.001
19.4,0.0
19.6,0.0
19.8,0.002
20.0,0.005
20.2,0.006
20.4,0.007
20.6,0.008
20.8,0.008
21.0,0.008
21.2,0.008
21.4,0.008
21.6,0.008
21.8,0.005
22.0,0.005
22.2,0.003
22.4,0.003
22.6,0.003
22.8,0.006
23.0,0.007
23.2,0.011
23.4,0.012
23.6,0.013
23.8,0.013
24.0,0.013
24.2,0.011
24.4,0.009
24.6,0.008
