t,y
0.0,0.0
0.2,0.007
0.4,0.016
0.6,0.033
0.8,0.053
1.0,0.076
1.2,0.101
1.4,0.127
1.6,0.154
1.8,0.183
2.0,0.212
2.2,0.241
2.4,0.269
2.6,0.297
2.8,0.322
3.0,0.348
3.2,0.375
3.4,0.403
3.6,0.43
3.8,0.456
4.0,0.48
4.2,0.504
4.4,0.527
4.6,0.551
4.8,0.576
5.0,0.601
5.2,0.626
5.4,0.649
5.6,0.671
5.8,0.694
6.0,0.716
6.2,0.741
6.4,0.766
6.6,0.793
6.8,0.817
7.0,0.839
7.2,0.859
7.4,0.878
7.6,0.897
7.8,0.918
8.0,0.939
8.2,0.958
8.4,0.976
8.6,0.994
8.8,1.01
9.0,1.026
9.2,1.044
9.4,1.061
9.6,1.074
9.8,1.088
10.0,1.101
10.2,1.114
10.4,1.128
10.6,1.143
10.8,1.158
11.0,1.172
11.2,1.186
11.4,1.2
11.6,1.213
11.8,1.228
12.0,1.242
12.2,1.254
12.4,1.268
12.6,1.28
12.8,1.291
13.0,1.3
13.2,1.31
13.4,1.32
13.6,1.332
13.8,1.342
14.0,1.353
14.2,1.362
14.4,1.366
14.6,1.368
14.8,1.371
15.0,1.374
15.2,1.379
15.4,1.387
15.6,1.398
15.8,1.409
16.0,1.416
16.2,1.423
16.4,1.43
16.6,1.436
16.8,1.44
17.0,1.448
17.2,1.456
17.4,1.463
17.6,1.471
17.8,1.479
18.0,1.488
18.2,1.495
18.4,1.502
18.6,1.506
18.8,1.509
19.0,1.511
19.2,1.514
19.4,1.517
19.6,1.521
19.8,1.527
20.0,1.532
20.2,1.536
20.4,1.54
20.6,1.544
20.8,1.547
21.0,1.551
21.2,1.555
21.4,1.559
21.6,1.562
21.8,1.565
22.0,1.566
22.2,1.566
22.4,1.566
22.6,1.568
22.8,1.568
23.0,1.571
23.2,1.576
23.4,1.58
23.6,1.581
23.8,1.579
24.0,1.579
24.2,1.58
24.4,1.583
24.6,1.588
24.8,1.593
25.0,1.597
25.2,1.597
25.4,1.596
25.6,1.596
25.8,1.599
26.0,1.602
26.2,1.605
26.4,1.607
26.6,1.609
26.8,1.61
27.0,1.611
27.2,1.616
27.4,1.619
27.6,1.623
27.8,1.628
28.0,1.631
28.2,1.633
28.4,1.634
28.6,1.636
28.8,1.636
29.0,1.637
29.2,1.637
29.4,1.639
29.6,1.64
29.8,1.64
30.0,1.64
30.2,1.64
30.4,1.64
30.6,1.64
30.8,1.643
31.0,1.646
31.2,1.647
31.4,1.648
31.6,1.649
31.8,1.651
32.0,1.651
32.2,1.652
32.4,1.652
32.6,1.653
32.8,1.651
33.0,1.652
33.2,1.654
33.4,1.657
33.6,1.659
33.8,1.66
34.0,1.66
34.2,1.659
34.4,1.659
34.6,1.66
34.8,1.662
35.0,1.663
35.2,1.664
35.4,1.663
35.6,1.663
35.8,1.663
36.0,1.665
36.2,1.664
36.4,1.665
36.6,1.666
36.8,1.667
37.0,1.668
37.2,1.67
37.4,1.672
37.6,1.673
37.8,1.674
38.0,1.673
38.2,1.673
38.4,1.675
38.6,1.677
38.8,1.678
39.0,1.681
39.2,1.686
39.4,1.689
39.6,1.689
39.8,1.688
40.0,1.686
40.2,1.683
40.4,1.684
40.6,1.685
40.8,1.687
41.0,1.686
41.2,1.686
41.4,1.684
41.6,1.683
41.8,1.684
42.0,1.686
42.2,1.688
42.4,1.688
42.6,1.687
42.8,1.686
43.0,1.684
43.2,1.682
43.4,1.683
43.6,1.685
43.8,1.688
44.0,1.691
44.2,1.693
44.4,1.693
44.6,1.693
44.8,1.692
45.0,1.693
45.2,1.696
45.4,1.7
45.6,1.704
45.8,1.706
46.0,1.706
46.2,1.707
46.4,1.709
46.6,1.707
46.8,1.705
47.0,1.705
47.2,1.703
47.4,1.699
47.6,1.698
47.8,1.701
48.0,1.702
48.2,1.702
48.4,1.702
48.6,1.703
48.8,1.701
49.0,1.701
49.2,1.702
49.4,1.704
49.6,1.704
49.8,1.704
50.0,1.705
50.2,1.703
50.4,1.704
50.6,1.704
50.8,1.706
51.0,1.706
51.2,1.709
51.4,1.711
51.6,1.713
51.8,1.712
52.0,1.713
52.2,1.713
52.4,1.713
52.6,1.713
52.8,1.717
53.0,1.717
53.2,1.715
53.4,1.712
53.6,1.709
53.8,1.706
54.0,1.706
54.2,1.706
54.4,1.709
54.6,1.709
54.8,1.708
55.0,1.707
55.2,1.708
55.4,1.71
55.6,1.713
55.8,1.716
56.0,1.717
56.2,1.717
56.4,1.715
56.6,1.712
56.8,1.712
57.0,1.715
57.2,1.716
57.4,1.716
57.6,1.717
57.8,1.717
58.0,1.717
58.2,1.719
58.4,1.721
58.6,1.724
58.8,1.725
59.0,1.726
59.2,1.725
59.4,1.726
59.6,1.725
59.8,1.724
60.0,1.724
60.2,1.724
60.4,1.724
60.6,1.724
60.8,1.724
61.0,1.723
61.2,1.725
61.4,1.726
61.6,1.726
61.8,1.727
62.0,1.726
62.2,1.725
62.4,1.724
62.6,1.723
62.8,1.723
63.0,1.723
63.2,1.723
63.4,1.723
63.6,1.724
63.8,1.727
64.0,1.73
64.2,1.731
64.4,1.732
64.6,1.731
64.8,1.73
65.0,1.727
65.2,1.727
65.4,1.727
65.6,1.728
65.8,1.729
66.0,1.731
66.2,1.731
66.4,1.73
66.6,1.728
66.8,1.728
67.0,1.728
67.2,1.73
67.4,1.733
67.6,1.735
67.8,1.736
68.0,1.737
68.2,1.736
68.4,1.734
68.6,1.733
68.8,1.733
69.0,1.736
69.2,1.739
69.4,1.74
69.6,1.74
69.8,1.738
70.0,1.735
70.2,1.734
70.4,1.735
70.6,1.735
70.8,1.736
71.0,1.737
71.2,1.736
71.4,1.735
71.6,1.737
71.8,1.739
72.0,1.739
72.2,1.737
72.4,1.737
72.6,1.738
72.8,1.74
73.0,1.741
73.2,1.741
73.4,1.741
73.6,1.74
73.8,1.737
74.0,1.733
74.2,1.733
74.4,1.731
74.6,1.73
74.8,1.732
75.0,1.735
75.2,1.736
75.4,1.737
75.6,1.735
75.8,1.734
76.0,1.735
76.2,1.739
76.4,1.742
76.6,1.746
76.8,1.747
77.0,1.745
77.2,1.74
77.4,1.736
77.6,1.733
77.8,1.731
78.0,1.731
78.2,1.731
78.4,1.733
78.6,1.736
78.8,1.739
79.0,1.741
79.2,1.745
79.4,1.747
79.6,1.749
79.8,1.751
80.0,1.752
80.2,1.75
80.4,1.748
80.6,1.746
80.8,1.744
81.0,1.743
81.2,1.743
81.4,1.742
81.6,1.742
81.8,1.74
82.0,1.737
82.2,1.735
82.4,1.733
82.6,1.731
82.8,1.732
83.0,1.735
83.2,1.74
83.4,1.742
83.6,1.745
83.8,1.744
84.0,1.743
84.2,1.741
84.4,1.743
84.6,1.744
84.8,1.748
85.0,1.75
85.2,1.751
85.4,1.752
85.6,1.752
85.8,1.752
86.0,1.752
86.2,1.753
86.4,1.753
86.6,1.753
86.8,1.754
87.0,1.752
87.2,1.748
87.4,1.745
87.6,1.744
87.8,1.744
88.0,1.743
88.2,1.744
88.4,1.746
88.6,1.748
88.8,1.75
89.0,1.75
89.2,1.75
89.4,1.749
89.6,1.748
89.8,1.748
90.0,1.749
90.2,1.752
90.4,1.753
90.6,1.752
90.8,1.75
91.0,1.75
91.2,1.75
91.4,1.749
91.6,1.75
91.8,1.751
92.0,1.75
92.2,1.748
92.4,1.748
92.6,1.749
92.8,1.75
93.0,1.751
93.2,1.752
93.4,1.753
93.6,1.752
93.8,1.751
94.0,1.75
94.2,1.751
94.4,1.751
94.6,1.751
94.8,1.751
95.0,1.752
95.2,1.75
95.4,1.749
95.6,1.748
95.8,1.748
96.0,1.746
96.2,1.745
96.4,1.746
96.6,1.746
96.8,1.746
97.0,1.745
97.2,1.742
97.4,1.741
97.6,1.743
97.8,1.743
98.0,1.746
98.2,1.75
98.4,1.752
98.6,1.75
98.8,1.751
99.0,1.751
99.2,1.752
99.4,1.752
99.6,1.754
99.8,1.756
100.0,1.757
100.2,1.756
100.4,1.757
100.6,1.756
100.8,1.755
101.0,1.756
101.2,1.757
101.4,1.757
101.6,1.755
101.8,1.754
102.0,1.751
102.2,1.751
102.4,1.753
102.6,1.756
102.8,1.759
103.0,1.763
103.2,1.765
103.4,1.764
103.6,1.765
103.8,1.764
104.0,1.763
104.2,1.762
104.4,1.76
104.6,1.758
104.8,1.758
105.0,1.759
105.2,1.761
105.4,1.766
105.6,1.769
105.8,1.769
106.0,1.767
106.2,1.762
106.4,1.756
106.6,1.753
106.8,1.753
107.0,1.755
107.2,1.758
107.4,1.761
107.6,1.761
107.8,1.759
108.0,1.757
108.2,1.758
108.4,1.759
108.6,1.759
108.8,1.761
109.0,1.761
109.2,1.76
109.4,1.758
109.6,1.761
109.8,1.762
110.0,1.762
110.2,1.762
110.4,1.762
110.6,1.76
110.8,1.758
111.0,1.759
111.2,1.758
111.4,1.758
111.6,1.759
111.8,1.762
112.0,1.765
112.2,1.768
112.4,1.771
112.6,1.774
112.8,1.776
113.0,1.776
113.2,1.776
113.4,1.774
113.6,1.772
113.8,1.772
114.0,1.773
114.2,1.773
114.4,1.773
114.6,1.773
114.8,1.771
115.0,1.771
115.2,1.771
115.4,1.77
115.6,1.77
115.8,1.769
116.0,1.767
116.2,1.763
116.4,1.764
116.6,1.765
116.8,1.767
117.0,1.77
117.2,1.773
117.4,1.772
117.6,1.771
117.8,1.77
118.0,1.768
118.2,1.768
118.4,1.768
118.6,1.769
118.8,1.769
119.0,1.768
119.2,1.767
119.4,1.767
119.6,1.766
119.8,1.766
120.0,1.765
120.2,1.764
120.4,1.764
120.6,1.765
120.8,1.768
121.0,1.77
121.2,1.772
121.4,1.773
121.6,1.773
121.8,1.773
122.0,1.774
122.2,1.776
122.4,1.777
122.6,1.777
122.8,1.778
123.0,1.778
123.2,1.776
123.4,1.776
123.6,1.775
123.8,1.776
124.0,1.772
124.2,1.772
124.4,1.771
124.6,1.772
124.8,1.772
125.0,1.774
125.2,1.777
125.4,1.779
125.6,1.779
125.8,1.781
126.0,1.785
126.2,1.786
126.4,1.787
126.6,1.788
126.8,1.787
127.0,1.784
127.2,1.782
127.4,1.78
127.6,1.777
127.8,1.773
128.0,1.772
128.2,1.772
128.4,1.772
128.6,1.773
128.8,1.776
129.0,1.778
129.2,1.779
129.4,1.779
129.6,1.779
129.8,1.78
130.0,1.78
130.2,1.779
130.4,1.781
130.6,1.781
130.8,1.781
131.0,1.78
131.2,1.782
131.4,1.784
131.6,1.785
131.8,1.785
132.0,1.784
132.2,1.783
132.4,1.781
132.6,1.782
132.8,1.782
133.0,1.781
133.2,1.78
133.4,1.779
133.6,1.778
133.8,1.778
134.0,1.779
134.2,1.782
134.4,1.786
134.6,1.786
134.8,1.787
135.0,1.788
135.2,1.788
135.4,1.787
135.6,1.788
135.8,1.788
136.0,1.79
136.2,1.788
136.4,1.785
136.6,1.782
136.8,1.78
137.0,1.776
137.2,1.776
137.4,1.777
137.6,1.778
137.8,1.778
138.0,1.78
138.2,1.78
138.4,1.782
138.6,1.783
138.8,1.786
139.0,1.787
139.2,1.788
139.4,1.786
139.6,1.785
139.8,1.784
140.0,1.783
140.2,1.782
140.4,1.784
140.6,1.787
140.8,1.79
141.0,1.789
141.2,1.79
141.4,1.79
141.6,1.787
141.8,1.782
142.0,1.781
142.2,1.781
142.4,1.779
142.6,1.78
142.8,1.781
143.0,1.783
143.2,1.782
143.4,1.784
143.6,1.786
143.8,1.788
144.0,1.788
144.2,1.788
144.4,1.788
144.6,1.788
144.8,1.79
145.0,1.791
145.2,1.791
145.4,1.79
145.6,1.79
145.8,1.793
146.0,1.795
146.2,1.797
146.4,1.796
146.6,1.794
146.8,1.791
147.0,1.79
147.2,1.79
147.4,1.793
147.6,1.794
147.8,1.794
148.0,1.791
148.2,1.79
148.4,1.79
148.6,1.79
148.8,1.789
149.0,1.79
149.2,1.789
149.4,1.786
149.6,1.783
149.8,1.781
150.0,1.782
150.2,1.785
150.4,1.788
150.6,1.791
150.8,1.794
151.0,1.794
151.2,1.794
151.4,1.793
151.6,1.793
151.8,1.792
152.0,1.79
152.2,1.79
152.4,1.79
152.6,1.791
152.8,1.792
153.0,1.793
153.2,1.791
153.4,1.789
153.6,1.786
153.8,1.785
154.0,1.785
154.2,1.787
154.4,1.789
154.6,1.79
154.8,1.791
155.0,1.792
155.2,1.794
155.4,1.796
155.6,1.799
155.8,1.8
156.0,1.802
156.2,1.801
156.4,1.802
156.6,1.8
156.8,1.799
157.0,1.797
157.2,1.797
157.4,1.796
157.6,1.797
157.8,1.798
158.0,1.798
158.2,1.797
158.4,1.796
158.6,1.796
158.8,1.795
159.0,1.794
159.2,1.793
159.4,1.793
159.6,1.792
159.8,1.791
160.0,1.791
160.2,1.793
160.4,1.793
160.6,1.795
160.8,1.798
161.0,1.8
161.2,1.801
161.4,1.801
161.6,1.803
161.8,1.802
162.0,1.802
162.2,1.802
162.4,1.8
162.6,1.798
162.8,1.797
163.0,1.798
163.2,1.798
163.4,1.8
163.6,1.802
163.8,1.801
164.0,1.802
164.2,1.802
164.4,1.8
164.6,1.799
164.8,1.799
165.0,1.798
165.2,1.796
165.4,1.796
165.6,1.796
165.8,1.796
166.0,1.799
166.2,1.802
166.4,1.804
166.6,1.804
166.8,1.804
167.0,1.802
167.2,1.801
167.4,1.802
167.6,1.801
167.8,1.799
168.0,1.798
168.2,1.797
168.4,1.796
168.6,1.794
168.8,1.795
169.0,1.794
169.2,1.794
169.4,1.794
169.6,1.795
169.8,1.796
170.0,1.798
170.2,1.801
170.4,1.805
170.6,1.809
170.8,1.81
171.0,1.81
171.2,1.808
171.4,1.805
171.6,1.803
171.8,1.801
172.0,1.799
172.2,1.8
172.4,1.802
172.6,1.803
172.8,1.805
173.0,1.806
173.2,1.805
173.4,1.804
173.6,1.803
173.8,1.804
174.0,1.806
174.2,1.807
174.4,1.807
174.6,1.807
174.8,1.807
175.0,1.806
175.2,1.806
175.4,1.808
175.6,1.808
175.8,1.808
176.0,1.809
176.2,1.809
176.4,1.81
176.6,1.81
176.8,1.809
177.0,1.808
177.2,1.806
177.4,1.806
177.6,1.805
177.8,1.805
178.0,1.805
178.2,1.806
178.4,1.805
178.6,1.803
178.8,1.803
179.0,1.805
179.2,1.807
179.4,1.808
179.6,1.81
179.8,1.81
180.0,1.807
180.2,1.802
180.4,1.8
180.6,1.801
180.8,1.802
181.0,1.802
181.2,1.805
181.4,1.807
181.6,1.808
181.8,1.808
182.0,1.809
182.2,1.807
182.4,1.808
182.6,1.808
182.8,1.81
183.0,1.812
183.2,1.814
183.4,1.813
183.6,1.81
183.8,1.807
184.0,1.805
184.2,1.804
184.4,1.806
184.6,1.808
184.8,1.809
185.0,1.811
185.2,1.809
185.4,1.808
185.6,1.805
185.8,1.804
186.0,1.803
186.2,1.803
186.4,1.805
186.6,1.808
186.8,1.808
187.0,1.807
187.2,1.806
187.4,1.803
187.6,1.8
187.8,1.802
188.0,1.803
188.2,1.806
188.4,1.809
188.6,1.811
188.8,1.812
189.0,1.813
189.2,1.814
189.4,1.814
189.6,1.814
189.8,1.814
190.0,1.812
190.2,1.809
190.4,1.809
190.6,1.808
190.8,1.807
191.0,1.806
191.2,1.806
191.4,1.805
191.6,1.803
191.8,1.804
192.0,1.804
192.2,1.805
192.4,1.808
192.6,1.812
192.8,1.814
193.0,1.816
193.2,1.817
193.4,1.817
193.6,1.819
193.8,1.82
194.0,1.821
194.2,1.821
194.4,1.82
194.6,1.818
194.8,1.817
195.0,1.816
195.2,1.814
195.4,1.814
195.6,1.812
195.8,1.811
196.0,1.81
196.2,1.811
196.4,1.811
196.6,1.811
196.8,1.811
197.0,1.812
197.2,1.813
197.4,1.814
197.6,1.815
197.8,1.816
198.0,1.816
198.2,1.816
198.4,1.816
198.6,1.816
198.8,1.817
199.0,1.817
199.2,1.814
199.4,1.812
199.6,1.813
199.8,1.814
200.0,1.815
200.2,1.818
200.4,1.82
200.6,1.819
200.8,1.818
201.0,1.818
201.2,1.818
201.4,1.819
201.6,1.819
201.8,1.819
202.0,1.818
202.2,1.819
202.4,1.819
202.6,1.82
202.8,1.82
203.0,1.818
203.2,1.816
203.4,1.814
203.6,1.814
203.8,1.814
204.0,1.816
204.2,1.817
204.4,1.82
204.6,1.821
204.8,1.824
205.0,1.825
205.2,1.825
205.4,1.824
205.6,1.823
205.8,1.823
206.0,1.823
206.2,1.823
206.4,1.821
206.6,1.82
206.8,1.819
207.0,1.82
207.2,1.82
207.4,1.822
207.6,1.823
207.8,1.823
208.0,1.824
208.2,1.825
208.4,1.824
208.6,1.825
208.8,1.827
209.0,1.826
209.2,1.825
209.4,1.825
209.6,1.823
209.8,1.82
210.0,1.819
210.2,1.819
210.4,1.82
210.6,1.821
210.8,1.822
211.0,1.822
211.2,1.822
211.4,1.822
211.6,1.822
211.8,1.823
212.0,1.824
212.2,1.824
212.4,1.822
212.6,1.822
212.8,1.823
213.0,1.824
213.2,1.826
213.4,1.827
213.6,1.828
213.8,1.828
214.0,1.827
214.2,1.828
214.4,1.827
214.6,1.827
214.8,1.827
215.0,1.826
215.2,1.825
215.4,1.826
215.6,1.826
215.8,1.826
216.0,1.826
216.2,1.826
216.4,1.826
216.6,1.827
216.8,1.828
217.0,1.828
217.2,1.83
217.4,1.831
217.6,1.832
217.8,1.832
218.0,1.832
218.2,1.83
218.4,1.827
218.6,1.824
218.8,1.823
219.0,1.822
219.2,1.823
219.4,1.824
219.6,1.824
219.8,1.827
220.0,1.83
220.2,1.832
220.4,1.833
220.6,1.834
220.8,1.832
221.0,1.83
221.2,1.827
221.4,1.828
221.6,1.828
221.8,1.829
222.0,1.83
222.2,1.831
222.4,1.832
222.6,1.833
222.8,1.833
223.0,1.831
223.2,1.829
223.4,1.828
223.6,1.827
223.8,1.827
224.0,1.827
224.2,1.826
224.4,1.826
224.6,1.826
224.8,1.825
225.0,1.826
225.2,1.828
225.4,1.831
225.6,1.833
225.8,1.834
226.0,1.833
226.2,1.833
226.4,1.83
226.6,1.83
226.8,1.832
227.0,1.835
227.2,1.836
227.4,1.838
227.6,1.838
227.8,1.836
228.0,1.833
228.2,1.832
228.4,1.83
228.6,1.828
228.8,1.827
229.0,1.826
229.2,1.825
229.4,1.826
229.6,1.825
229.8,1.824
230.0,1.825
230.2,1.826
230.4,1.827
230.6,1.829
230.8,1.832
231.0,1.835
231.2,1.837
231.4,1.839
231.6,1.839
231.8,1.837
232.0,1.834
232.2,1.831
232.4,1.828
232.6,1.827
232.8,1.827
233.0,1.828
233.2,1.829
233.4,1.828
233.6,1.826
233.8,1.825
234.0,1.825
234.2,1.825
234.4,1.828
234.6,1.833
234.8,1.836
235.0,1.835
235.2,1.834
235.4,1.833
235.6,1.833
235.8,1.834
236.0,1.837
236.2,1.838
236.4,1.84
236.6,1.84
236.8,1.839
237.0,1.838
237.2,1.838
237.4,1.838
237.6,1.838
237.8,1.839
238.0,1.841
238.2,1.842
238.4,1.842
238.6,1.841
238.8,1.839
239.0,1.835
239.2,1.832
239.4,1.831
239.6,1.83
239.8,1.832
240.0,1.835
240.2,1.838
240.4,1.84
240.6,1.841
240.8,1.841
241.0,1.841
241.2,1.841
241.4,1.84
241.6,1.839
241.8,1.838
242.0,1.837
242.2,1.835
242.4,1.834
242.6,1.833
242.8,1.834
243.0,1.836
243.2,1.836
243.4,1.837
243.6,1.84
243.8,1.841
244.0,1.84
244.2,1.839
244.4,1.84
244.6,1.84
244.8,1.841
245.0,1.84
245.2,1.842
245.4,1.843
245.6,1.843
245.8,1.844
246.0,1.845
246.2,1.844
246.4,1.842
246.6,1.84
246.8,1.838
247.0,1.837
247.2,1.838
247.4,1.839
247.6,1.84
247.8,1.84
248.0,1.839
248.2,1.837
248.4,1.837
248.6,1.839
248.8,1.842
249.0,1.843
249.2,1.846
249.4,1.848
249.6,1.848
249.8,1.848
250.0,1.85
250.2,1.85
250.4,1.849
250.6,1.848
250.8,1.848
251.0,1.847
251.2,1.848
251.4,1.846
251.6,1.845
251.8,1.845
252.0,1.844
252.2,1.844
252.4,1.845
252.6,1.845
252.8,1.845
253.0,1.842
253.2,1.84
253.4,1.839
253.6,1.84
253.8,1.842
254.0,1.846
254.2,1.849
254.4,1.851
254.6,1.851
254.8,1.851
255.0,1.85
255.2,1.85
255.4,1.85
255.6,1.852
255.8,1.853
256.0,1.853
256.2,1.851
256.4,1.851
256.6,1.85
256.8,1.848
257.0,1.849
257.2,1.852
257.4,1.852
257.6,1.852
257.8,1.852
258.0,1.851
258.2,1.85
258.4,1.85
258.6,1.852
258.8,1.853
259.0,1.855
259.2,1.855
259.4,1.853
259.6,1.849
259.8,1.846
260.0,1.845
260.2,1.844
260.4,1.843
260.6,1.843
260.8,1.844
261.0,1.844
261.2,1.844
261.4,1.845
261.6,1.847
261.8,1.846
262.0,1.845
262.2,1.845
262.4,1.847
262.6,1.847
262.8,1.848
263.0,1.849
263.2,1.85
263.4,1.849
263.6,1.851
263.8,1.851
264.0,1.85
264.2,1.849
264.4,1.847
264.6,1.845
264.8,1.845
265.0,1.846
265.2,1.847
265.4,1.848
265.6,1.851
265.8,1.851
266.0,1.85
266.2,1.849
266.4,1.851
266.6,1.852
266.8,1.852
267.0,1.853
267.2,1.852
267.4,1.849
267.6,1.846
267.8,1.846
268.0,1.846
268.2,1.849
268.4,1.853
268.6,1.856
268.8,1.858
269.0,1.858
269.2,1.856
269.4,1.852
269.6,1.847
269.8,1.843
270.0,1.842
270.2,1.842
270.4,1.845
270.6,1.847
270.8,1.849
271.0,1.852
271.2,1.853
271.4,1.852
271.6,1.851
271.8,1.852
272.0,1.851
272.2,1.852
272.4,1.853
272.6,1.855
272.8,1.856
273.0,1.856
273.2,1.855
273.4,1.856
273.6,1.858
273.8,1.858
274.0,1.857
274.2,1.857
274.4,1.856
274.6,1.855
274.8,1.856
275.0,1.858
275.2,1.86
275.4,1.862
275.6,1.863
275.8,1.863
276.0,1.862
276.2,1.862
276.4,1.861
276.6,1.86
276.8,1.859
277.0,1.858
277.2,1.857
277.4,1.856
277.6,1.856
277.8,1.856
278.0,1.855
278.2,1.854
278.4,1.855
278.6,1.857
278.8,1.857
279.0,1.859
279.2,1.86
279.4,1.859
279.6,1.858
279.8,1.858
280.0,1.861
280.2,1.862
280.4,1.864
280.6,1.867
280.8,1.869
281.0,1.866
281.2,1.863
281.4,1.86
281.6,1.856
281.8,1.855
282.0,1.855
282.2,1.857
282.4,1.861
282.6,1.863
282.8,1.864
283.0,1.864
283.2,1.865
283.4,1.864
283.6,1.865
283.8,1.864
284.0,1.864
284.2,1.864
284.4,1.865
284.6,1.865
284.8,1.863
285.0,1.861
285.2,1.859
285.4,1.858
285.6,1.857
285.8,1.859
286.0,1.863
286.2,1.864
286.4,1.863
286.6,1.862
286.8,1.863
287.0,1.861
287.2,1.861
287.4,1.861
287.6,1.861
287.8,1.861
288.0,1.86
288.2,1.86
288.4,1.86
288.6,1.857
288.8,1.854
289.0,1.852
289.2,1.851
289.4,1.853
289.6,1.856
289.8,1.86
290.0,1.862
290.2,1.862
290.4,1.859
290.6,1.859
290.8,1.857
291.0,1.854
291.2,1.849
291.4,1.844
291.6,1.842
291.8,1.84
292.0,1.838
292.2,1.835
292.4,1.831
292.6,1.826
292.8,1.82
293.0,1.814
293.2,1.807
293.4,1.802
293.6,1.797
293.8,1.794
294.0,1.79
294.2,1.786
294.4,1.779
294.6,1.773
294.8,1.764
295.0,1.757
295.2,1.75
295.4,1.747
295.6,1.743
295.8,1.74
296.0,1.734
296.2,1.728
296.4,1.721
296.6,1.715
296.8,1.709
297.0,1.702
297.2,1.698
297.4,1.694
297.6,1.689
297.8,1.683
298.0,1.68
298.2,1.676
298.4,1.672
298.6,1.669
298.8,1.667
299.0,1.663
299.2,1.657
299.4,1.652
299.6,1.646
299.8,1.641
300.0,1.637
300.2,1.634
300.4,1.629
300.6,1.627
300.8,1.625
301.0,1.623
301.2,1.618
301.4,1.612
301.6,1.606
301.8,1.602
302.0,1.597
302.2,1.597
302.4,1.598
302.6,1.598
302.8,1.595
303.0,1.59
303.2,1.584
303.4,1.576
303.6,1.568
303.8,1.563
304.0,1.559
304.2,1.557
304.4,1.556
304.6,1.555
304.8,1.553
305.0,1.549
305.2,1.544
305.4,1.538
305.6,1.532
305.8,1.526
306.0,1.524
306.2,1.522
306.4,1.52
306.6,1.517
306.8,1.514
307.0,1.509
307.2,1.504
307.4,1.499
307.6,1.496
307.8,1.495
308.0,1.493
308.2,1.49
308.4,1.489
308.6,1.488
308.8,1.486
309.0,1.483
309.2,1.48
309.4,1.478
309.6,1.475
309.8,1.472
310.0,1.468
310.2,1.465
310.4,1.463
310.6,1.459
