t,y
0.0,0.0
0.2,0.001
0.4,0.002
0.6,0.005
0.8,0.009
1.0,0.014
1.2,0.019
1.4,0.024
1.6,0.029
1.8,0.035
2.0,0.043
2.2,0.051
2.4,0.06
2.6,0.068
2.8,0.076
3.0,0.085
3.2,0.094
3.4,0.102
3.6,0.11
3.8,0.12
4.0,0.129
4.2,0.139
4.4,0.151
4.6,0.162
4.8,0.168
5.0,0.173
5.2,0.179
5.4,0.183
5.6,0.191
5.8,0.202
6.0,0.214
6.2,0.222
6.4,0.232
6.6,0.242
6.8,0.25
7.0,0.257
7.2,0.265
7.4,0.271
7.6,0.275
7.8,0.281
8.0,0.287
8.2,0.295
8.4,0.301
8.6,0.308
8.8,0.312
9.0,0.319
9.2,0.325
9.4,0.334
9.6,0.343
9.8,0.35
10.0,0.357
10.2,0.364
10.4,0.369
10.6,0.372
10.8,0.377
11.0,0.382
11.2,0.384
11.4,0.389
11.6,0.397
11.8,0.406
12.0,0.414
12.2,0.423
12.4,0.429
12.6,0.434
12.8,0.438
13.0,0.442
13.2,0.447
13.4,0.454
13.6,0.459
13.8,0.463
14.0,0.464
14.2,0.47
14.4,0.473
14.6,0.477
14.8,0.482
15.0,0.489
15.2,0.493
15.4,0.496
15.6,0.501
15.8,0.504
16.0,0.508
16.2,0.51
16.4,0.514
16.6,0.516
16.8,0.519
17.0,0.521
17.2,0.523
17.4,0.523
17.6,0.527
17.8,0.533
18.0,0.54
18.2,0.546
18.4,0.554
18.6,0.555
18.8,0.555
19.0,0.552
19.2,0.551
19.4,0.551
19.6,0.555
19.8,0.56
20.0,0.564
20.2,0.564
20.4,0.565
20.6,0.568
20.8,0.57
21.0,0.571
21.2,0.575
21.4,0.578
21.6,0.578
21.8,0.58
22.0,0.585
22.2,0.591
22.4,0.596
22.6,0.599
22.8,0.604
23.0,0.607
23.2,0.607
23.4,0.608
23.6,0.608
23.8,0.607
24.0,0.606
24.2,0.607
24.4,0.609
24.6,0.614
24.8,0.618
25.0,0.62
25.2,0.62
25.4,0.621
25.6,0.62
25.8,0.62
26.0,0.623
26.2,0.627
26.4,0.628
26.6,0.627
26.8,0.627
27.0,0.625
27.2,0.625
27.4,0.627
27.6,0.632
27.8,0.635
28.0,0.637
28.2,0.637
28.4,0.635
28.6,0.634
28.8,0.635
29.0,0.637
29.2,0.642
29.4,0.646
29.6,0.647
29.8,0.645
30.0,0.643
30.2,0.639
30.4,0.637
30.6,0.641
30.8,0.645
31.0,0.648
31.2,0.649
31.4,0.649
31.6,0.648
31.8,0.644
32.0,0.642
32.2,0.642
32.4,0.643
32.6,0.645
32.8,0.649
33.0,0.65
33.2,0.65
33.4,0.649
33.6,0.647
33.8,0.646
34.0,0.648
34.2,0.652
34.4,0.656
34.6,0.661
34.8,0.662
35.0,0.662
35.2,0.662
35.4,0.659
35.6,0.656
35.8,0.654
36.0,0.654
36.2,0.655
36.4,0.657
36.6,0.66
36.8,0.663
37.0,0.666
37.2,0.668
37.4,0.667
37.6,0.666
37.8,0.665
38.0,0.664
38.2,0.663
38.4,0.665
38.6,0.667
38.8,0.669
39.0,0.67
39.2,0.671
39.4,0.671
39.6,0.671
39.8,0.67
40.0,0.669
40.2,0.67
40.4,0.674
40.6,0.676
40.8,0.678
41.0,0.68
41.2,0.678
41.4,0.673
41.6,0.672
41.8,0.67
42.0,0.669
42.2,0.67
42.4,0.672
42.6,0.673
42.8,0.674
43.0,0.677
43.2,0.678
43.4,0.679
43.6,0.679
43.8,0.68
44.0,0.679
44.2,0.679
44.4,0.678
44.6,0.678
44.8,0.681
45.0,0.681
45.2,0.682
45.4,0.684
45.6,0.684
45.8,0.682
46.0,0.683
46.2,0.682
46.4,0.682
46.6,0.682
46.8,0.682
47.0,0.681
47.2,0.682
47.4,0.683
47.6,0.684
47.8,0.683
48.0,0.684
48.2,0.683
48.4,0.683
48.6,0.684
48.8,0.685
49.0,0.686
49.2,0.69
49.4,0.695
49.6,0.699
49.8,0.702
50.0,0.704
50.2,0.702
50.4,0.697
50.6,0.695
50.8,0.694
51.0,0.693
51.2,0.693
51.4,0.691
51.6,0.691
51.8,0.689
52.0,0.69
52.2,0.691
52.4,0.694
52.6,0.695
52.8,0.698
53.0,0.698
53.2,0.698
53.4,0.698
53.6,0.699
53.8,0.7
54.0,0.702
54.2,0.704
54.4,0.704
54.6,0.7
54.8,0.696
55.0,0.689
55.2,0.686
55.4,0.685
55.6,0.688
55.8,0.691
56.0,0.695
56.2,0.696
56.4,0.695
56.6,0.691
56.8,0.687
57.0,0.686
57.2,0.686
57.4,0.688
57.6,0.693
57.8,0.697
58.0,0.7
58.2,0.701
58.4,0.703
58.6,0.704
58.8,0.704
59.0,0.702
59.2,0.701
59.4,0.698
59.6,0.697
59.8,0.698
60.0,0.702
60.2,0.705
60.4,0.706
60.6,0.706
60.8,0.705
61.0,0.702
61.2,0.7
61.4,0.7
61.6,0.701
61.8,0.703
62.0,0.705
62.2,0.704
62.4,0.705
62.6,0.703
62.8,0.702
63.0,0.699
63.2,0.7
63.4,0.7
63.6,0.702
63.8,0.704
64.0,0.706
64.2,0.709
64.4,0.71
64.6,0.709
64.8,0.708
65.0,0.708
65.2,0.705
