t,y
0.0,0.0
0.2,-0.001
0.4,-0.001
0.6,-0.002
0.8,-0.003
1.0,-0.003
1.2,-0.002
1.4,-0.001
1.6,0.001
1.8,0.003
2.0,0.006
2.2,0.008
2.4,0.012
2.6,0.019
2.8,0.025
3.0,0.031
3.2,0.036
3.4,0.04
3.6,0.043
3.8,0.046
4.0,0.048
4.2,0.051
4.4,0.052
4.6,0.055
4.8,0.058
5.0,0.061
5.2,0.063
5.4,0.067
5.6,0.069
5.8,0.072
6.0,0.074
6.2,0.079
6.4,0.084
6.6,0.09
6.8,0.094
7.0,0.097
7.2,0.099
7.4,0.1
7.6,0.098
7.8,0.098
8.0,0.097
8.2,0.097
8.4,0.099
8.6,0.102
8.8,0.107
9.0,0.11
9.2,0.114
9.4,0.113
9.6,0.114
9.8,0.114
10.0,0.116
10.2,0.118
10.4,0.123
10.6,0.124
10.8,0.125
11.0,0.125
11.2,0.124
11.4,0.124
11.6,0.127
11.8,0.131
12.0,0.135
12.2,0.139
12.4,0.144
12.6,0.147
12.8,0.149
13.0,0.149
13.2,0.149
13.4,0.148
13.6,0.147
13.8,0.145
14.0,0.144
14.2,0.143
14.4,0.141
14.6,0.141
14.8,0.141
15.0,0.141
15.2,0.142
15.4,0.142
15.6,0.141
15.8,0.143
16.0,0.145
16.2,0.149
16.4,0.152
16.6,0.154
16.8,0.156
17.0,0.158
17.2,0.16
17.4,0.161
17.6,0.162
17.8,0.16
18.0,0.159
18.2,0.158
18.4,0.16
18.6,0.162
18.8,0.165
19.0,0.167
19.2,0.17
19.4,0.17
19.6,0.17
19.8,0.17
20.0,0.171
20.2,0.17
20.4,0.169
20.6,0.167
20.8,0.166
21.0,0.164
21.2,0.163
21.4,0.162
21.6,0.162
21.8,0.162
22.0,0.164
22.2,0.166
22.4,0.171
22.6,0.173
22.8,0.177
23.0,0.178
23.2,0.179
23.4,0.18
23.6,0.18
23.8,0.18
24.0,0.178
24.2,0.176
24.4,0.174
24.6,0.174
24.8,0.175
25.0,0.176
25.2,0.177
25.4,0.177
25.6,0.177
25.8,0.177
26.0,0.176
26.2,0.175
26.4,0.173
26.6,0.172
26.8,0.171
27.0,0.172
27.2,0.174
27.4,0.176
27.6,0.178
27.8,0.181
28.0,0.182
28.2,0.183
28.4,0.185
28.6,0.185
28.8,0.186
29.0,0.185
29.2,0.187
29.4,0.188
29.6,0.189
29.8,0.189
30.0,0.189
30.2,0.187
30.4,0.187
30.6,0.186
30.8,0.187
31.0,0.187
31.2,0.187
31.4,0.188
31.6,0.19
31.8,0.192
32.0,0.195
32.2,0.196
32.4,0.193
32.6,0.189
32.8,0.184
33.0,0.181
33.2,0.18
33.4,0.183
33.6,0.185
33.8,0.186
34.0,0.185
34.2,0.187
34.4,0.188
34.6,0.19
34.8,0.191
35.0,0.192
35.2,0.191
35.4,0.189
35.6,0.187
35.8,0.186
36.0,0.184
36.2,0.184
36.4,0.183
36.6,0.182
36.8,0.181
37.0,0.183
37.2,0.184
37.4,0.184
37.6,0.183
37.8,0.182
38.0,0.181
38.2,0.182
38.4,0.184
38.6,0.188
38.8,0.192
39.0,0.194
39.2,0.194
39.4,0.193
39.6,0.192
39.8,0.192
40.0,0.191
40.2,0.191
40.4,0.189
40.6,0.188
40.8,0.187
41.0,0.186
41.2,0.185
41.4,0.185
41.6,0.186
41.8,0.186
42.0,0.187
42.2,0.188
42.4,0.189
42.6,0.189
42.8,0.191
43.0,0.191
43.2,0.192
43.4,0.19
43.6,0.191
43.8,0.191
44.0,0.192
44.2,0.191
44.4,0.192
44.6,0.191
44.8,0.191
45.0,0.189
45.2,0.188
45.4,0.188
45.6,0.187
45.8,0.185
46.0,0.184
46.2,0.185
46.4,0.185
46.6,0.187
46.8,0.188
47.0,0.188
47.2,0.189
47.4,0.191
47.6,0.193
47.8,0.195
48.0,0.197
48.2,0.195
48.4,0.194
48.6,0.192
48.8,0.192
49.0,0.193
49.2,0.197
49.4,0.198
49.6,0.199
49.8,0.199
50.0,0.199
50.2,0.197
50.4,0.195
50.6,0.193
50.8,0.191
51.0,0.189
51.2,0.188
51.4,0.187
51.6,0.186
51.8,0.186
52.0,0.186
52.2,0.187
52.4,0.187
52.6,0.187
52.8,0.189
53.0,0.191
53.2,0.192
53.4,0.194
53.6,0.195
53.8,0.195
54.0,0.196
54.2,0.196
54.4,0.196
54.6,0.195
54.8,0.193
55.0,0.191
55.2,0.189
55.4,0.189
55.6,0.189
55.8,0.189
56.0,0.191
56.2,0.191
56.4,0.19
56.6,0.189
56.8,0.19
57.0,0.191
57.2,0.191
57.4,0.194
57.6,0.196
57.8,0.196
58.0,0.196
58.2,0.197
58.4,0.198
58.6,0.199
58.8,0.198
59.0,0.198
59.2,0.195
59.4,0.194
59.6,0.194
59.8,0.194
60.0,0.195
60.2,0.196
60.4,0.198
60.6,0.196
60.8,0.195
61.0,0.194
61.2,0.195
61.4,0.194
61.6,0.194
61.8,0.194
62.0,0.194
62.2,0.192
62.4,0.191
62.6,0.19
62.8,0.19
63.0,0.19
63.2,0.19
63.4,0.191
63.6,0.192
63.8,0.192
64.0,0.192
64.2,0.192
64.4,0.193
64.6,0.194
64.8,0.194
65.0,0.194
