t,y
0.0,0.0
0.2,0.002
0.4,0.005
0.6,0.009
0.8,0.01
1.0,0.009
1.2,0.008
1.4,0.008
1.6,0.011
1.8,0.016
2.0,0.022
2.2,0.027
2.4,0.029
2.6,0.028
2.8,0.028
3.0,0.029
3.2,0.03
3.4,0.033
3.6,0.035
3.8,0.037
4.0,0.037
4.2,0.038
4.4,0.037
4.6,0.038
4.8,0.04
5.0,0.041
5.2,0.042
5.4,0.044
5.6,0.043
5.8,0.043
6.0,0.043
6.2,0.045
6.4,0.046
6.6,0.048
6.8,0.048
7.0,0.047
7.2,0.047
7.4,0.046
7.6,0.045
7.8,0.044
8.0,0.043
8.2,0.04
8.4,0.038
8.6,0.038
8.8,0.038
9.0,0.04
9.2,0.04
9.4,0.04
9.6,0.042
9.8,0.042
10.0,0.041
10.2,0.04
10.4,0.04
10.6,0.039
10.8,0.04
11.0,0.042
11.2,0.046
11.4,0.049
11.6,0.051
11.8,0.052
12.0,0.053
12.2,0.053
12.4,0.054
12.6,0.056
12.8,0.057
13.0,0.056
13.2,0.056
13.4,0.054
13.6,0.051
13.8,0.051
14.0,0.053
14.2,0.053
14.4,0.052
14.6,0.051
14.8,0.049
15.0,0.047
15.2,0.046
15.4,0.048
15.6,0.05
15.8,0.051
16.0,0.052
16.2,0.053
16.4,0.054
16.6,0.054
16.8,0.054
17.0,0.055
17.2,0.057
17.4,0.059
17.6,0.061
17.8,0.064
18.0,0.067
18.2,0.067
18.4,0.067
18.6,0.064
18.8,0.062
19.0,0.057
19.2,0.054
19.4,0.051
19.6,0.05
19.8,0.048
20.0,0.048
20.2,0.049
20.4,0.052
20.6,0.053
20.8,0.056
21.0,0.059
21.2,0.059
21.4,0.057
21.6,0.058
21.8,0.059
22.0,0.059
22.2,0.06
22.4,0.06
22.6,0.06
22.8,0.06
23.0,0.059
23.2,0.059
23.4,0.059
23.6,0.058
23.8,0.057
24.0,0.06
24.2,0.06
24.4,0.059
24.6,0.059
24.8,0.06
25.0,0.059
25.2,0.06
25.4,0.063
25.6,0.066
25.8,0.065
26.0,0.062
26.2,0.06
26.4,0.054
26.6,0.05
26.8,0.049
27.0,0.05
27.2,0.051
27.4,0.052
27.6,0.052
27.8,0.05
28.0,0.049
28.2,0.048
28.4,0.048
28.6,0.049
28.8,0.051
29.0,0.05
29.2,0.051
29.4,0.053
29.6,0.053
29.8,0.055
30.0,0.057
30.2,0.054
30.4,0.052
30.6,0.052
30.8,0.053
31.0,0.054
31.2,0.057
31.4,0.06
31.6,0.061
31.8,0.061
32.0,0.059
32.2,0.06
32.4,0.059
32.6,0.057
32.8,0.056
33.0,0.056
33.2,0.055
33.4,0.054
33.6,0.054
33.8,0.055
34.0,0.055
34.2,0.056
34.4,0.056
34.6,0.058
34.8,0.059
35.0,0.06
35.2,0.06
35.4,0.059
35.6,0.059
35.8,0.057
36.0,0.056
36.2,0.053
36.4,0.053
36.6,0.052
36.8,0.054
37.0,0.054
37.2,0.055
37.4,0.053
37.6,0.05
37.8,0.047
38.0,0.047
38.2,0.045
38.4,0.046
38.6,0.048
38.8,0.051
39.0,0.051
39.2,0.052
39.4,0.053
39.6,0.053
39.8,0.051
40.0,0.051
40.2,0.053
40.4,0.058
40.6,0.06
40.8,0.062
41.0,0.064
41.2,0.064
41.4,0.06
41.6,0.059
41.8,0.061
42.0,0.063
42.2,0.064
42.4,0.065
42.6,0.066
42.8,0.065
43.0,0.065
43.2,0.062
43.4,0.06
43.6,0.058
43.8,0.056
44.0,0.055
44.2,0.054
44.4,0.054
44.6,0.055
44.8,0.056
45.0,0.056
45.2,0.057
45.4,0.058
45.6,0.057
45.8,0.057
46.0,0.056
46.2,0.056
46.4,0.058
46.6,0.061
46.8,0.062
47.0,0.064
47.2,0.066
47.4,0.064
47.6,0.061
47.8,0.058
48.0,0.057
48.2,0.055
48.4,0.056
48.6,0.057
48.8,0.056
49.0,0.055
49.2,0.056
49.4,0.054
49.6,0.054
49.8,0.055
