dataset	DPLM-150	DPLM-650	ANKH-Large	ProtT5	DLM-650	GLM2-650	Random-Transformer	ANKH-Base	DLM-150	Random	GLM2-150
SS3	"{""test_loss"": 0.7559394240379333, ""test_f1"": 0.6656448900785439, ""test_acc"": 0.7173109849508876, ""test_prec"": 0.7042400818742055, ""test_rec"": 0.6523522364434233, ""test_mcc"": 0.5960295720727419}"	"{""test_loss"": 0.7208313941955566, ""test_f1"": 0.6965296009753846, ""test_acc"": 0.7442552041092187, ""test_prec"": 0.735487477524804, ""test_rec"": 0.6818152755468934, ""test_mcc"": 0.6350633419760819}"	"{""test_loss"": 0.6877071857452393, ""test_f1"": 0.7082930318373273, ""test_acc"": 0.7576822564657114, ""test_prec"": 0.7359414813288792, ""test_rec"": 0.6968832157988747, ""test_mcc"": 0.65488387645284}"	"{""test_loss"": 0.7145916223526001, ""test_f1"": 0.7014106484717741, ""test_acc"": 0.7431738307650716, ""test_prec"": 0.7293408267559371, ""test_rec"": 0.6897317733250857, ""test_mcc"": 0.634308557299419}"	"{""test_loss"": 0.7180072665214539, ""test_f1"": 0.6885732533042038, ""test_acc"": 0.7423628007569614, ""test_prec"": 0.737326603699707, ""test_rec"": 0.6737901269632344, ""test_mcc"": 0.6320892014602689}"	"{""test_loss"": 0.8925855755805969, ""test_f1"": 0.6164812703834496, ""test_acc"": 0.6754978823105344, ""test_prec"": 0.6602937234171368, ""test_rec"": 0.6136654781517963, ""test_mcc"": 0.5389692640583719}"	"{""test_loss"": 1.1349016427993774, ""test_f1"": 0.5494149517402737, ""test_acc"": 0.6045778138235559, ""test_prec"": 0.6100309125605086, ""test_rec"": 0.5394546089804952, ""test_mcc"": 0.43302470786429337}"	"{""test_loss"": 0.6811913847923279, ""test_f1"": 0.7008850344411236, ""test_acc"": 0.7402901685140127, ""test_prec"": 0.7306166957677348, ""test_rec"": 0.6868093917746837, ""test_mcc"": 0.629838389389009}"	"{""test_loss"": 0.7981573343276978, ""test_f1"": 0.6558842538773995, ""test_acc"": 0.7151482382625934, ""test_prec"": 0.7064782541015739, ""test_rec"": 0.6458392723880204, ""test_mcc"": 0.5931051483005175}"	"{""test_loss"": 1.3428651094436646, ""test_f1"": 0.2180558426692537, ""test_acc"": 0.3609083536090835, ""test_prec"": 0.2629135880185843, ""test_rec"": 0.26041495108864415, ""test_mcc"": 0.013804173422886016}"	"{""test_loss"": 0.8887857794761658, ""test_f1"": 0.6091234492274231, ""test_acc"": 0.6699107866991079, ""test_prec"": 0.6656862627167868, ""test_rec"": 0.6083363226547848, ""test_mcc"": 0.5319397937205755}"
SS8	"{""test_loss"": 1.1560842990875244, ""test_f1"": 0.39697811115804704, ""test_acc"": 0.6088131927547986, ""test_prec"": 0.4660119804198083, ""test_rec"": 0.3861696477601819, ""test_mcc"": 0.5148271333719029}"	"{""test_loss"": 1.0841511487960815, ""test_f1"": 0.4576739262950629, ""test_acc"": 0.6301703163017032, ""test_prec"": 0.5279578833310125, ""test_rec"": 0.4375323637162962, ""test_mcc"": 0.5419983870414091}"	"{""test_loss"": 1.0779987573623657, ""test_f1"": 0.48428614858833896, ""test_acc"": 0.6469316031359827, ""test_prec"": 0.5641297298694887, ""test_rec"": 0.4636146813574247, ""test_mcc"": 0.563290398763292}"	"{""test_loss"": 1.0918192863464355, ""test_f1"": 0.4357376874192694, ""test_acc"": 0.6387311886095342, ""test_prec"": 0.5191891808325285, ""test_rec"": 0.4211608689479977, ""test_mcc"": 0.552697488962228}"	"{""test_loss"": 1.1305352449417114, ""test_f1"": 0.4615168571759244, ""test_acc"": 0.6325132918806885, ""test_prec"": 0.553333512282967, ""test_rec"": 0.4370081477666328, ""test_mcc"": 0.5446015925399549}"	"{""test_loss"": 1.3160988092422485, ""test_f1"": 0.34472294595540387, ""test_acc"": 0.5706947823736145, ""test_prec"": 0.40058999601707135, ""test_rec"": 0.34412630315181597, ""test_mcc"": 0.46628280049544746}"	"{""test_loss"": 1.5788743495941162, ""test_f1"": 0.27532475536038165, ""test_acc"": 0.48202216815355503, ""test_prec"": 0.3279013208738468, ""test_rec"": 0.2781761999204662, ""test_mcc"": 0.35109543438398216}"	"{""test_loss"": 1.0542505979537964, ""test_f1"": 0.43852255657171246, ""test_acc"": 0.6371091285933135, ""test_prec"": 0.5015841338087852, ""test_rec"": 0.42321787788123655, ""test_mcc"": 0.550707549818532}"	"{""test_loss"": 1.1628252267837524, ""test_f1"": 0.3914357027644193, ""test_acc"": 0.6089033072001442, ""test_prec"": 0.4379389990053192, ""test_rec"": 0.3836294398440978, ""test_mcc"": 0.5150585772747588}"	"{""test_loss"": 1.877073049545288, ""test_f1"": 0.06720109334426677, ""test_acc"": 0.2811570694782374, ""test_prec"": 0.06039214438785402, ""test_rec"": 0.12149299126565476, ""test_mcc"": 0.050524628331353405}"	"{""test_loss"": 1.316871166229248, ""test_f1"": 0.32356280709356866, ""test_acc"": 0.5604217356042174, ""test_prec"": 0.3992360909340861, ""test_rec"": 0.32818875274232173, ""test_mcc"": 0.45326005750561155}"
