,count_A,count_B,ratio_A,ratio_B,log2_fold
BCB,0,1,4.5291906335792036e-14,4.529190638108394e-05,-29.897352855428956
BCC,5,3,0.00022645953172425207,0.000135875719052668,0.7369655939738469
BCD,0,1,4.5291906335792036e-14,4.529190638108394e-05,-29.897352855428956
BCE,1,1,4.529190638108394e-05,4.529190638108394e-05,0.0
BCG,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
BCH,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
BCT,4,1,0.00018116762538846005,4.529190638108394e-05,1.9999999989179789
BDD,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
BEE,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
BGG,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
BHH,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
BTT,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
CBC,10,7,0.00045291906340321224,0.00031704334439583616,0.5145731727679284
CBG,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
CBH,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
CBT,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
CCB,4,1,0.00018116762538846005,4.529190638108394e-05,1.9999999989179789
CCC,1625,4836,0.07359934779570734,0.21903165903993557,-1.5733745264453551
CCD,129,148,0.005842655917362463,0.006703202137742512,-0.19822611020425995
CCE,192,440,0.008696046016517361,0.019928438787793785,-1.1963972127992684
CCG,26,23,0.0011775895647758848,0.0010417138457685087,0.17687776207684164
CCH,262,426,0.011866479460022804,0.019294352099092697,-0.7012866186862681
CCS,103,51,0.0046650663526318715,0.0023098872231706855,1.0140751851974417
CCT,184,211,0.008333710765831025,0.00955659223689741,-0.1975372326491692
CDC,50,69,0.0022645953168348933,0.0031251415372149424,-0.4646682669954994
CDD,155,143,0.007020245482093056,0.006476742606063552,0.11625306849506678
CDG,0,1,4.5291906335792036e-14,4.529190638108394e-05,-29.897352855428956
CDH,6,8,0.0002717514380600441,0.00036233525073162815,-0.4150374992187313
CDT,7,14,0.00031704334439583616,0.0006340866887463803,-0.9999999998969502
CEC,30,87,0.0013587571901190528,0.003940395851259199,-1.5360529002087027
CEE,341,514,0.015444540060550375,0.023280039856642395,-0.5919966201682815
CEH,2,6,9.058381271687597e-05,0.0002717514380600441,-1.5849625002402579
CES,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
CET,3,2,0.000135875719052668,9.058381271687597e-05,0.584962500480707
CGC,1,7,4.529190638108394e-05,0.00031704334439583616,-2.8073549208210085
CGG,49,17,0.0022193034104991015,0.0007699624077537564,1.5272470028094471
CGT,3,2,0.000135875719052668,9.058381271687597e-05,0.584962500480707
CHC,11,62,0.0004982109697390043,0.002808098192864398,-2.494764691641693
CHD,11,1,0.0004982109697390043,4.529190638108394e-05,3.459431617325756
CHE,1,13,4.529190638108394e-05,0.0005887947824105884,-3.700439716809374
CHG,6,2,0.0002717514380600441,9.058381271687597e-05,1.5849625002402579
CHH,445,480,0.020154898319472744,0.02174011504122547,-0.10922906975452219
CHT,1,7,4.529190638108394e-05,0.00031704334439583616,-2.8073549208210085
CSB,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
CSC,69,50,0.0031251415372149424,0.0022645953168348933,0.4646682669954993
CSD,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
CSE,29,1,0.0013134652837832608,4.529190638108394e-05,4.857980993734625
CSG,3,1,0.000135875719052668,4.529190638108394e-05,1.5849624997593594
CSH,12,6,0.0005435028760747963,0.0002717514380600441,0.9999999998797754
CSS,79,16,0.003578060600572863,0.0007246705014179644,2.3037807481051966
CST,12,5,0.0005435028760747963,0.00022645953172425207,1.2630344056654796
CTC,26,124,0.0011775895647758848,0.005616196385683504,-2.2537565922019294
CTD,1,1,4.529190638108394e-05,4.529190638108394e-05,0.0
CTE,3,6,0.000135875719052668,0.0002717514380600441,-0.9999999997595508
CTG,3,1,0.000135875719052668,4.529190638108394e-05,1.5849624997593594
CTH,5,2,0.00022645953172425207,9.058381271687597e-05,1.3219280944545537
CTS,25,13,0.0011322976584400928,0.0005887947824105884,0.9434164715803639
CTT,281,157,0.012727025680402852,0.007110829294764641,0.8398055713252439
DBD,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DCC,150,203,0.0067937859504140965,0.009194256986211074,-0.4365172266867844
DCD,81,75,0.0036686444132444465,0.0033968929752296946,0.11103131238731871
DCE,5,1,0.00022645953172425207,4.529190638108394e-05,2.3219280937332063
DCH,28,11,0.0012681733774474687,0.0004982109697390043,1.3479233033406774
DCS,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
DCT,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DDB,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DDC,173,174,0.007835499796137313,0.007880791702473106,-0.008315268211955733
DDD,4100,2078,0.18569681597679263,0.09411658136582113,0.9804282554882544
DDE,6,0,0.0002717514380600441,4.5291906335792036e-14,32.482315354947865
DDG,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DDH,66,29,0.002989265818207566,0.0013134652837832608,1.1864131242029925
DDS,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DDT,5,0,0.00022645953172425207,4.5291906335792036e-14,32.21928094916216
DEE,9,0,0.0004076271570674202,4.5291906335792036e-14,33.06727785558887
DGG,1,1,4.529190638108394e-05,4.529190638108394e-05,0.0
DHC,6,4,0.0002717514380600441,0.00018116762538846005,0.5849625006009316
DHD,34,16,0.0015399248154622208,0.0007246705014179644,1.087462841202603
DHH,63,19,0.0028533900992001896,0.0008605462204253405,1.7293524100032993
DSC,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
DTC,4,9,0.00018116762538846005,0.0004076271570674202,-1.169925001241938
DTD,5,2,0.00022645953172425207,9.058381271687597e-05,1.3219280944545537
DTG,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
DTS,1,3,4.529190638108394e-05,0.000135875719052668,-1.5849624997593594
DTT,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
ECB,0,1,4.5291906335792036e-14,4.529190638108394e-05,-29.897352855428956
ECC,212,462,0.009601884143233203,0.02092486072718121,-1.1238285868491757
ECD,8,4,0.00036233525073162815,0.00018116762538846005,0.9999999998196629
ECE,20,62,0.0009058381267611326,0.002808098192864398,-1.6322682154506474
ECG,8,1,0.00036233525073162815,4.529190638108394e-05,2.999999998737642
ECH,36,20,0.0016305086281338049,0.0009058381267611326,0.84799690652289
ECS,43,16,0.0019475519724843492,0.0007246705014179644,1.4262647546454805
ECT,85,63,0.0038498120385876146,0.0028533900992001896,0.4321110126318584
EDC,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
EDD,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
EDE,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
EDT,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
EEC,377,535,0.017075048688638888,0.024231169889694027,-0.5049743680187149
EED,8,1,0.00036233525073162815,4.529190638108394e-05,2.999999998737642
EEE,1890,2896,0.08560170297469223,0.13116536074849902,-0.6156753679745052
EEG,7,2,0.00031704334439583616,9.058381271687597e-05,1.807354921542356
EEH,16,36,0.0007246705014179644,0.0016305086281338049,-1.1699250013922187
EES,32,8,0.0014493410027906367,0.00036233525073162815,1.999999999864747
EET,58,59,0.0026269305675212296,0.0026722224738570215,-0.024662054233847402
EGG,6,2,0.0002717514380600441,9.058381271687597e-05,1.5849625002402579
EGH,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
EHC,1,9,4.529190638108394e-05,0.0004076271570674202,-3.1699250001599166
EHE,2,15,9.058381271687597e-05,0.0006793785950821724,-2.906890594983351
EHH,16,34,0.0007246705014179644,0.0015399248154622208,-1.087462841202603
EHT,0,2,4.5291906335792036e-14,9.058381271687597e-05,-30.89735285470761
ESC,13,3,0.0005887947824105884,0.000135875719052668,2.1154772170500142
ESE,3,2,0.000135875719052668,9.058381271687597e-05,0.584962500480707
ESG,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
ESS,16,2,0.0007246705014179644,9.058381271687597e-05,2.999999999368821
EST,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
ETC,1,9,4.529190638108394e-05,0.0004076271570674202,-3.1699250001599166
ETE,1,4,4.529190638108394e-05,0.00018116762538846005,-1.9999999989179786
ETH,0,1,4.5291906335792036e-14,4.529190638108394e-05,-29.897352855428956
ETS,0,3,4.5291906335792036e-14,0.000135875719052668,-31.482315355188316
ETT,59,44,0.0026722224738570215,0.001992843878820141,0.423211430716208
GBC,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GCB,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GCC,14,26,0.0006340866887463803,0.0011775895647758848,-0.8930847960359268
GCE,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
GCH,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
GCS,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
GCT,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
GDC,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
GDD,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GDS,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GEC,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GEE,7,1,0.00031704334439583616,4.529190638108394e-05,2.8073549208210085
GGB,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GGC,18,18,0.0008152543140895485,0.0008152543140895485,0.0
GGD,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
GGE,8,1,0.00036233525073162815,4.529190638108394e-05,2.999999998737642
GGG,81,11,0.0036686444132444465,0.0004982109697390043,2.8804183841339843
GGH,18,1,0.0008152543140895485,4.529190638108394e-05,4.1699250000797665
GGS,12,0,0.0005435028760747963,4.5291906335792036e-14,33.48231535482764
GGT,17,1,0.0007699624077537564,4.529190638108394e-05,4.087462839892509
GHC,2,1,9.058381271687597e-05,4.529190638108394e-05,0.9999999992786525
GHG,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
GHH,18,1,0.0008152543140895485,4.529190638108394e-05,4.1699250000797665
GHS,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
GHT,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GSC,9,0,0.0004076271570674202,4.5291906335792036e-14,33.06727785558887
GSE,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GSH,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
GST,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GTC,4,2,0.00018116762538846005,9.058381271687597e-05,0.9999999996393264
GTE,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GTG,3,1,0.000135875719052668,4.529190638108394e-05,1.5849624997593594
GTH,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
GTS,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
GTT,15,0,0.0006793785950821724,4.5291906335792036e-14,33.80424344969096
HBC,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
HCC,141,278,0.006386158793391968,0.012591149961395477,-0.9793897203196716
HCD,16,13,0.0007246705014179644,0.0005887947824105884,0.2995602818380997
HCE,4,16,0.00018116762538846005,0.0007246705014179644,-1.9999999997294946
HCG,3,2,0.000135875719052668,9.058381271687597e-05,0.584962500480707
HCH,37,82,0.001675800534469597,0.0037139363195802387,-1.1480986389677361
HCS,16,5,0.0007246705014179644,0.00022645953172425207,1.678071904914267
HCT,34,20,0.0015399248154622208,0.0009058381267611326,0.7655347463332743
HDC,17,5,0.0007699624077537564,0.00022645953172425207,1.7655347461593025
HDD,78,42,0.0035327686942370705,0.0019022600661485571,0.8930847960676344
HDH,30,2,0.0013587571901190528,9.058381271687597e-05,3.906890594935261
HDT,2,0,9.058381271687597e-05,4.5291906335792036e-14,30.89735285470761
HEC,1,5,4.529190638108394e-05,0.00022645953172425207,-2.3219280937332063
HEE,5,75,0.00022645953172425207,0.0033968929752296946,-3.906890595339216
HEH,1,18,4.529190638108394e-05,0.0008152543140895485,-4.169925000079767
HGC,1,2,4.529190638108394e-05,9.058381271687597e-05,-0.9999999992786525
HGG,11,0,0.0004982109697390043,4.5291906335792036e-14,33.35678447275471
HGH,4,0,0.00018116762538846005,4.5291906335792036e-14,31.897352854346934
HGT,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
HHB,1,0,4.529190638108394e-05,4.5291906335792036e-14,29.897352855428956
HHC,229,337,0.010371846550941666,0.015263372435207206,-0.5574009930828956
HHD,82,32,0.0037139363195802387,0.0014493410027906367,1.3575520045905936
HHE,4,70,0.00018116762538846005,0.003170433443550734,-4.129283016604902
HHG,10,0,0.00045291906340321224,4.5291906335792036e-14,33.21928094901789
HHH,6620,4979,0.29983241994298854,0.22550840164595384,0.4109752016284587
HHI,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
HHS,22,4,0.0009964219394327167,0.00018116762538846005,2.4594316183422005
HHT,267,103,0.012092938991701763,0.0046650663526318715,1.3741954044957319
HII,3,0,0.000135875719052668,4.5291906335792036e-14,31.482315355188316
HSC,19,4,0.0008605462204253405,0.00018116762538846005,2.247927513158843
