,count_A,count_B,ratio_A,ratio_B,log2_fold
CCC,4128,6974,0.1869649893559816,0.3158657547888776,-0.7565433933533077
CCD,112,100,0.005072693509702478,0.0045291906336677795,0.1634987322813336
CCE,504,603,0.022827120793502628,0.02731101952078889,-0.2587342683996983
CCH,561,602,0.025408759454667446,0.027265727614452666,-0.10176271615073415
CDC,47,50,0.002128719597847861,0.0022645953168565353,-0.08926733809524544
CDD,112,89,0.005072693509702478,0.004030979663969306,0.3316214910878772
CDE,0,2,4.5291906336224874e-14,9.058381271774165e-05,-30.89735285470761
CDH,8,12,0.0003623352507350909,0.0005435028760799904,-0.5849625006610437
CEC,63,114,0.0028533900992274586,0.005163277322374928,-0.8556100906545809
CED,1,0,4.529190638151678e-05,4.5291906336224874e-14,29.897352855428956
CEE,486,539,0.02201186647945058,0.0244123375152705,-0.1493289591464326
CEH,8,14,0.0003623352507350909,0.0006340866887524401,-0.8073549219803169
CHC,63,103,0.0028533900992274586,0.004665066352676454,-0.709220603674409
CHD,6,6,0.00027175143806264115,0.00027175143806264115,0.0
CHE,3,22,0.00013587571905396653,0.0009964219394422392,-2.87446911750082
CHH,646,619,0.02925857149324656,0.028035690022168488,0.06159475547956288
DCC,128,136,0.0057973640110820755,0.006159699261771874,-0.0874628412496764
DCD,52,54,0.0023551791295289854,0.002445762942201435,-0.054447784021348866
DCE,1,0,4.529190638151678e-05,4.5291906336224874e-14,29.897352855428956
DCH,14,9,0.0006340866887524401,0.0004076271570713158,0.6374299205580419
DDC,122,104,0.005525612573064727,0.004710358259012679,0.23029761941974744
DDD,3170,1149,0.14357534308587813,0.05204040038036767,1.464104042379856
DDE,1,1,4.529190638151678e-05,4.529190638151678e-05,0.0
DDH,52,30,0.0023551791295289854,0.001358757190132038,0.793549122512228
DED,0,2,4.5291906336224874e-14,9.058381271774165e-05,-30.89735285470761
DEE,1,2,4.529190638151678e-05,9.058381271774165e-05,-0.9999999992786525
DHC,5,6,0.00022645953172641627,0.00027175143806264115,-0.26303440578570414
DHD,24,18,0.001087005752114689,0.0008152543140973397,0.4150374992588063
DHH,61,33,0.002762806286555009,0.0014946329091407127,0.8863432181843655
ECC,459,634,0.020788985008372507,0.02871506861721186,-0.4659886867247317
ECE,27,53,0.0012228814711233635,0.00240047103586521,-0.973032952373518
ECH,54,19,0.002445762942201435,0.0008605462204335645,1.5069599886706682
EDC,3,1,0.00013587571905396653,4.529190638151678e-05,1.5849624997593594
EDD,2,1,9.058381271774165e-05,4.529190638151678e-05,0.9999999992786525
EEC,474,577,0.02146836360341588,0.026133429956047043,-0.28368425974668005
EED,4,0,0.0001811676253901914,4.5291906336224874e-14,31.897352854346934
EEE,1813,2248,0.08211422618762099,0.1018162054438788,-0.31026311047661403
EEH,23,41,0.001041713845778464,0.0018569681598305115,-0.8339900485335323
EHC,0,12,4.5291906336224874e-14,0.0005435028760799904,-33.48231535482764
EHE,0,23,4.5291906336224874e-14,0.001041713845778464,-34.420914810106
EHH,31,40,0.001404049096468263,0.0018116762534942867,-0.3677317844900158
HCC,617,579,0.02794510620949604,0.02622401376871949,0.09170714116002789
HCD,13,5,0.0005887947824162153,0.00022645953172641627,1.3785116230761674
HCE,16,10,0.0007246705014248898,0.00045291906340754064,0.6780719050585364
HCH,87,120,0.003940395851296856,0.005435028760392277,-0.4639470997552299
HDC,10,11,0.00045291906340754064,0.0004982109697437656,-0.13750352373681968
HDD,52,33,0.0023551791295289854,0.0014946329091407127,0.656045598766665
HDH,27,12,0.0012228814711233635,0.0005435028760799904,1.1699250013755207
HEC,3,15,0.00013587571905396653,0.000679378595088665,-2.3219280945026437
HEE,14,77,0.0006340866887524401,0.0034874767879346075,-2.459431618552984
HEH,0,20,4.5291906336224874e-14,0.0009058381267697894,-34.21928094894576
HHC,665,593,0.030119117713634833,0.02685810045742664,0.16532223584228503
HHD,59,32,0.002672222473882559,0.0014493410028044878,0.8826430493412094
HHE,14,67,0.0006340866887524401,0.0030345577245723585,-2.2587342683186513
HHH,7233,5463,0.32759635852995983,0.2474296843148418,0.4049007286256232
