,count_A,count_B,ratio_A,ratio_B,log2_fold
CC,5345,8330,0.24099373281018732,0.3755805040802106,-0.6401265476449601
CD,177,159,0.007980522115554006,0.00716894359533276,0.1547225947977192
CE,558,667,0.025158934126903714,0.030073492943799036,-0.25742163935497486
CH,718,750,0.032372965417759234,0.033815771675930334,-0.062906751560106
DC,196,205,0.0088371883313431,0.009242977591453722,-0.06477025538991456
DD,3394,1321,0.1530276387573178,0.059560845845170976,1.3613560982951687
DE,1,4,4.5087695612934696e-05,0.0001803507823164757,-1.9999999989179786
DH,90,57,0.0040578926011513175,0.0025699986474123663,0.6589630821556528
EC,540,706,0.024347355606682466,0.031831913070945066,-0.3867087762197213
ED,5,2,0.0002254384778843227,9.017539118078169e-05,1.3219280944545537
EE,2314,2866,0.10433292754404304,0.1292213354974946,-0.3086497451545358
EH,31,75,0.0013977185626483446,0.003381577167633613,-1.2746223800817031
HC,733,714,0.03304928085127694,0.032192614635487844,0.03788912410465993
HD,89,56,0.004012804905583471,0.0025249109518445194,0.6683785088992417
HE,17,112,0.0007664908246984867,0.005049821903643952,-2.7198920807352813
HH,7971,6155,0.35939402137135357,0.27751476622014337,0.37300187183978983
