,count_A,count_B,ratio_A,ratio_B,log2_fold
B,21,7,0.000942591678306545,0.00031419722613210523,1.5849625005837567
C,4287,8077,0.19242335831946086,0.3625387135866842,-0.9138511222573295
D,4879,2710,0.21899546658283717,0.12163921181381145,0.8482926316845568
E,2930,4298,0.13151398177655263,0.19291709681759792,-0.5527648181180168
G,262,67,0.0117599533193094,0.0030073163068797047,1.9673338110636511
H,7939,6206,0.35634453970096475,0.2785582835853716,0.3552935994312314
I,15,0,0.0006732797702317851,4.488531801245999e-14,33.80424344969096
S,588,166,0.026392566991371356,0.007450962790113242,1.8246329134832022
T,1358,748,0.060954261860965545,0.03357421787336495,0.8603733043562287
