t,y
0.0,0.0
0.2,-0.001
0.4,-0.001
0.6,-0.002
0.8,-0.001
1.0,0.003
1.2,0.004
1.4,0.007
1.6,0.008
1.8,0.008
2.0,0.007
2.2,0.006
2.4,0.004
2.6,0.003
2.8,0.002
3.0,0.001
3.2,-0.001
3.4,-0.001
3.6,-0.002
3.8,-0.002
4.0,-0.001
4.2,0.002
4.4,0.002
4.6,0.001
4.8,0.002
5.0,0.003
5.2,0.003
5.4,0.002
5.6,0.002
5.8,0.0
6.0,-0.001
6.2,-0.002
6.4,-0.001
6.6,-0.002
6.8,-0.002
7.0,-0.003
7.2,-0.003
7.4,-0.004
7.6,-0.003
7.8,-0.0
8.0,0.002
8.2,0.004
8.4,0.007
8.6,0.008
8.8,0.007
9.0,0.006
9.2,0.004
9.4,0.001
9.6,-0.002
9.8,-0.001
10.0,-0.002
10.2,-0.001
10.4,0.001
10.6,0.003
10.8,0.004
11.0,0.004
11.2,0.003
11.4,0.003
11.6,0.002
11.8,0.002
12.0,0.001
12.2,0.002
12.4,0.002
12.6,0.001
12.8,-0.002
13.0,-0.004
13.2,-0.005
13.4,-0.005
13.6,-0.004
13.8,-0.0
14.0,0.003
14.2,0.004
14.4,0.005
14.6,0.007
14.8,0.006
15.0,0.008
15.2,0.007
15.4,0.008
15.6,0.008
15.8,0.01
16.0,0.009
16.2,0.009
16.4,0.009
16.6,0.008
16.8,0.007
17.0,0.008
17.2,0.009
17.4,0.009
17.6,0.008
17.8,0.007
18.0,0.004
18.2,0.003
18.4,0.004
18.6,0.006
18.8,0.007
19.0,0.01
19.2,0.011
19.4,0.012
19.6,0.012
19.8,0.013
20.0,0.013
20.2,0.011
20.4,0.01
20.6,0.01
20.8,0.011
21.0,0.01
21.2,0.01
21.4,0.009
21.6,0.007
21.8,0.004
22.0,0.004
22.2,0.003
22.4,0.003
22.6,0.003
22.8,0.003
23.0,0.002
23.2,0.002
23.4,0.003
23.6,0.004
23.8,0.006
24.0,0.009
24.2,0.011
24.4,0.012
24.6,0.014
24.8,0.016
25.0,0.018
25.2,0.018
25.4,0.017
25.6,0.015
25.8,0.013
26.0,0.01
26.2,0.01
26.4,0.012
26.6,0.013
26.8,0.014
27.0,0.014
27.2,0.012
27.4,0.012
27.6,0.012
27.8,0.012
28.0,0.012
28.2,0.012
28.4,0.01
28.6,0.011
28.8,0.012
29.0,0.013
29.2,0.014
29.4,0.016
29.6,0.017
29.8,0.015
30.0,0.013
30.2,0.013
30.4,0.013
30.6,0.01
30.8,0.009
31.0,0.01
31.2,0.01
31.4,0.009
31.6,0.01
31.8,0.011
32.0,0.011
32.2,0.009
32.4,0.008
32.6,0.007
32.8,0.005
33.0,0.003
33.2,0.004
33.4,0.005
33.6,0.006
33.8,0.009
34.0,0.013
34.2,0.015
34.4,0.016
34.6,0.016
34.8,0.016
35.0,0.016
35.2,0.016
35.4,0.016
35.6,0.015
35.8,0.013
36.0,0.011
36.2,0.012
36.4,0.012
36.6,0.014
36.8,0.015
37.0,0.015
37.2,0.014
37.4,0.012
37.6,0.007
37.8,0.004
38.0,0.002
38.2,0.001
38.4,0.002
38.6,0.005
38.8,0.008
39.0,0.01
39.2,0.012
39.4,0.014
39.6,0.015
39.8,0.016
40.0,0.018
40.2,0.02
40.4,0.022
40.6,0.021
40.8,0.02
41.0,0.019
41.2,0.016
41.4,0.015
41.6,0.014
41.8,0.013
42.0,0.012
42.2,0.012
42.4,0.012
42.6,0.012
42.8,0.011
43.0,0.012
43.2,0.014
43.4,0.015
43.6,0.016
43.8,0.014
44.0,0.013
44.2,0.011
44.4,0.009
44.6,0.007
44.8,0.009
45.0,0.009
45.2,0.009
45.4,0.011
45.6,0.013
45.8,0.013
46.0,0.013
46.2,0.013
46.4,0.015
46.6,0.017
46.8,0.018
47.0,0.018
47.2,0.018
47.4,0.015
47.6,0.012
47.8,0.009
48.0,0.008
48.2,0.006
48.4,0.005
48.6,0.005
48.8,0.008
49.0,0.01
49.2,0.014
49.4,0.015
49.6,0.016
49.8,0.017
50.0,0.018
50.2,0.018
50.4,0.018
50.6,0.018
50.8,0.017
51.0,0.016
51.2,0.014
51.4,0.013
51.6,0.01
51.8,0.008
52.0,0.009
52.2,0.011
52.4,0.016
52.6,0.018
52.8,0.019
53.0,0.017
53.2,0.017
53.4,0.015
53.6,0.015
53.8,0.017
54.0,0.017
54.2,0.018
54.4,0.019
54.6,0.02
54.8,0.019
55.0,0.018
55.2,0.014
55.4,0.011
55.6,0.01
55.8,0.009
56.0,0.009
56.2,0.01
56.4,0.011
56.6,0.011
56.8,0.012
57.0,0.013
57.2,0.015
57.4,0.014
57.6,0.013
57.8,0.012
58.0,0.013
58.2,0.014
58.4,0.016
58.6,0.017
58.8,0.019
59.0,0.017
59.2,0.015
59.4,0.014
59.6,0.012
59.8,0.01
60.0,0.01
60.2,0.011
60.4,0.009
60.6,0.01
60.8,0.011
61.0,0.011
61.2,0.011
61.4,0.011
61.6,0.01
61.8,0.01
62.0,0.01
62.2,0.01
62.4,0.012
62.6,0.014
62.8,0.016
63.0,0.018
63.2,0.017
63.4,0.016
63.6,0.015
63.8,0.012
64.0,0.009
64.2,0.01
64.4,0.01
