t,y
0.0,0.0
0.2,-0.0
0.4,-0.001
0.6,-0.0
0.8,0.004
1.0,0.006
1.2,0.009
1.4,0.011
1.6,0.011
1.8,0.009
2.0,0.007
2.2,0.007
2.4,0.008
2.6,0.009
2.8,0.01
3.0,0.011
3.2,0.012
3.4,0.011
3.6,0.01
3.8,0.009
4.0,0.009
4.2,0.008
4.4,0.007
4.6,0.007
4.8,0.009
5.0,0.011
5.2,0.014
5.4,0.016
5.6,0.018
5.8,0.019
6.0,0.017
6.2,0.015
6.4,0.015
6.6,0.018
6.8,0.019
7.0,0.02
7.2,0.019
7.4,0.015
7.6,0.011
7.8,0.009
8.0,0.008
8.2,0.009
8.4,0.01
8.6,0.009
8.8,0.008
9.0,0.007
9.2,0.009
9.4,0.012
9.6,0.015
9.8,0.017
10.0,0.019
10.2,0.018
10.4,0.015
10.6,0.013
10.8,0.011
11.0,0.009
11.2,0.009
11.4,0.01
11.6,0.011
11.8,0.012
12.0,0.013
12.2,0.014
12.4,0.015
12.6,0.016
12.8,0.016
13.0,0.017
13.2,0.018
13.4,0.019
13.6,0.019
13.8,0.02
14.0,0.019
14.2,0.018
14.4,0.017
14.6,0.016
14.8,0.015
15.0,0.014
15.2,0.014
15.4,0.015
15.6,0.016
15.8,0.018
16.0,0.018
16.2,0.018
16.4,0.016
16.6,0.014
16.8,0.012
17.0,0.011
17.2,0.011
17.4,0.016
17.6,0.02
17.8,0.024
18.0,0.026
18.2,0.028
18.4,0.028
18.6,0.027
18.8,0.026
19.0,0.029
19.2,0.03
19.4,0.029
19.6,0.027
19.8,0.025
20.0,0.021
20.2,0.018
20.4,0.018
20.6,0.017
20.8,0.017
21.0,0.018
21.2,0.017
21.4,0.015
21.6,0.017
21.8,0.018
22.0,0.018
22.2,0.018
22.4,0.017
22.6,0.015
22.8,0.014
23.0,0.016
23.2,0.016
23.4,0.017
23.6,0.016
23.8,0.016
24.0,0.012
24.2,0.01
24.4,0.008
24.6,0.008
