t,y
0.0,0.0
0.2,0.005
0.4,0.013
0.6,0.032
0.8,0.053
1.0,0.079
1.2,0.107
1.4,0.136
1.6,0.166
1.8,0.196
2.0,0.226
2.2,0.252
2.4,0.28
2.6,0.307
2.8,0.334
3.0,0.359
3.2,0.387
3.4,0.412
3.6,0.437
3.8,0.459
4.0,0.48
4.2,0.502
4.4,0.523
4.6,0.544
4.8,0.566
5.0,0.588
5.2,0.609
5.4,0.63
5.6,0.651
5.8,0.67
6.0,0.687
6.2,0.705
6.4,0.723
6.6,0.736
6.8,0.749
7.0,0.764
7.2,0.779
7.4,0.796
7.6,0.813
7.8,0.831
8.0,0.849
8.2,0.865
8.4,0.878
8.6,0.892
8.8,0.908
9.0,0.921
9.2,0.934
9.4,0.946
9.6,0.957
9.8,0.966
10.0,0.978
10.2,0.989
10.4,1.002
10.6,1.011
10.8,1.02
11.0,1.027
11.2,1.036
11.4,1.046
11.6,1.061
11.8,1.074
12.0,1.087
12.2,1.096
12.4,1.105
12.6,1.111
12.8,1.118
13.0,1.125
13.2,1.135
13.4,1.143
13.6,1.155
13.8,1.165
14.0,1.174
14.2,1.182
14.4,1.189
14.6,1.194
14.8,1.2
15.0,1.208
15.2,1.219
15.4,1.231
15.6,1.241
15.8,1.25
16.0,1.258
16.2,1.266
16.4,1.273
16.6,1.283
16.8,1.29
17.0,1.295
17.2,1.296
17.4,1.296
17.6,1.298
17.8,1.303
18.0,1.311
18.2,1.32
18.4,1.329
18.6,1.336
18.8,1.342
19.0,1.347
19.2,1.353
19.4,1.357
19.6,1.36
19.8,1.366
20.0,1.373
20.2,1.382
20.4,1.393
20.6,1.403
20.8,1.406
21.0,1.406
21.2,1.406
21.4,1.409
21.6,1.411
21.8,1.417
22.0,1.423
22.2,1.429
22.4,1.432
22.6,1.435
22.8,1.44
23.0,1.444
23.2,1.446
23.4,1.45
23.6,1.455
23.8,1.461
24.0,1.468
24.2,1.478
24.4,1.484
24.6,1.49
24.8,1.493
25.0,1.496
25.2,1.498
25.4,1.5
25.6,1.503
25.8,1.505
26.0,1.507
26.2,1.509
26.4,1.513
26.6,1.518
26.8,1.524
27.0,1.53
27.2,1.536
27.4,1.541
27.6,1.543
27.8,1.542
28.0,1.545
28.2,1.549
28.4,1.552
28.6,1.556
28.8,1.559
29.0,1.56
29.2,1.562
29.4,1.565
29.6,1.57
29.8,1.574
30.0,1.577
30.2,1.581
30.4,1.583
30.6,1.585
30.8,1.588
31.0,1.591
31.2,1.591
31.4,1.591
31.6,1.59
31.8,1.59
32.0,1.593
32.2,1.596
32.4,1.601
32.6,1.607
32.8,1.61
33.0,1.611
33.2,1.613
33.4,1.615
33.6,1.615
33.8,1.618
34.0,1.622
34.2,1.626
34.4,1.63
34.6,1.635
34.8,1.641
35.0,1.646
35.2,1.651
35.4,1.653
35.6,1.656
35.8,1.658
36.0,1.661
36.2,1.661
36.4,1.663
36.6,1.664
36.8,1.664
37.0,1.664
37.2,1.667
37.4,1.669
37.6,1.673
37.8,1.677
38.0,1.683
38.2,1.686
38.4,1.686
38.6,1.683
38.8,1.681
39.0,1.68
39.2,1.679
39.4,1.679
39.6,1.683
39.8,1.687
40.0,1.688
40.2,1.691
40.4,1.695
40.6,1.696
40.8,1.698
41.0,1.703
41.2,1.705
41.4,1.708
41.6,1.708
41.8,1.71
42.0,1.712
42.2,1.713
42.4,1.714
42.6,1.717
42.8,1.718
43.0,1.718
43.2,1.72
43.4,1.722
43.6,1.726
43.8,1.731
44.0,1.733
44.2,1.734
44.4,1.735
44.6,1.734
44.8,1.731
45.0,1.73
45.2,1.73
45.4,1.731
45.6,1.734
45.8,1.739
46.0,1.742
46.2,1.742
46.4,1.743
46.6,1.745
46.8,1.744
47.0,1.745
47.2,1.747
47.4,1.748
47.6,1.748
47.8,1.751
48.0,1.753
48.2,1.754
48.4,1.755
48.6,1.753
48.8,1.752
49.0,1.751
49.2,1.751
49.4,1.754
49.6,1.759
49.8,1.765
50.0,1.769
50.2,1.772
50.4,1.772
50.6,1.771
50.8,1.768
51.0,1.77
51.2,1.773
51.4,1.778
51.6,1.783
51.8,1.785
52.0,1.786
52.2,1.785
52.4,1.784
52.6,1.784
52.8,1.785
53.0,1.785
53.2,1.786
53.4,1.786
53.6,1.788
53.8,1.787
54.0,1.787
54.2,1.787
54.4,1.788
54.6,1.789
54.8,1.791
55.0,1.793
55.2,1.796
55.4,1.798
55.6,1.8
55.8,1.805
56.0,1.807
56.2,1.808
56.4,1.809
56.6,1.809
56.8,1.807
57.0,1.806
57.2,1.808
57.4,1.809
57.6,1.811
57.8,1.814
58.0,1.818
58.2,1.819
58.4,1.82
58.6,1.819
58.8,1.819
59.0,1.816
59.2,1.813
59.4,1.812
59.6,1.813
59.8,1.817
60.0,1.821
60.2,1.826
60.4,1.828
60.6,1.828
60.8,1.825
61.0,1.822
61.2,1.82
61.4,1.821
61.6,1.823
61.8,1.827
62.0,1.831
62.2,1.833
62.4,1.834
62.6,1.835
62.8,1.833
63.0,1.832
63.2,1.835
63.4,1.837
63.6,1.836
63.8,1.835
64.0,1.835
64.2,1.834
64.4,1.833
64.6,1.836
64.8,1.84
65.0,1.842
65.2,1.842
65.4,1.843
65.6,1.846
65.8,1.847
66.0,1.85
66.2,1.852
66.4,1.853
66.6,1.853
66.8,1.852
67.0,1.852
67.2,1.853
67.4,1.853
67.6,1.852
67.8,1.852
68.0,1.852
68.2,1.852
68.4,1.854
68.6,1.856
68.8,1.857
69.0,1.856
69.2,1.856
69.4,1.856
69.6,1.857
69.8,1.857
70.0,1.859
70.2,1.86
70.4,1.861
70.6,1.863
70.8,1.863
71.0,1.864
71.2,1.863
71.4,1.862
71.6,1.863
71.8,1.864
72.0,1.865
72.2,1.866
72.4,1.867
72.6,1.867
72.8,1.868
73.0,1.87
73.2,1.874
73.4,1.877
73.6,1.88
73.8,1.884
74.0,1.887
74.2,1.886
74.4,1.884
74.6,1.882
74.8,1.879
75.0,1.876
75.2,1.876
75.4,1.879
75.6,1.88
75.8,1.881
76.0,1.882
76.2,1.882
76.4,1.882
76.6,1.883
76.8,1.886
77.0,1.888
77.2,1.889
77.4,1.888
77.6,1.89
77.8,1.892
78.0,1.892
78.2,1.892
78.4,1.892
78.6,1.893
78.8,1.894
79.0,1.897
79.2,1.901
79.4,1.905
79.6,1.905
79.8,1.903
80.0,1.9
80.2,1.898
80.4,1.896
80.6,1.892
80.8,1.89
81.0,1.888
81.2,1.887
81.4,1.885
81.6,1.888
81.8,1.891
82.0,1.893
82.2,1.898
82.4,1.904
82.6,1.906
82.8,1.905
83.0,1.905
83.2,1.904
83.4,1.901
83.6,1.898
83.8,1.898
84.0,1.898
84.2,1.898
84.4,1.9
84.6,1.903
84.8,1.904
85.0,1.903
85.2,1.903
85.4,1.9
85.6,1.899
85.8,1.899
86.0,1.901
86.2,1.902
86.4,1.905
86.6,1.91
86.8,1.913
87.0,1.914
87.2,1.914
87.4,1.913
87.6,1.913
87.8,1.911
88.0,1.911
88.2,1.913
88.4,1.915
88.6,1.915
88.8,1.917
89.0,1.92
89.2,1.92
89.4,1.921
89.6,1.922
89.8,1.92
90.0,1.919
90.2,1.919
90.4,1.919
90.6,1.919
90.8,1.919
91.0,1.917
91.2,1.916
91.4,1.918
91.6,1.921
91.8,1.926
92.0,1.927
92.2,1.927
92.4,1.924
92.6,1.921
92.8,1.918
93.0,1.917
93.2,1.918
93.4,1.92
93.6,1.924
93.8,1.928
94.0,1.93
94.2,1.93
94.4,1.929
94.6,1.927
94.8,1.926
95.0,1.927
95.2,1.929
95.4,1.931
95.6,1.931
95.8,1.93
96.0,1.929
96.2,1.926
96.4,1.926
96.6,1.928
96.8,1.933
97.0,1.935
97.2,1.938
97.4,1.94
97.6,1.94
97.8,1.938
98.0,1.937
98.2,1.937
98.4,1.937
98.6,1.936
98.8,1.936
99.0,1.936
99.2,1.936
99.4,1.938
99.6,1.937
99.8,1.937
100.0,1.938
100.2,1.939
100.4,1.942
100.6,1.946
100.8,1.95
101.0,1.953
101.2,1.953
101.4,1.951
101.6,1.948
101.8,1.944
102.0,1.942
102.2,1.942
102.4,1.942
102.6,1.942
102.8,1.941
103.0,1.942
103.2,1.942
103.4,1.945
103.6,1.945
103.8,1.945
104.0,1.947
104.2,1.949
104.4,1.951
104.6,1.952
104.8,1.954
105.0,1.953
105.2,1.949
105.4,1.945
105.6,1.944
105.8,1.945
106.0,1.944
106.2,1.946
106.4,1.947
106.6,1.948
106.8,1.947
107.0,1.947
107.2,1.945
107.4,1.945
107.6,1.944
107.8,1.944
108.0,1.946
108.2,1.95
108.4,1.952
108.6,1.954
108.8,1.957
109.0,1.96
109.2,1.958
109.4,1.958
109.6,1.956
109.8,1.955
110.0,1.952
110.2,1.952
110.4,1.953
110.6,1.954
110.8,1.954
111.0,1.956
111.2,1.956
111.4,1.956
111.6,1.954
111.8,1.957
112.0,1.96
112.2,1.962
112.4,1.961
112.6,1.962
112.8,1.961
113.0,1.959
113.2,1.961
113.4,1.962
113.6,1.963
113.8,1.963
114.0,1.965
114.2,1.963
114.4,1.963
114.6,1.964
114.8,1.966
115.0,1.966
115.2,1.967
115.4,1.967
115.6,1.968
115.8,1.967
116.0,1.965
116.2,1.967
116.4,1.967
116.6,1.967
116.8,1.966
117.0,1.969
117.2,1.972
117.4,1.975
117.6,1.979
117.8,1.981
118.0,1.983
118.2,1.981
118.4,1.981
118.6,1.978
118.8,1.976
119.0,1.973
119.2,1.972
119.4,1.972
119.6,1.973
119.8,1.972
120.0,1.973
120.2,1.974
120.4,1.972
120.6,1.971
120.8,1.973
121.0,1.974
121.2,1.972
121.4,1.972
121.6,1.971
121.8,1.97
122.0,1.971
122.2,1.972
122.4,1.974
122.6,1.975
122.8,1.977
123.0,1.975
123.2,1.975
123.4,1.976
123.6,1.977
123.8,1.977
124.0,1.977
124.2,1.977
124.4,1.977
124.6,1.977
124.8,1.977
125.0,1.978
125.2,1.978
125.4,1.979
125.6,1.981
125.8,1.98
126.0,1.981
126.2,1.983
126.4,1.981
126.6,1.979
126.8,1.978
127.0,1.979
127.2,1.978
127.4,1.979
127.6,1.982
127.8,1.985
128.0,1.985
128.2,1.985
128.4,1.987
128.6,1.987
128.8,1.987
129.0,1.987
129.2,1.987
129.4,1.986
129.6,1.984
129.8,1.981
130.0,1.978
130.2,1.979
130.4,1.979
130.6,1.98
130.8,1.984
131.0,1.985
131.2,1.983
131.4,1.983
131.6,1.983
131.8,1.981
132.0,1.983
132.2,1.986
132.4,1.987
132.6,1.986
132.8,1.985
133.0,1.985
133.2,1.983
133.4,1.979
133.6,1.978
133.8,1.98
134.0,1.984
134.2,1.987
134.4,1.992
134.6,1.993
134.8,1.992
135.0,1.988
135.2,1.986
135.4,1.988
135.6,1.99
135.8,1.992
136.0,1.994
136.2,1.999
136.4,1.997
136.6,1.997
136.8,1.996
137.0,1.995
137.2,1.989
137.4,1.985
137.6,1.985
137.8,1.987
138.0,1.989
138.2,1.993
138.4,1.996
138.6,1.993
138.8,1.992
139.0,1.991
139.2,1.99
139.4,1.988
139.6,1.989
139.8,1.989
140.0,1.988
140.2,1.988
140.4,1.99
140.6,1.992
140.8,1.994
141.0,1.993
141.2,1.992
141.4,1.989
141.6,1.988
141.8,1.988
142.0,1.99
142.2,1.992
142.4,1.996
142.6,1.998
142.8,1.999
143.0,2.0
