t,y
0.0,0.0
0.2,-0.001
0.4,0.002
0.6,0.003
0.8,0.005
1.0,0.008
1.2,0.014
1.4,0.018
1.6,0.024
1.8,0.028
2.0,0.03
2.2,0.028
2.4,0.029
2.6,0.03
2.8,0.034
3.0,0.037
3.2,0.042
3.4,0.045
3.6,0.046
3.8,0.045
4.0,0.043
4.2,0.043
4.4,0.042
4.6,0.043
4.8,0.045
5.0,0.05
5.2,0.055
5.4,0.06
5.6,0.061
5.8,0.062
6.0,0.061
6.2,0.059
6.4,0.056
6.6,0.056
6.8,0.054
7.0,0.055
7.2,0.056
7.4,0.061
7.6,0.062
7.8,0.065
8.0,0.068
8.2,0.069
8.4,0.066
8.6,0.066
8.8,0.066
9.0,0.064
9.2,0.06
9.4,0.06
9.6,0.061
9.8,0.061
10.0,0.061
10.2,0.064
10.4,0.067
10.6,0.067
10.8,0.068
11.0,0.068
11.2,0.068
11.4,0.065
11.6,0.065
11.8,0.065
12.0,0.067
12.2,0.065
12.4,0.066
12.6,0.066
12.8,0.064
13.0,0.064
13.2,0.066
13.4,0.067
13.6,0.069
13.8,0.072
14.0,0.073
14.2,0.073
14.4,0.072
14.6,0.07
14.8,0.067
15.0,0.064
15.2,0.06
15.4,0.059
15.6,0.058
15.8,0.057
16.0,0.057
16.2,0.059
16.4,0.06
16.6,0.061
16.8,0.063
17.0,0.065
17.2,0.065
17.4,0.064
17.6,0.065
17.8,0.065
18.0,0.064
18.2,0.064
18.4,0.064
18.6,0.064
18.8,0.062
19.0,0.061
19.2,0.059
19.4,0.057
19.6,0.055
19.8,0.053
20.0,0.054
20.2,0.053
20.4,0.055
20.6,0.055
20.8,0.056
21.0,0.054
21.2,0.056
21.4,0.056
21.6,0.056
21.8,0.057
22.0,0.059
22.2,0.059
22.4,0.055
22.6,0.054
22.8,0.051
23.0,0.046
23.2,0.044
23.4,0.043
23.6,0.042
23.8,0.043
24.0,0.048
24.2,0.051
24.4,0.053
24.6,0.052
24.8,0.051
25.0,0.047
25.2,0.046
25.4,0.047
25.6,0.049
25.8,0.052
26.0,0.053
26.2,0.052
26.4,0.052
26.6,0.052
26.8,0.055
27.0,0.055
27.2,0.053
27.4,0.051
27.6,0.047
27.8,0.042
28.0,0.041
28.2,0.044
28.4,0.048
28.6,0.052
28.8,0.056
29.0,0.06
29.2,0.061
29.4,0.059
29.6,0.058
29.8,0.054
30.0,0.052
30.2,0.05
30.4,0.05
30.6,0.05
30.8,0.051
31.0,0.05
31.2,0.05
31.4,0.05
31.6,0.052
31.8,0.054
32.0,0.058
32.2,0.059
32.4,0.059
32.6,0.057
32.8,0.054
33.0,0.05
33.2,0.046
33.4,0.044
33.6,0.045
33.8,0.045
34.0,0.049
34.2,0.051
34.4,0.052
34.6,0.053
34.8,0.053
35.0,0.052
35.2,0.053
35.4,0.051
35.6,0.05
35.8,0.047
36.0,0.046
36.2,0.046
36.4,0.045
36.6,0.044
36.8,0.046
37.0,0.047
37.2,0.048
37.4,0.048
37.6,0.05
37.8,0.049
38.0,0.047
38.2,0.047
38.4,0.045
38.6,0.042
38.8,0.039
39.0,0.04
39.2,0.04
39.4,0.044
39.6,0.049
39.8,0.053
40.0,0.053
40.2,0.051
40.4,0.049
40.6,0.046
40.8,0.043
41.0,0.042
41.2,0.041
41.4,0.04
41.6,0.04
41.8,0.041
42.0,0.043
42.2,0.044
42.4,0.044
42.6,0.044
42.8,0.042
43.0,0.043
43.2,0.044
43.4,0.044
43.6,0.043
43.8,0.043
44.0,0.042
44.2,0.039
44.4,0.039
44.6,0.041
44.8,0.041
45.0,0.04
45.2,0.038
45.4,0.035
45.6,0.033
45.8,0.032
46.0,0.034
46.2,0.035
46.4,0.038
46.6,0.04
46.8,0.042
47.0,0.044
47.2,0.045
47.4,0.045
47.6,0.043
47.8,0.041
48.0,0.04
48.2,0.04
48.4,0.042
48.6,0.044
48.8,0.043
49.0,0.042
49.2,0.041
49.4,0.039
49.6,0.037
49.8,0.039
50.0,0.04
50.2,0.04
50.4,0.039
50.6,0.04
50.8,0.038
51.0,0.037
51.2,0.036
51.4,0.036
51.6,0.036
51.8,0.036
52.0,0.037
52.2,0.036
52.4,0.037
52.6,0.037
52.8,0.037
53.0,0.037
53.2,0.037
53.4,0.038
53.6,0.038
53.8,0.04
54.0,0.042
54.2,0.044
54.4,0.043
54.6,0.042
54.8,0.04
55.0,0.038
55.2,0.037
55.4,0.037
55.6,0.034
55.8,0.033
56.0,0.033
56.2,0.034
56.4,0.035
56.6,0.037
56.8,0.038
57.0,0.038
57.2,0.038
57.4,0.036
57.6,0.036
57.8,0.037
58.0,0.038
58.2,0.039
58.4,0.04
58.6,0.041
58.8,0.039
59.0,0.038
59.2,0.036
59.4,0.034
59.6,0.032
59.8,0.031
60.0,0.03
60.2,0.029
60.4,0.029
60.6,0.032
60.8,0.034
61.0,0.034
61.2,0.035
61.4,0.035
61.6,0.032
61.8,0.031
62.0,0.031
62.2,0.031
62.4,0.032
62.6,0.034
62.8,0.034
63.0,0.034
63.2,0.03
63.4,0.026
63.6,0.024
63.8,0.022
64.0,0.021
64.2,0.023
64.4,0.025
64.6,0.026
64.8,0.029
65.0,0.029
65.2,0.03
