t,y
0.0,0.0
0.2,0.004
0.4,0.007
0.6,0.013
0.8,0.019
1.0,0.023
1.2,0.025
1.4,0.026
1.6,0.026
1.8,0.026
2.0,0.027
2.2,0.03
2.4,0.032
2.6,0.034
2.8,0.036
3.0,0.036
3.2,0.034
3.4,0.034
3.6,0.035
3.8,0.037
4.0,0.04
4.2,0.042
4.4,0.043
4.6,0.043
4.8,0.043
5.0,0.042
5.2,0.043
5.4,0.046
5.6,0.047
5.8,0.047
6.0,0.048
6.2,0.047
6.4,0.045
6.6,0.042
6.8,0.04
7.0,0.039
7.2,0.039
7.4,0.039
7.6,0.04
7.8,0.041
8.0,0.042
8.2,0.042
8.4,0.043
8.6,0.045
8.8,0.046
9.0,0.047
9.2,0.048
9.4,0.05
9.6,0.051
9.8,0.05
10.0,0.05
10.2,0.049
10.4,0.048
10.6,0.048
10.8,0.049
11.0,0.051
11.2,0.053
11.4,0.053
11.6,0.053
11.8,0.053
12.0,0.05
12.2,0.048
12.4,0.046
12.6,0.045
12.8,0.045
13.0,0.046
13.2,0.048
13.4,0.05
13.6,0.05
13.8,0.048
14.0,0.048
14.2,0.046
14.4,0.044
14.6,0.043
14.8,0.043
15.0,0.044
15.2,0.046
15.4,0.047
15.6,0.05
15.8,0.053
16.0,0.054
16.2,0.055
16.4,0.054
16.6,0.054
16.8,0.053
17.0,0.052
17.2,0.052
17.4,0.053
17.6,0.055
17.8,0.054
18.0,0.055
18.2,0.054
18.4,0.053
18.6,0.051
18.8,0.052
19.0,0.051
19.2,0.051
19.4,0.052
19.6,0.051
19.8,0.05
20.0,0.051
20.2,0.051
20.4,0.049
20.6,0.051
20.8,0.053
21.0,0.054
21.2,0.053
21.4,0.053
21.6,0.053
21.8,0.051
22.0,0.051
22.2,0.05
22.4,0.048
22.6,0.046
22.8,0.044
23.0,0.043
23.2,0.044
23.4,0.046
23.6,0.049
23.8,0.052
24.0,0.056
24.2,0.057
24.4,0.058
24.6,0.057
24.8,0.053
25.0,0.048
25.2,0.046
25.4,0.045
25.6,0.044
25.8,0.045
26.0,0.046
26.2,0.047
26.4,0.047
26.6,0.045
26.8,0.045
27.0,0.045
27.2,0.044
27.4,0.045
27.6,0.049
27.8,0.052
28.0,0.054
28.2,0.056
28.4,0.058
28.6,0.059
28.8,0.057
29.0,0.057
29.2,0.055
29.4,0.055
29.6,0.054
29.8,0.053
30.0,0.053
30.2,0.052
30.4,0.051
30.6,0.049
30.8,0.05
31.0,0.05
31.2,0.051
31.4,0.05
31.6,0.05
31.8,0.049
32.0,0.049
32.2,0.05
32.4,0.053
32.6,0.055
32.8,0.054
33.0,0.054
33.2,0.053
33.4,0.051
33.6,0.05
33.8,0.052
34.0,0.053
34.2,0.053
34.4,0.053
34.6,0.053
34.8,0.053
35.0,0.052
35.2,0.052
35.4,0.051
35.6,0.05
35.8,0.05
36.0,0.052
36.2,0.052
36.4,0.055
36.6,0.056
36.8,0.056
37.0,0.054
37.2,0.053
37.4,0.053
37.6,0.053
37.8,0.054
38.0,0.056
38.2,0.058
38.4,0.058
38.6,0.058
38.8,0.058
39.0,0.061
39.2,0.062
39.4,0.061
39.6,0.061
39.8,0.061
40.0,0.058
40.2,0.056
40.4,0.055
40.6,0.054
40.8,0.053
41.0,0.053
41.2,0.052
41.4,0.052
41.6,0.052
41.8,0.052
42.0,0.052
42.2,0.052
42.4,0.053
42.6,0.056
42.8,0.057
43.0,0.058
43.2,0.057
43.4,0.055
43.6,0.054
43.8,0.053
44.0,0.055
44.2,0.059
44.4,0.059
44.6,0.057
44.8,0.054
45.0,0.052
45.2,0.051
45.4,0.054
