t,y
0.0,0.0
0.2,-0.002
0.4,-0.004
0.6,-0.004
0.8,-0.005
1.0,-0.005
1.2,-0.004
1.4,-0.002
1.6,-0.002
1.8,0.0
2.0,-0.0
2.2,-0.001
2.4,-0.004
2.6,-0.005
2.8,-0.005
3.0,-0.003
3.2,0.001
3.4,0.003
3.6,0.003
3.8,0.004
4.0,0.002
4.2,-0.001
4.4,-0.003
4.6,-0.004
4.8,-0.004
5.0,-0.004
5.2,-0.004
5.4,-0.005
5.6,-0.004
5.8,-0.003
6.0,-0.003
6.2,-0.0
6.4,0.003
6.6,0.004
6.8,0.005
7.0,0.007
7.2,0.006
7.4,0.005
7.6,0.003
7.8,0.002
8.0,-0.0
8.2,-0.002
8.4,-0.003
8.6,-0.002
8.8,-0.003
9.0,-0.004
9.2,-0.004
9.4,-0.005
9.6,-0.006
9.8,-0.006
10.0,-0.005
10.2,-0.003
10.4,-0.003
10.6,-0.003
10.8,-0.001
11.0,-0.0
11.2,-0.0
11.4,-0.001
11.6,0.0
11.8,0.002
12.0,0.005
12.2,0.006
12.4,0.008
12.6,0.007
12.8,0.003
13.0,-0.002
13.2,-0.004
13.4,-0.006
13.6,-0.006
13.8,-0.005
14.0,-0.002
14.2,-0.002
14.4,0.001
14.6,0.003
14.8,0.004
15.0,0.003
15.2,0.002
15.4,-0.0
15.6,-0.001
15.8,-0.001
16.0,0.0
16.2,0.002
16.4,0.002
16.6,-0.0
16.8,-0.002
17.0,-0.003
17.2,-0.005
17.4,-0.003
17.6,0.001
17.8,0.004
18.0,0.007
18.2,0.008
18.4,0.007
18.6,0.003
18.8,0.002
19.0,-0.001
19.2,-0.003
19.4,-0.003
19.6,-0.002
19.8,-0.002
20.0,-0.001
20.2,-0.0
20.4,0.002
20.6,0.004
20.8,0.006
21.0,0.007
21.2,0.007
21.4,0.006
21.6,0.004
21.8,0.003
22.0,0.001
22.2,-0.002
22.4,-0.005
22.6,-0.005
22.8,-0.006
23.0,-0.006
23.2,-0.004
23.4,-0.003
23.6,-0.001
23.8,0.0
24.0,0.002
24.2,0.003
24.4,0.003
24.6,0.002
24.8,-0.0
25.0,-0.002
25.2,-0.002
25.4,-0.003
25.6,-0.003
25.8,-0.003
26.0,-0.003
26.2,-0.003
26.4,-0.002
26.6,-0.002
26.8,-0.003
27.0,-0.004
27.2,-0.005
27.4,-0.005
27.6,-0.004
27.8,-0.002
28.0,0.0
28.2,0.002
28.4,0.003
28.6,0.002
28.8,0.0
29.0,-0.001
29.2,-0.001
29.4,-0.002
29.6,-0.0
29.8,0.003
30.0,0.005
30.2,0.006
30.4,0.006
30.6,0.005
30.8,0.002
31.0,0.001
31.2,0.001
31.4,0.001
31.6,0.0
31.8,0.001
32.0,0.001
32.2,0.001
32.4,0.0
32.6,0.001
32.8,0.001
33.0,0.001
33.2,0.002
33.4,0.003
33.6,0.003
33.8,0.001
34.0,0.001
34.2,-0.003
34.4,-0.005
34.6,-0.006
34.8,-0.005
35.0,-0.005
35.2,-0.002
35.4,0.001
35.6,0.003
35.8,0.005
36.0,0.007
36.2,0.007
36.4,0.006
36.6,0.003
36.8,0.002
37.0,-0.0
37.2,-0.003
37.4,-0.004
37.6,-0.005
37.8,-0.006
38.0,-0.005
38.2,-0.003
38.4,-0.0
38.6,0.002
38.8,0.003
39.0,0.006
39.2,0.008
39.4,0.008
39.6,0.008
39.8,0.006
40.0,0.003
40.2,-0.001
40.4,-0.002
40.6,-0.001
40.8,0.001
41.0,0.002
41.2,0.002
41.4,0.0
41.6,-0.002
41.8,-0.005
42.0,-0.003
42.2,-0.001
42.4,0.002
42.6,0.005
42.8,0.008
43.0,0.008
43.2,0.008
43.4,0.008
43.6,0.007
43.8,0.007
44.0,0.006
44.2,0.003
44.4,0.001
44.6,0.001
44.8,-0.001
45.0,-0.003
45.2,-0.003
45.4,-0.002
45.6,-0.002
45.8,-0.0
46.0,0.002
46.2,0.005
46.4,0.008
46.6,0.01
46.8,0.008
