t,y
0.0,0.0
0.2,0.001
0.4,0.002
0.6,0.002
0.8,0.005
1.0,0.01
1.2,0.014
1.4,0.02
1.6,0.027
1.8,0.036
2.0,0.043
2.2,0.05
2.4,0.056
2.6,0.062
2.8,0.067
3.0,0.074
3.2,0.081
3.4,0.087
3.6,0.089
3.8,0.092
4.0,0.093
4.2,0.095
4.4,0.096
4.6,0.097
4.8,0.1
5.0,0.104
5.2,0.108
5.4,0.112
5.6,0.117
5.8,0.121
6.0,0.124
6.2,0.126
6.4,0.13
6.6,0.133
6.8,0.134
7.0,0.135
7.2,0.138
7.4,0.138
7.6,0.139
7.8,0.141
8.0,0.142
8.2,0.142
8.4,0.145
8.6,0.148
8.8,0.151
9.0,0.155
9.2,0.158
9.4,0.16
9.6,0.162
9.8,0.164
10.0,0.166
10.2,0.168
10.4,0.17
10.6,0.171
10.8,0.172
11.0,0.172
11.2,0.175
11.4,0.177
11.6,0.18
11.8,0.183
12.0,0.186
12.2,0.187
12.4,0.187
12.6,0.185
12.8,0.187
13.0,0.186
13.2,0.186
13.4,0.186
13.6,0.185
13.8,0.183
14.0,0.183
14.2,0.185
14.4,0.189
14.6,0.192
14.8,0.195
15.0,0.197
15.2,0.198
15.4,0.197
15.6,0.196
15.8,0.197
16.0,0.197
16.2,0.198
16.4,0.198
16.6,0.2
16.8,0.2
17.0,0.199
17.2,0.201
17.4,0.203
17.6,0.206
17.8,0.208
18.0,0.209
18.2,0.208
18.4,0.208
18.6,0.206
18.8,0.206
19.0,0.206
19.2,0.207
19.4,0.207
19.6,0.21
19.8,0.212
20.0,0.217
20.2,0.221
20.4,0.223
20.6,0.223
20.8,0.223
21.0,0.22
21.2,0.216
21.4,0.214
21.6,0.213
21.8,0.214
22.0,0.215
22.2,0.217
22.4,0.219
22.6,0.22
22.8,0.221
23.0,0.22
23.2,0.219
23.4,0.216
23.6,0.213
23.8,0.211
24.0,0.211
24.2,0.211
24.4,0.211
24.6,0.211
24.8,0.211
25.0,0.21
25.2,0.209
25.4,0.208
25.6,0.207
25.8,0.205
26.0,0.206
26.2,0.207
26.4,0.208
26.6,0.21
26.8,0.212
27.0,0.211
27.2,0.209
27.4,0.208
27.6,0.208
27.8,0.207
28.0,0.21
28.2,0.212
28.4,0.214
28.6,0.214
28.8,0.213
29.0,0.211
29.2,0.21
29.4,0.209
29.6,0.211
29.8,0.211
30.0,0.211
30.2,0.211
30.4,0.211
30.6,0.209
30.8,0.209
31.0,0.208
31.2,0.208
31.4,0.207
31.6,0.209
31.8,0.21
32.0,0.212
32.2,0.213
32.4,0.215
32.6,0.217
32.8,0.218
33.0,0.216
33.2,0.214
33.4,0.213
33.6,0.211
33.8,0.21
34.0,0.211
34.2,0.211
34.4,0.211
34.6,0.209
34.8,0.209
35.0,0.209
35.2,0.209
35.4,0.207
35.6,0.208
35.8,0.209
36.0,0.21
36.2,0.211
36.4,0.211
36.6,0.209
36.8,0.208
37.0,0.21
37.2,0.212
37.4,0.214
37.6,0.216
37.8,0.217
38.0,0.216
38.2,0.214
38.4,0.214
38.6,0.214
38.8,0.212
39.0,0.21
39.2,0.212
39.4,0.214
39.6,0.216
39.8,0.217
40.0,0.215
40.2,0.212
40.4,0.208
40.6,0.206
40.8,0.205
41.0,0.205
41.2,0.204
41.4,0.203
41.6,0.201
41.8,0.202
42.0,0.202
42.2,0.204
42.4,0.206
42.6,0.208
42.8,0.21
43.0,0.213
43.2,0.216
43.4,0.218
43.6,0.219
43.8,0.218
44.0,0.216
44.2,0.211
44.4,0.208
44.6,0.206
44.8,0.205
45.0,0.204
45.2,0.204
45.4,0.203
45.6,0.201
45.8,0.201
46.0,0.201
46.2,0.203
46.4,0.203
46.6,0.204
46.8,0.203
47.0,0.203
47.2,0.201
47.4,0.201
47.6,0.2
47.8,0.201
48.0,0.199
48.2,0.198
48.4,0.196
48.6,0.198
48.8,0.199
49.0,0.2
49.2,0.198
49.4,0.196
49.6,0.191
49.8,0.188
50.0,0.187
50.2,0.189
50.4,0.193
50.6,0.198
50.8,0.2
51.0,0.202
51.2,0.204
51.4,0.204
51.6,0.201
51.8,0.199
52.0,0.198
52.2,0.198
52.4,0.198
52.6,0.2
52.8,0.202
53.0,0.202
53.2,0.2
53.4,0.198
53.6,0.197
53.8,0.196
54.0,0.196
54.2,0.199
54.4,0.201
54.6,0.202
54.8,0.203
55.0,0.204
55.2,0.204
55.4,0.203
55.6,0.203
55.8,0.204
56.0,0.203
56.2,0.201
56.4,0.201
56.6,0.2
56.8,0.197
57.0,0.196
57.2,0.195
57.4,0.194
57.6,0.193
57.8,0.193
58.0,0.194
58.2,0.194
58.4,0.195
58.6,0.194
58.8,0.194
59.0,0.193
59.2,0.192
59.4,0.191
59.6,0.191
59.8,0.19
60.0,0.192
60.2,0.191
60.4,0.191
60.6,0.191
60.8,0.193
61.0,0.195
61.2,0.198
61.4,0.2
61.6,0.204
61.8,0.203
62.0,0.203
62.2,0.203
62.4,0.204
62.6,0.203
62.8,0.203
63.0,0.203
63.2,0.201
63.4,0.199
63.6,0.195
63.8,0.194
64.0,0.192
64.2,0.192
64.4,0.193
64.6,0.196
64.8,0.197
65.0,0.197
65.2,0.196
