t,y
0.0,0.0
0.2,0.0
0.4,-0.0
0.6,0.001
0.8,0.002
1.0,0.003
1.2,0.002
1.4,0.005
1.6,0.009
1.8,0.015
2.0,0.02
2.2,0.023
2.4,0.024
2.6,0.023
2.8,0.022
3.0,0.021
3.2,0.021
3.4,0.023
3.6,0.027
3.8,0.029
4.0,0.031
4.2,0.035
4.4,0.038
4.6,0.039
4.8,0.041
5.0,0.044
5.2,0.047
5.4,0.048
5.6,0.05
5.8,0.05
6.0,0.051
6.2,0.05
6.4,0.049
6.6,0.048
6.8,0.049
7.0,0.052
7.2,0.056
7.4,0.06
7.6,0.062
7.8,0.063
8.0,0.063
8.2,0.063
8.4,0.065
8.6,0.069
8.8,0.072
9.0,0.073
9.2,0.075
9.4,0.078
9.6,0.08
9.8,0.083
10.0,0.086
10.2,0.087
10.4,0.087
10.6,0.085
10.8,0.086
11.0,0.087
11.2,0.089
11.4,0.092
11.6,0.093
11.8,0.094
12.0,0.096
12.2,0.097
12.4,0.098
12.6,0.102
12.8,0.104
13.0,0.102
13.2,0.102
13.4,0.103
13.6,0.102
13.8,0.101
14.0,0.1
14.2,0.099
14.4,0.099
14.6,0.1
14.8,0.102
15.0,0.106
15.2,0.108
15.4,0.11
15.6,0.114
15.8,0.117
16.0,0.12
16.2,0.124
16.4,0.126
16.6,0.126
16.8,0.127
17.0,0.127
17.2,0.126
17.4,0.126
17.6,0.125
17.8,0.124
18.0,0.125
18.2,0.126
18.4,0.127
18.6,0.128
18.8,0.132
19.0,0.135
19.2,0.137
19.4,0.138
19.6,0.141
19.8,0.139
20.0,0.136
20.2,0.136
20.4,0.139
20.6,0.141
20.8,0.144
21.0,0.148
21.2,0.149
21.4,0.148
21.6,0.147
21.8,0.149
22.0,0.15
22.2,0.15
22.4,0.15
22.6,0.151
22.8,0.15
23.0,0.15
23.2,0.151
23.4,0.151
23.6,0.151
23.8,0.15
24.0,0.15
24.2,0.15
24.4,0.153
24.6,0.155
