t,y
0.0,0.0
0.2,0.003
0.4,0.008
0.6,0.015
0.8,0.029
1.0,0.046
1.2,0.065
1.4,0.085
1.6,0.103
1.8,0.122
2.0,0.143
2.2,0.162
2.4,0.181
2.6,0.199
2.8,0.215
3.0,0.23
3.2,0.247
3.4,0.262
3.6,0.278
3.8,0.294
4.0,0.308
4.2,0.324
4.4,0.341
4.6,0.358
4.8,0.375
5.0,0.39
5.2,0.403
5.4,0.417
5.6,0.429
5.8,0.443
6.0,0.458
6.2,0.472
6.4,0.484
6.6,0.493
6.8,0.502
7.0,0.51
7.2,0.522
7.4,0.532
7.6,0.545
7.8,0.558
8.0,0.571
8.2,0.58
8.4,0.59
8.6,0.598
8.8,0.608
9.0,0.616
9.2,0.625
9.4,0.634
9.6,0.644
9.8,0.651
10.0,0.659
10.2,0.668
10.4,0.676
10.6,0.686
10.8,0.696
11.0,0.704
11.2,0.711
11.4,0.715
11.6,0.718
11.8,0.723
12.0,0.73
12.2,0.738
12.4,0.748
12.6,0.757
12.8,0.765
13.0,0.769
13.2,0.772
13.4,0.776
13.6,0.779
13.8,0.781
14.0,0.786
14.2,0.791
14.4,0.797
14.6,0.805
14.8,0.811
15.0,0.818
15.2,0.824
15.4,0.829
15.6,0.835
15.8,0.841
16.0,0.845
16.2,0.849
16.4,0.853
16.6,0.854
16.8,0.861
17.0,0.868
17.2,0.872
17.4,0.875
17.6,0.879
17.8,0.88
18.0,0.88
18.2,0.884
18.4,0.888
18.6,0.891
18.8,0.893
19.0,0.896
19.2,0.897
19.4,0.901
19.6,0.904
19.8,0.907
20.0,0.908
20.2,0.911
20.4,0.91
20.6,0.913
20.8,0.915
21.0,0.918
21.2,0.92
21.4,0.924
21.6,0.925
21.8,0.925
22.0,0.925
22.2,0.926
22.4,0.928
22.6,0.932
22.8,0.936
23.0,0.94
23.2,0.941
23.4,0.94
23.6,0.939
23.8,0.94
24.0,0.941
24.2,0.945
24.4,0.949
24.6,0.951
24.8,0.952
25.0,0.953
25.2,0.953
25.4,0.954
25.6,0.957
25.8,0.96
26.0,0.962
26.2,0.964
26.4,0.965
26.6,0.965
26.8,0.963
27.0,0.963
27.2,0.964
27.4,0.965
27.6,0.965
27.8,0.966
28.0,0.967
28.2,0.968
28.4,0.967
28.6,0.969
28.8,0.969
29.0,0.971
29.2,0.972
29.4,0.973
29.6,0.975
29.8,0.976
30.0,0.977
30.2,0.978
30.4,0.979
30.6,0.982
30.8,0.983
31.0,0.983
31.2,0.983
31.4,0.983
31.6,0.981
31.8,0.979
32.0,0.979
32.2,0.979
32.4,0.977
32.6,0.975
32.8,0.976
33.0,0.978
33.2,0.979
33.4,0.98
33.6,0.983
33.8,0.985
34.0,0.986
34.2,0.989
34.4,0.993
34.6,0.996
34.8,0.996
35.0,0.993
35.2,0.988
35.4,0.985
35.6,0.984
35.8,0.985
36.0,0.988
36.2,0.991
36.4,0.994
36.6,0.996
36.8,0.996
37.0,0.996
37.2,0.995
37.4,0.992
37.6,0.988
37.8,0.985
38.0,0.983
38.2,0.985
38.4,0.988
38.6,0.989
38.8,0.991
39.0,0.993
39.2,0.993
39.4,0.993
39.6,0.994
39.8,0.997
40.0,0.997
40.2,0.997
40.4,0.996
40.6,0.995
40.8,0.995
41.0,0.997
41.2,0.998
41.4,1.001
41.6,1.002
41.8,1.002
42.0,1.0
42.2,0.997
42.4,0.993
42.6,0.992
42.8,0.995
43.0,0.998
43.2,1.001
43.4,1.004
43.6,1.005
43.8,1.001
44.0,0.998
44.2,0.995
44.4,0.993
44.6,0.993
44.8,0.994
45.0,0.994
45.2,0.994
45.4,0.993
45.6,0.992
45.8,0.992
46.0,0.993
46.2,0.993
46.4,0.993
46.6,0.992
46.8,0.99
47.0,0.987
47.2,0.985
47.4,0.985
47.6,0.985
47.8,0.985
48.0,0.986
48.2,0.988
48.4,0.989
48.6,0.989
48.8,0.99
49.0,0.992
49.2,0.992
49.4,0.994
49.6,0.997
49.8,0.997
50.0,0.996
50.2,0.995
50.4,0.993
50.6,0.991
50.8,0.99
51.0,0.99
51.2,0.989
51.4,0.989
51.6,0.991
51.8,0.993
52.0,0.994
52.2,0.995
52.4,0.995
52.6,0.994
52.8,0.992
53.0,0.99
53.2,0.988
53.4,0.987
53.6,0.987
53.8,0.987
54.0,0.987
54.2,0.988
54.4,0.989
54.6,0.988
54.8,0.988
55.0,0.986
55.2,0.983
55.4,0.982
55.6,0.982
55.8,0.982
56.0,0.985
56.2,0.986
56.4,0.988
56.6,0.987
56.8,0.988
57.0,0.988
57.2,0.989
57.4,0.989
57.6,0.988
57.8,0.985
58.0,0.983
58.2,0.981
58.4,0.977
58.6,0.976
58.8,0.978
59.0,0.981
59.2,0.986
59.4,0.988
59.6,0.988
59.8,0.986
60.0,0.984
60.2,0.982
60.4,0.982
60.6,0.985
60.8,0.99
61.0,0.991
61.2,0.993
61.4,0.993
61.6,0.992
61.8,0.989
62.0,0.987
62.2,0.984
62.4,0.982
62.6,0.981
62.8,0.981
63.0,0.98
63.2,0.982
63.4,0.983
63.6,0.982
63.8,0.981
64.0,0.979
64.2,0.978
64.4,0.976
64.6,0.978
64.8,0.979
65.0,0.98
65.2,0.981
65.4,0.981
65.6,0.979
65.8,0.978
66.0,0.978
66.2,0.977
66.4,0.976
66.6,0.975
66.8,0.977
67.0,0.976
67.2,0.976
67.4,0.977
67.6,0.977
67.8,0.975
68.0,0.975
68.2,0.975
68.4,0.976
68.6,0.98
68.8,0.984
69.0,0.986
69.2,0.987
69.4,0.987
69.6,0.987
69.8,0.986
70.0,0.988
70.2,0.99
70.4,0.99
70.6,0.987
70.8,0.982
71.0,0.979
71.2,0.977
71.4,0.976
71.6,0.978
71.8,0.981
72.0,0.982
72.2,0.98
72.4,0.979
72.6,0.978
72.8,0.978
73.0,0.976
73.2,0.978
73.4,0.981
73.6,0.981
73.8,0.981
74.0,0.98
74.2,0.98
74.4,0.979
74.6,0.98
74.8,0.98
75.0,0.981
75.2,0.981
75.4,0.979
75.6,0.975
75.8,0.973
76.0,0.972
76.2,0.972
76.4,0.974
76.6,0.975
76.8,0.975
77.0,0.975
77.2,0.973
77.4,0.971
77.6,0.971
77.8,0.971
78.0,0.971
78.2,0.972
78.4,0.974
78.6,0.975
78.8,0.977
79.0,0.978
79.2,0.979
79.4,0.98
79.6,0.98
79.8,0.98
80.0,0.978
80.2,0.976
80.4,0.975
80.6,0.974
80.8,0.974
81.0,0.977
81.2,0.979
81.4,0.98
81.6,0.979
81.8,0.98
82.0,0.98
82.2,0.98
82.4,0.982
82.6,0.984
82.8,0.982
83.0,0.979
83.2,0.976
83.4,0.973
83.6,0.972
83.8,0.974
