t,y
0.0,0.0
0.2,-0.0
0.4,0.001
0.6,0.001
0.8,0.004
1.0,0.006
1.2,0.008
1.4,0.01
1.6,0.013
1.8,0.014
2.0,0.015
2.2,0.015
2.4,0.015
2.6,0.011
2.8,0.008
3.0,0.005
3.2,0.002
3.4,-0.003
3.6,-0.005
3.8,-0.005
4.0,-0.003
4.2,-0.0
4.4,0.004
4.6,0.009
4.8,0.01
5.0,0.009
5.2,0.008
5.4,0.006
5.6,0.005
5.8,0.004
6.0,0.003
6.2,0.002
6.4,0.003
6.6,0.003
6.8,0.005
7.0,0.007
7.2,0.008
7.4,0.007
7.6,0.006
7.8,0.004
8.0,0.004
8.2,0.005
8.4,0.006
8.6,0.005
8.8,0.005
9.0,0.005
9.2,0.005
9.4,0.005
9.6,0.005
9.8,0.006
10.0,0.004
10.2,0.003
10.4,0.001
10.6,0.001
10.8,0.003
11.0,0.005
11.2,0.006
11.4,0.007
11.6,0.006
11.8,0.005
12.0,0.003
12.2,0.002
12.4,0.002
12.6,0.003
12.8,0.003
13.0,0.001
13.2,0.002
13.4,0.002
13.6,0.002
13.8,0.004
14.0,0.005
14.2,0.006
14.4,0.007
14.6,0.008
14.8,0.006
15.0,0.006
15.2,0.004
15.4,0.002
15.6,0.001
15.8,0.001
16.0,0.001
16.2,0.004
16.4,0.006
16.6,0.008
16.8,0.011
17.0,0.014
17.2,0.015
17.4,0.014
17.6,0.011
17.8,0.008
18.0,0.005
18.2,0.001
18.4,-0.0
18.6,0.001
18.8,0.001
19.0,0.001
19.2,0.001
19.4,0.001
19.6,0.001
19.8,0.001
20.0,0.004
20.2,0.006
20.4,0.009
20.6,0.011
20.8,0.011
21.0,0.01
21.2,0.008
21.4,0.004
21.6,0.001
21.8,-0.003
22.0,-0.005
22.2,-0.004
22.4,-0.002
22.6,0.001
22.8,0.004
23.0,0.007
23.2,0.01
23.4,0.011
23.6,0.011
23.8,0.009
24.0,0.006
24.2,0.004
24.4,0.003
