t,y
0.0,0.0
0.2,-0.001
0.4,0.001
0.6,0.002
0.8,0.008
1.0,0.017
1.2,0.03
1.4,0.038
1.6,0.047
1.8,0.055
2.0,0.062
2.2,0.069
2.4,0.078
2.6,0.088
2.8,0.099
3.0,0.108
3.2,0.113
3.4,0.12
3.6,0.129
3.8,0.138
4.0,0.146
4.2,0.155
4.4,0.163
4.6,0.168
4.8,0.174
5.0,0.18
5.2,0.185
5.4,0.191
5.6,0.201
5.8,0.208
6.0,0.214
6.2,0.222
6.4,0.231
6.6,0.237
6.8,0.246
7.0,0.256
7.2,0.263
7.4,0.269
7.6,0.275
7.8,0.281
8.0,0.285
8.2,0.291
8.4,0.295
8.6,0.3
8.8,0.305
9.0,0.313
9.2,0.321
9.4,0.329
9.6,0.335
9.8,0.341
10.0,0.347
10.2,0.351
10.4,0.353
10.6,0.357
10.8,0.359
11.0,0.363
11.2,0.369
11.4,0.375
11.6,0.382
11.8,0.386
12.0,0.389
12.2,0.392
12.4,0.395
12.6,0.399
12.8,0.403
13.0,0.409
13.2,0.415
13.4,0.422
13.6,0.429
13.8,0.437
14.0,0.444
14.2,0.449
14.4,0.452
14.6,0.453
14.8,0.454
15.0,0.457
15.2,0.462
15.4,0.468
15.6,0.477
15.8,0.483
16.0,0.488
16.2,0.491
16.4,0.496
16.6,0.498
16.8,0.502
17.0,0.505
17.2,0.508
17.4,0.509
17.6,0.513
17.8,0.517
18.0,0.522
18.2,0.526
18.4,0.53
18.6,0.533
18.8,0.536
19.0,0.538
19.2,0.544
19.4,0.548
19.6,0.553
19.8,0.558
20.0,0.566
20.2,0.572
20.4,0.577
20.6,0.582
20.8,0.587
21.0,0.587
21.2,0.588
21.4,0.589
21.6,0.589
21.8,0.588
22.0,0.59
22.2,0.593
22.4,0.598
22.6,0.602
22.8,0.604
23.0,0.607
23.2,0.607
23.4,0.608
23.6,0.612
23.8,0.615
24.0,0.62
24.2,0.624
24.4,0.628
24.6,0.632
24.8,0.638
25.0,0.641
25.2,0.644
25.4,0.646
25.6,0.645
25.8,0.645
26.0,0.647
26.2,0.648
26.4,0.65
26.6,0.652
26.8,0.652
27.0,0.654
27.2,0.66
27.4,0.666
27.6,0.671
27.8,0.678
28.0,0.679
28.2,0.679
28.4,0.678
28.6,0.681
28.8,0.683
29.0,0.689
29.2,0.693
29.4,0.698
29.6,0.699
29.8,0.702
30.0,0.702
30.2,0.702
30.4,0.701
30.6,0.702
30.8,0.704
31.0,0.707
31.2,0.709
31.4,0.713
31.6,0.714
31.8,0.714
32.0,0.715
32.2,0.716
32.4,0.717
32.6,0.719
32.8,0.72
33.0,0.723
33.2,0.725
33.4,0.73
33.6,0.733
33.8,0.736
34.0,0.738
34.2,0.74
34.4,0.738
34.6,0.74
34.8,0.743
35.0,0.747
35.2,0.75
35.4,0.753
35.6,0.757
35.8,0.757
36.0,0.756
36.2,0.758
36.4,0.76
36.6,0.76
36.8,0.76
37.0,0.759
37.2,0.758
37.4,0.758
37.6,0.757
37.8,0.759
38.0,0.763
38.2,0.766
38.4,0.767
38.6,0.768
38.8,0.768
39.0,0.768
39.2,0.768
39.4,0.769
39.6,0.77
39.8,0.771
40.0,0.773
40.2,0.774
40.4,0.777
40.6,0.781
40.8,0.784
41.0,0.787
41.2,0.789
41.4,0.792
41.6,0.796
41.8,0.8
42.0,0.803
42.2,0.806
42.4,0.805
42.6,0.803
42.8,0.8
43.0,0.798
43.2,0.799
43.4,0.8
43.6,0.804
43.8,0.808
44.0,0.809
44.2,0.809
44.4,0.809
44.6,0.807
44.8,0.806
45.0,0.804
45.2,0.804
45.4,0.804
45.6,0.803
45.8,0.804
46.0,0.805
46.2,0.806
46.4,0.807
46.6,0.808
46.8,0.81
47.0,0.813
47.2,0.817
47.4,0.82
47.6,0.822
47.8,0.82
48.0,0.818
48.2,0.815
48.4,0.81
48.6,0.807
48.8,0.807
49.0,0.807
49.2,0.808
49.4,0.813
49.6,0.816
49.8,0.815
50.0,0.817
50.2,0.82
50.4,0.822
50.6,0.827
50.8,0.832
51.0,0.835
51.2,0.834
51.4,0.834
51.6,0.834
51.8,0.835
52.0,0.834
52.2,0.832
52.4,0.831
52.6,0.831
52.8,0.832
53.0,0.836
53.2,0.842
53.4,0.846
53.6,0.846
53.8,0.844
54.0,0.845
54.2,0.847
54.4,0.848
54.6,0.849
54.8,0.852
55.0,0.852
55.2,0.851
55.4,0.852
55.6,0.855
55.8,0.857
56.0,0.857
56.2,0.855
56.4,0.855
56.6,0.854
56.8,0.854
57.0,0.853
57.2,0.852
57.4,0.853
57.6,0.854
57.8,0.855
58.0,0.858
58.2,0.861
58.4,0.861
58.6,0.859
58.8,0.857
59.0,0.857
59.2,0.855
59.4,0.853
59.6,0.853
59.8,0.854
60.0,0.853
60.2,0.853
60.4,0.855
60.6,0.856
60.8,0.856
61.0,0.858
61.2,0.859
61.4,0.86
61.6,0.863
61.8,0.864
62.0,0.865
62.2,0.869
62.4,0.87
62.6,0.868
62.8,0.868
63.0,0.869
63.2,0.868
63.4,0.865
63.6,0.865
63.8,0.864
64.0,0.863
64.2,0.862
64.4,0.864
64.6,0.865
64.8,0.866
65.0,0.866
65.2,0.865
