t,y
0.0,0.0
0.2,0.001
0.4,0.002
0.6,0.004
0.8,0.009
1.0,0.015
1.2,0.022
1.4,0.029
1.6,0.036
1.8,0.044
2.0,0.053
2.2,0.06
2.4,0.066
2.6,0.072
2.8,0.077
3.0,0.081
3.2,0.085
3.4,0.09
3.6,0.096
3.8,0.099
4.0,0.104
4.2,0.111
4.4,0.118
4.6,0.123
4.8,0.129
5.0,0.135
5.2,0.139
5.4,0.143
5.6,0.148
5.8,0.154
6.0,0.157
6.2,0.162
6.4,0.167
6.6,0.173
6.8,0.178
7.0,0.183
7.2,0.186
7.4,0.188
7.6,0.19
7.8,0.194
8.0,0.2
8.2,0.207
8.4,0.212
8.6,0.216
8.8,0.22
9.0,0.225
9.2,0.229
9.4,0.234
9.6,0.239
9.8,0.244
10.0,0.249
10.2,0.252
10.4,0.257
10.6,0.261
10.8,0.263
11.0,0.265
11.2,0.267
11.4,0.27
11.6,0.273
11.8,0.279
12.0,0.282
12.2,0.284
12.4,0.286
12.6,0.288
12.8,0.289
13.0,0.291
13.2,0.294
13.4,0.296
13.6,0.299
13.8,0.302
14.0,0.306
14.2,0.309
14.4,0.314
14.6,0.319
14.8,0.324
15.0,0.328
15.2,0.333
15.4,0.335
15.6,0.337
15.8,0.337
16.0,0.34
16.2,0.343
16.4,0.347
16.6,0.349
16.8,0.352
17.0,0.355
17.2,0.358
17.4,0.361
17.6,0.367
17.8,0.371
18.0,0.373
18.2,0.373
18.4,0.372
18.6,0.373
18.8,0.376
19.0,0.379
19.2,0.384
19.4,0.39
19.6,0.394
19.8,0.396
20.0,0.398
20.2,0.4
20.4,0.402
20.6,0.404
20.8,0.405
21.0,0.407
21.2,0.408
21.4,0.41
21.6,0.412
21.8,0.415
22.0,0.419
22.2,0.422
22.4,0.425
22.6,0.428
22.8,0.431
23.0,0.434
23.2,0.435
23.4,0.436
23.6,0.439
23.8,0.44
24.0,0.442
24.2,0.444
24.4,0.444
24.6,0.444
24.8,0.445
25.0,0.448
25.2,0.449
25.4,0.452
25.6,0.454
25.8,0.458
26.0,0.46
26.2,0.463
26.4,0.467
26.6,0.471
26.8,0.472
27.0,0.472
27.2,0.472
27.4,0.474
27.6,0.475
27.8,0.477
28.0,0.48
28.2,0.483
28.4,0.483
28.6,0.483
28.8,0.484
29.0,0.485
29.2,0.486
29.4,0.49
29.6,0.494
29.8,0.497
30.0,0.499
30.2,0.502
30.4,0.503
30.6,0.504
30.8,0.505
31.0,0.509
31.2,0.51
31.4,0.51
31.6,0.509
31.8,0.508
32.0,0.507
32.2,0.507
32.4,0.509
32.6,0.512
32.8,0.514
33.0,0.516
33.2,0.518
33.4,0.521
33.6,0.522
33.8,0.522
34.0,0.523
34.2,0.523
34.4,0.523
34.6,0.523
34.8,0.524
35.0,0.526
35.2,0.529
35.4,0.532
35.6,0.534
35.8,0.536
36.0,0.534
36.2,0.533
36.4,0.531
36.6,0.533
36.8,0.535
37.0,0.54
37.2,0.543
37.4,0.545
37.6,0.544
37.8,0.546
38.0,0.549
38.2,0.55
38.4,0.552
38.6,0.553
38.8,0.554
39.0,0.553
39.2,0.554
39.4,0.553
39.6,0.552
39.8,0.551
40.0,0.552
40.2,0.553
40.4,0.556
40.6,0.56
40.8,0.564
41.0,0.565
41.2,0.565
41.4,0.565
41.6,0.567
41.8,0.566
42.0,0.569
42.2,0.572
42.4,0.574
42.6,0.575
42.8,0.575
43.0,0.574
43.2,0.572
43.4,0.572
43.6,0.572
43.8,0.573
44.0,0.576
44.2,0.578
44.4,0.581
44.6,0.583
44.8,0.584
45.0,0.584
45.2,0.585
45.4,0.586
45.6,0.588
45.8,0.591
46.0,0.593
46.2,0.594
46.4,0.594
46.6,0.593
46.8,0.592
47.0,0.591
47.2,0.592
47.4,0.592
47.6,0.595
47.8,0.596
48.0,0.596
48.2,0.597
48.4,0.6
48.6,0.598
48.8,0.598
49.0,0.598
49.2,0.599
49.4,0.599
49.6,0.599
49.8,0.6
50.0,0.601
50.2,0.601
50.4,0.603
50.6,0.604
50.8,0.605
51.0,0.604
51.2,0.604
51.4,0.602
51.6,0.6
51.8,0.601
52.0,0.603
52.2,0.602
52.4,0.602
52.6,0.605
52.8,0.605
53.0,0.605
53.2,0.606
53.4,0.606
53.6,0.605
53.8,0.606
54.0,0.606
54.2,0.607
54.4,0.607
54.6,0.609
54.8,0.611
55.0,0.612
55.2,0.612
55.4,0.613
55.6,0.614
55.8,0.615
56.0,0.617
56.2,0.618
56.4,0.62
56.6,0.621
56.8,0.621
57.0,0.62
57.2,0.62
57.4,0.619
57.6,0.617
57.8,0.618
58.0,0.621
58.2,0.624
58.4,0.626
58.6,0.628
58.8,0.629
59.0,0.628
59.2,0.629
59.4,0.631
59.6,0.633
59.8,0.635
60.0,0.637
60.2,0.636
60.4,0.634
60.6,0.629
60.8,0.625
61.0,0.622
61.2,0.621
61.4,0.62
61.6,0.622
61.8,0.623
62.0,0.623
62.2,0.623
62.4,0.624
62.6,0.627
62.8,0.63
63.0,0.633
63.2,0.635
63.4,0.637
63.6,0.637
63.8,0.638
64.0,0.638
64.2,0.64
64.4,0.642
64.6,0.644
64.8,0.645
65.0,0.644
65.2,0.644
