t,y
0.0,0.0
0.2,0.001
0.4,0.001
0.6,0.002
0.8,0.004
1.0,0.007
1.2,0.008
1.4,0.01
1.6,0.015
1.8,0.019
2.0,0.023
2.2,0.028
2.4,0.031
2.6,0.031
2.8,0.034
3.0,0.035
3.2,0.038
3.4,0.041
3.6,0.043
3.8,0.045
4.0,0.048
4.2,0.049
4.4,0.05
4.6,0.052
4.8,0.054
5.0,0.055
5.2,0.056
5.4,0.058
5.6,0.059
5.8,0.061
6.0,0.063
6.2,0.065
6.4,0.067
6.6,0.071
6.8,0.073
7.0,0.075
7.2,0.077
7.4,0.081
7.6,0.081
7.8,0.085
8.0,0.086
8.2,0.088
8.4,0.087
8.6,0.089
8.8,0.089
9.0,0.092
9.2,0.094
9.4,0.097
9.6,0.098
9.8,0.1
10.0,0.101
10.2,0.103
10.4,0.105
10.6,0.107
10.8,0.108
11.0,0.109
11.2,0.109
11.4,0.109
11.6,0.11
11.8,0.111
12.0,0.112
12.2,0.113
12.4,0.114
12.6,0.116
12.8,0.117
13.0,0.118
13.2,0.12
13.4,0.122
13.6,0.124
13.8,0.127
14.0,0.131
14.2,0.134
14.4,0.135
14.6,0.134
14.8,0.133
15.0,0.13
15.2,0.13
15.4,0.129
15.6,0.131
15.8,0.133
16.0,0.134
16.2,0.135
16.4,0.136
16.6,0.137
16.8,0.137
17.0,0.141
17.2,0.143
17.4,0.146
17.6,0.147
17.8,0.15
18.0,0.15
18.2,0.15
18.4,0.15
18.6,0.15
18.8,0.149
19.0,0.15
19.2,0.152
19.4,0.153
19.6,0.155
19.8,0.158
20.0,0.161
20.2,0.163
20.4,0.166
20.6,0.168
20.8,0.169
21.0,0.17
21.2,0.17
21.4,0.17
21.6,0.169
21.8,0.168
22.0,0.166
22.2,0.166
22.4,0.165
22.6,0.167
22.8,0.171
23.0,0.173
23.2,0.173
23.4,0.175
23.6,0.176
23.8,0.177
24.0,0.177
24.2,0.179
24.4,0.18
24.6,0.181
24.8,0.183
25.0,0.183
25.2,0.182
25.4,0.18
25.6,0.179
25.8,0.178
26.0,0.179
26.2,0.181
26.4,0.184
26.6,0.185
26.8,0.185
27.0,0.184
27.2,0.184
27.4,0.183
27.6,0.185
27.8,0.188
28.0,0.19
28.2,0.193
28.4,0.194
28.6,0.193
28.8,0.192
29.0,0.194
29.2,0.194
29.4,0.194
29.6,0.196
29.8,0.196
30.0,0.195
30.2,0.198
30.4,0.2
30.6,0.198
30.8,0.196
31.0,0.194
31.2,0.192
31.4,0.193
31.6,0.197
31.8,0.201
32.0,0.204
32.2,0.203
32.4,0.204
32.6,0.203
32.8,0.202
33.0,0.201
33.2,0.201
33.4,0.202
33.6,0.204
33.8,0.208
34.0,0.213
34.2,0.217
34.4,0.217
34.6,0.214
34.8,0.213
35.0,0.212
35.2,0.213
35.4,0.216
35.6,0.219
35.8,0.222
36.0,0.222
36.2,0.222
36.4,0.221
36.6,0.221
36.8,0.219
37.0,0.218
37.2,0.218
37.4,0.219
37.6,0.22
37.8,0.221
38.0,0.223
38.2,0.227
38.4,0.227
38.6,0.226
38.8,0.225
39.0,0.226
39.2,0.223
39.4,0.223
39.6,0.224
39.8,0.226
40.0,0.225
40.2,0.223
40.4,0.222
40.6,0.221
40.8,0.222
41.0,0.224
41.2,0.227
41.4,0.23
41.6,0.23
41.8,0.228
42.0,0.228
42.2,0.228
42.4,0.228
42.6,0.229
42.8,0.229
43.0,0.228
43.2,0.227
43.4,0.227
43.6,0.229
43.8,0.231
44.0,0.233
44.2,0.234
44.4,0.235
44.6,0.233
44.8,0.232
45.0,0.233
45.2,0.234
45.4,0.235
45.6,0.236
45.8,0.236
46.0,0.237
46.2,0.237
46.4,0.238
46.6,0.238
46.8,0.238
47.0,0.236
47.2,0.235
47.4,0.233
47.6,0.234
47.8,0.235
48.0,0.237
48.2,0.238
48.4,0.239
48.6,0.239
48.8,0.241
49.0,0.241
49.2,0.241
49.4,0.242
49.6,0.242
49.8,0.242
50.0,0.241
50.2,0.243
50.4,0.243
50.6,0.243
50.8,0.243
51.0,0.243
51.2,0.244
51.4,0.244
51.6,0.243
51.8,0.245
52.0,0.246
52.2,0.246
52.4,0.249
52.6,0.251
52.8,0.252
53.0,0.251
53.2,0.251
53.4,0.25
53.6,0.249
53.8,0.249
54.0,0.25
54.2,0.252
54.4,0.254
54.6,0.256
54.8,0.257
55.0,0.257
55.2,0.258
55.4,0.257
55.6,0.255
55.8,0.252
56.0,0.252
56.2,0.251
56.4,0.252
56.6,0.254
56.8,0.256
57.0,0.255
57.2,0.254
57.4,0.252
57.6,0.25
57.8,0.249
58.0,0.249
58.2,0.249
58.4,0.251
58.6,0.253
58.8,0.252
59.0,0.252
59.2,0.251
59.4,0.251
59.6,0.251
59.8,0.254
60.0,0.257
60.2,0.26
60.4,0.263
60.6,0.267
60.8,0.266
61.0,0.267
61.2,0.265
61.4,0.261
61.6,0.257
61.8,0.257
62.0,0.257
62.2,0.258
62.4,0.259
62.6,0.259
62.8,0.258
63.0,0.258
63.2,0.257
63.4,0.257
63.6,0.257
63.8,0.256
64.0,0.259
64.2,0.261
64.4,0.262
64.6,0.264
64.8,0.266
65.0,0.265
65.2,0.263
