t,y
0.0,0.0
0.2,0.003
0.4,0.007
0.6,0.013
0.8,0.025
1.0,0.04
1.2,0.053
1.4,0.067
1.6,0.079
1.8,0.091
2.0,0.102
2.2,0.115
2.4,0.127
2.6,0.141
2.8,0.154
3.0,0.168
3.2,0.18
3.4,0.192
3.6,0.201
3.8,0.209
4.0,0.216
4.2,0.226
4.4,0.238
4.6,0.249
4.8,0.261
5.0,0.272
5.2,0.281
5.4,0.289
5.6,0.297
5.8,0.306
6.0,0.316
6.2,0.325
6.4,0.335
6.6,0.343
6.8,0.351
7.0,0.359
7.2,0.366
7.4,0.372
7.6,0.378
7.8,0.383
8.0,0.39
8.2,0.397
8.4,0.404
8.6,0.411
8.8,0.419
9.0,0.428
9.2,0.435
9.4,0.442
9.6,0.451
9.8,0.458
10.0,0.464
10.2,0.471
10.4,0.478
10.6,0.484
10.8,0.489
11.0,0.495
11.2,0.502
11.4,0.506
11.6,0.51
11.8,0.517
12.0,0.524
12.2,0.531
12.4,0.54
12.6,0.548
12.8,0.555
13.0,0.558
13.2,0.561
13.4,0.565
13.6,0.571
13.8,0.578
14.0,0.585
14.2,0.59
14.4,0.595
14.6,0.598
14.8,0.601
15.0,0.606
15.2,0.613
15.4,0.619
15.6,0.624
15.8,0.63
16.0,0.633
16.2,0.64
16.4,0.648
16.6,0.658
16.8,0.667
17.0,0.677
17.2,0.682
17.4,0.689
17.6,0.692
17.8,0.697
18.0,0.703
18.2,0.712
18.4,0.72
18.6,0.728
18.8,0.737
19.0,0.742
19.2,0.745
19.4,0.746
19.6,0.748
19.8,0.752
20.0,0.756
20.2,0.762
20.4,0.768
20.6,0.774
20.8,0.779
21.0,0.786
21.2,0.792
21.4,0.799
21.6,0.806
21.8,0.811
22.0,0.816
22.2,0.82
22.4,0.826
22.6,0.831
22.8,0.837
23.0,0.843
23.2,0.848
23.4,0.852
23.6,0.857
23.8,0.861
24.0,0.866
24.2,0.872
24.4,0.877
24.6,0.883
24.8,0.888
25.0,0.893
25.2,0.897
25.4,0.901
25.6,0.905
25.8,0.91
26.0,0.916
26.2,0.923
26.4,0.929
26.6,0.932
26.8,0.937
27.0,0.942
27.2,0.946
27.4,0.952
27.6,0.957
27.8,0.962
28.0,0.966
28.2,0.972
28.4,0.979
28.6,0.988
28.8,0.996
29.0,1.002
29.2,1.006
29.4,1.009
29.6,1.012
29.8,1.016
30.0,1.019
30.2,1.022
30.4,1.024
30.6,1.026
30.8,1.028
31.0,1.033
31.2,1.039
31.4,1.046
31.6,1.052
31.8,1.059
32.0,1.062
32.2,1.066
32.4,1.07
32.6,1.075
32.8,1.079
33.0,1.084
33.2,1.088
33.4,1.09
33.6,1.093
33.8,1.097
34.0,1.102
34.2,1.108
34.4,1.113
34.6,1.117
34.8,1.12
35.0,1.123
35.2,1.128
35.4,1.132
35.6,1.136
35.8,1.141
36.0,1.146
36.2,1.15
36.4,1.156
36.6,1.162
36.8,1.165
37.0,1.167
37.2,1.169
37.4,1.172
37.6,1.172
37.8,1.177
38.0,1.183
38.2,1.187
38.4,1.19
38.6,1.194
38.8,1.198
39.0,1.201
39.2,1.205
39.4,1.21
39.6,1.216
39.8,1.218
40.0,1.221
40.2,1.223
40.4,1.228
40.6,1.231
40.8,1.237
41.0,1.244
41.2,1.251
41.4,1.256
41.6,1.259
41.8,1.262
42.0,1.264
42.2,1.264
42.4,1.267
42.6,1.272
42.8,1.276
43.0,1.28
43.2,1.282
43.4,1.282
43.6,1.283
43.8,1.285
44.0,1.289
44.2,1.295
44.4,1.301
44.6,1.307
44.8,1.31
45.0,1.311
45.2,1.313
45.4,1.315
45.6,1.316
45.8,1.316
46.0,1.317
46.2,1.319
46.4,1.321
46.6,1.324
46.8,1.329
47.0,1.334
47.2,1.337
47.4,1.34
47.6,1.342
47.8,1.342
48.0,1.342
48.2,1.343
48.4,1.347
48.6,1.351
48.8,1.356
49.0,1.362
49.2,1.366
49.4,1.371
49.6,1.372
49.8,1.373
50.0,1.373
50.2,1.377
50.4,1.377
50.6,1.381
50.8,1.388
51.0,1.395
51.2,1.4
51.4,1.405
51.6,1.408
51.8,1.409
52.0,1.408
52.2,1.406
52.4,1.406
52.6,1.407
52.8,1.41
53.0,1.413
53.2,1.416
53.4,1.419
53.6,1.421
53.8,1.424
54.0,1.429
54.2,1.432
54.4,1.435
54.6,1.438
54.8,1.44
55.0,1.441
55.2,1.443
55.4,1.444
55.6,1.445
55.8,1.447
56.0,1.451
56.2,1.456
56.4,1.461
56.6,1.462
56.8,1.463
57.0,1.464
57.2,1.464
57.4,1.465
57.6,1.47
57.8,1.475
58.0,1.477
58.2,1.48
58.4,1.482
58.6,1.486
58.8,1.487
59.0,1.489
59.2,1.489
59.4,1.49
59.6,1.49
59.8,1.491
60.0,1.494
60.2,1.498
60.4,1.504
60.6,1.508
60.8,1.511
61.0,1.512
61.2,1.513
61.4,1.514
61.6,1.514
61.8,1.517
62.0,1.519
62.2,1.522
62.4,1.523
62.6,1.524
62.8,1.526
63.0,1.527
63.2,1.528
63.4,1.529
63.6,1.528
63.8,1.527
64.0,1.527
64.2,1.531
64.4,1.533
64.6,1.538
64.8,1.54
65.0,1.544
65.2,1.546
65.4,1.548
65.6,1.547
65.8,1.548
66.0,1.548
66.2,1.55
66.4,1.553
66.6,1.557
66.8,1.56
67.0,1.564
67.2,1.566
67.4,1.567
67.6,1.569
67.8,1.568
68.0,1.567
68.2,1.567
68.4,1.568
68.6,1.569
68.8,1.571
69.0,1.574
69.2,1.576
69.4,1.579
69.6,1.582
69.8,1.586
70.0,1.588
70.2,1.59
70.4,1.59
70.6,1.589
70.8,1.589
71.0,1.59
71.2,1.59
71.4,1.589
71.6,1.589
71.8,1.59
72.0,1.593
72.2,1.596
72.4,1.599
72.6,1.603
72.8,1.606
73.0,1.607
73.2,1.609
73.4,1.61
73.6,1.612
73.8,1.614
74.0,1.614
74.2,1.614
74.4,1.616
74.6,1.615
74.8,1.613
75.0,1.612
75.2,1.613
75.4,1.614
75.6,1.617
75.8,1.622
76.0,1.626
76.2,1.627
76.4,1.626
76.6,1.628
76.8,1.629
77.0,1.632
77.2,1.635
77.4,1.639
77.6,1.642
77.8,1.646
78.0,1.649
78.2,1.654
78.4,1.654
78.6,1.654
78.8,1.651
79.0,1.649
79.2,1.645
79.4,1.645
79.6,1.644
79.8,1.645
80.0,1.646
80.2,1.647
80.4,1.649
80.6,1.651
80.8,1.653
81.0,1.657
81.2,1.66
81.4,1.661
81.6,1.66
81.8,1.66
82.0,1.658
82.2,1.658
82.4,1.661
82.6,1.665
82.8,1.67
83.0,1.671
83.2,1.671
83.4,1.669
83.6,1.67
83.8,1.67
