t,y
0.0,0.0
0.2,-0.001
0.4,-0.001
0.6,-0.001
0.8,-0.002
1.0,-0.002
1.2,-0.001
1.4,-0.0
1.6,0.001
1.8,0.002
2.0,0.003
2.2,0.002
2.4,0.001
2.6,-0.001
2.8,-0.002
3.0,-0.005
3.2,-0.009
3.4,-0.013
3.6,-0.015
3.8,-0.015
4.0,-0.013
4.2,-0.01
4.4,-0.007
4.6,-0.007
4.8,-0.005
5.0,-0.004
5.2,-0.002
5.4,-0.0
5.6,0.003
5.8,0.006
6.0,0.008
6.2,0.008
6.4,0.008
6.6,0.008
6.8,0.008
7.0,0.007
7.2,0.009
7.4,0.009
7.6,0.009
7.8,0.007
8.0,0.006
8.2,0.005
8.4,0.005
8.6,0.007
8.8,0.007
9.0,0.008
9.2,0.01
9.4,0.015
9.6,0.017
9.8,0.019
10.0,0.02
10.2,0.021
10.4,0.019
10.6,0.019
10.8,0.019
11.0,0.02
11.2,0.021
11.4,0.022
11.6,0.022
11.8,0.022
12.0,0.022
12.2,0.023
12.4,0.023
12.6,0.024
12.8,0.027
13.0,0.03
13.2,0.03
13.4,0.029
13.6,0.03
13.8,0.029
14.0,0.024
14.2,0.021
14.4,0.02
14.6,0.018
14.8,0.017
15.0,0.021
15.2,0.027
15.4,0.032
15.6,0.036
15.8,0.04
16.0,0.041
16.2,0.039
16.4,0.037
16.6,0.036
16.8,0.033
17.0,0.033
17.2,0.032
17.4,0.033
17.6,0.034
17.8,0.035
18.0,0.037
18.2,0.04
18.4,0.042
18.6,0.044
18.8,0.045
19.0,0.045
19.2,0.046
19.4,0.045
19.6,0.045
19.8,0.045
20.0,0.043
20.2,0.041
20.4,0.038
20.6,0.036
20.8,0.036
21.0,0.036
21.2,0.036
21.4,0.035
21.6,0.036
21.8,0.037
22.0,0.039
22.2,0.041
22.4,0.045
22.6,0.047
22.8,0.048
23.0,0.047
23.2,0.05
23.4,0.051
23.6,0.052
23.8,0.051
24.0,0.051
24.2,0.049
24.4,0.05
24.6,0.051
24.8,0.053
25.0,0.055
25.2,0.056
25.4,0.054
25.6,0.051
25.8,0.049
26.0,0.046
26.2,0.045
26.4,0.046
26.6,0.051
26.8,0.056
27.0,0.06
27.2,0.063
27.4,0.063
27.6,0.062
27.8,0.059
28.0,0.058
28.2,0.06
28.4,0.062
28.6,0.064
28.8,0.063
29.0,0.06
29.2,0.056
29.4,0.054
29.6,0.054
29.8,0.055
30.0,0.056
30.2,0.059
30.4,0.061
30.6,0.062
30.8,0.062
31.0,0.063
31.2,0.061
31.4,0.06
31.6,0.06
31.8,0.061
32.0,0.061
32.2,0.063
32.4,0.063
32.6,0.064
32.8,0.066
33.0,0.066
33.2,0.067
33.4,0.068
33.6,0.069
33.8,0.069
34.0,0.071
34.2,0.073
34.4,0.073
34.6,0.073
34.8,0.073
35.0,0.071
35.2,0.069
35.4,0.068
35.6,0.067
35.8,0.069
36.0,0.07
36.2,0.07
36.4,0.069
36.6,0.068
36.8,0.069
37.0,0.069
37.2,0.073
37.4,0.078
37.6,0.08
37.8,0.079
38.0,0.08
38.2,0.079
38.4,0.078
38.6,0.078
38.8,0.079
39.0,0.08
39.2,0.079
39.4,0.076
39.6,0.075
39.8,0.075
40.0,0.077
40.2,0.078
40.4,0.08
40.6,0.081
40.8,0.078
41.0,0.078
41.2,0.078
41.4,0.078
41.6,0.078
41.8,0.08
42.0,0.079
42.2,0.077
42.4,0.075
42.6,0.074
42.8,0.071
43.0,0.07
43.2,0.07
43.4,0.07
43.6,0.072
43.8,0.074
44.0,0.077
44.2,0.08
44.4,0.082
44.6,0.082
44.8,0.082
45.0,0.082
45.2,0.085
45.4,0.089
45.6,0.092
45.8,0.093
46.0,0.091
46.2,0.087
46.4,0.083
46.6,0.08
46.8,0.08
47.0,0.08
47.2,0.082
47.4,0.085
47.6,0.088
47.8,0.088
48.0,0.09
48.2,0.09
48.4,0.089
48.6,0.088
48.8,0.086
49.0,0.084
49.2,0.084
49.4,0.085
49.6,0.087
49.8,0.09
50.0,0.091
50.2,0.092
50.4,0.093
50.6,0.092
50.8,0.091
51.0,0.088
51.2,0.085
51.4,0.081
51.6,0.079
51.8,0.08
52.0,0.083
52.2,0.089
52.4,0.092
52.6,0.093
52.8,0.094
53.0,0.093
53.2,0.091
53.4,0.09
53.6,0.093
53.8,0.094
54.0,0.095
54.2,0.097
54.4,0.099
54.6,0.101
54.8,0.102
55.0,0.103
55.2,0.104
55.4,0.102
55.6,0.099
55.8,0.096
56.0,0.094
56.2,0.093
56.4,0.094
56.6,0.095
56.8,0.098
57.0,0.1
57.2,0.1
57.4,0.102
57.6,0.101
57.8,0.101
58.0,0.099
58.2,0.099
58.4,0.098
58.6,0.098
58.8,0.097
59.0,0.095
59.2,0.094
59.4,0.092
59.6,0.094
59.8,0.094
60.0,0.096
60.2,0.096
60.4,0.098
60.6,0.099
60.8,0.101
61.0,0.104
61.2,0.106
61.4,0.106
61.6,0.106
61.8,0.106
62.0,0.104
62.2,0.101
62.4,0.1
62.6,0.098
62.8,0.097
63.0,0.098
63.2,0.099
63.4,0.099
63.6,0.1
63.8,0.102
64.0,0.104
64.2,0.106
64.4,0.108
64.6,0.109
