t,y
0.0,0.0
0.2,0.021
0.4,0.044
0.6,0.091
0.8,0.143
1.0,0.197
1.2,0.254
1.4,0.31
1.6,0.366
1.8,0.422
2.0,0.48
2.2,0.538
2.4,0.596
2.6,0.654
2.8,0.713
3.0,0.771
3.2,0.831
3.4,0.89
3.6,0.948
3.8,1.006
4.0,1.062
4.2,1.117
4.4,1.173
4.6,1.23
4.8,1.287
5.0,1.345
5.2,1.399
5.4,1.453
5.6,1.506
5.8,1.556
6.0,1.609
6.2,1.661
6.4,1.711
6.6,1.759
6.8,1.808
7.0,1.853
7.2,1.898
7.4,1.943
7.6,1.987
7.8,2.028
8.0,2.066
8.2,2.105
8.4,2.144
8.6,2.184
8.8,2.221
9.0,2.259
9.2,2.297
9.4,2.331
9.6,2.363
9.8,2.396
10.0,2.427
10.2,2.457
10.4,2.489
10.6,2.519
10.8,2.548
11.0,2.577
11.2,2.605
11.4,2.631
11.6,2.658
11.8,2.687
12.0,2.714
12.2,2.739
12.4,2.763
12.6,2.786
12.8,2.807
13.0,2.826
13.2,2.847
13.4,2.869
13.6,2.888
13.8,2.907
14.0,2.927
14.2,2.944
14.4,2.96
14.6,2.977
14.8,2.995
15.0,3.011
15.2,3.027
15.4,3.044
15.6,3.059
15.8,3.074
16.0,3.088
16.2,3.101
16.4,3.113
16.6,3.126
16.8,3.138
17.0,3.148
17.2,3.16
17.4,3.174
17.6,3.186
17.8,3.199
18.0,3.213
18.2,3.224
18.4,3.234
18.6,3.243
18.8,3.252
19.0,3.262
19.2,3.273
19.4,3.285
19.6,3.296
19.8,3.307
20.0,3.317
20.2,3.324
20.4,3.331
20.6,3.335
20.8,3.34
21.0,3.346
21.2,3.353
21.4,3.362
21.6,3.372
21.8,3.382
22.0,3.39
22.2,3.397
22.4,3.404
22.6,3.411
22.8,3.417
23.0,3.422
23.2,3.428
23.4,3.435
23.6,3.44
23.8,3.447
24.0,3.454
24.2,3.46
24.4,3.465
24.6,3.471
24.8,3.477
25.0,3.483
25.2,3.488
25.4,3.493
25.6,3.496
25.8,3.498
26.0,3.504
26.2,3.508
26.4,3.513
26.6,3.52
26.8,3.525
27.0,3.529
27.2,3.533
27.4,3.537
27.6,3.541
27.8,3.546
28.0,3.548
28.2,3.552
28.4,3.556
28.6,3.561
28.8,3.567
29.0,3.574
29.2,3.58
29.4,3.582
29.6,3.583
29.8,3.584
30.0,3.583
30.2,3.584
30.4,3.587
30.6,3.591
30.8,3.596
31.0,3.601
31.2,3.604
31.4,3.607
31.6,3.609
31.8,3.611
32.0,3.613
32.2,3.617
32.4,3.621
32.6,3.626
32.8,3.63
33.0,3.633
33.2,3.636
33.4,3.64
33.6,3.643
33.8,3.645
34.0,3.646
34.2,3.647
34.4,3.645
34.6,3.644
34.8,3.645
35.0,3.649
35.2,3.653
35.4,3.658
35.6,3.663
35.8,3.668
36.0,3.67
36.2,3.673
36.4,3.674
36.6,3.675
36.8,3.676
37.0,3.678
37.2,3.68
37.4,3.684
37.6,3.689
37.8,3.692
38.0,3.695
38.2,3.696
38.4,3.696
38.6,3.694
38.8,3.693
39.0,3.692
39.2,3.693
39.4,3.695
39.6,3.698
39.8,3.701
40.0,3.704
40.2,3.705
40.4,3.706
40.6,3.707
40.8,3.708
41.0,3.708
41.2,3.709
41.4,3.71
41.6,3.711
41.8,3.712
42.0,3.714
42.2,3.717
42.4,3.718
42.6,3.721
42.8,3.722
43.0,3.723
43.2,3.723
43.4,3.725
43.6,3.725
43.8,3.726
44.0,3.728
44.2,3.731
44.4,3.732
44.6,3.733
44.8,3.735
45.0,3.737
45.2,3.738
45.4,3.739
45.6,3.74
45.8,3.742
46.0,3.744
46.2,3.745
46.4,3.745
46.6,3.746
46.8,3.745
47.0,3.744
47.2,3.743
47.4,3.743
47.6,3.741
47.8,3.739
48.0,3.737
48.2,3.738
48.4,3.74
48.6,3.742
48.8,3.744
49.0,3.746
49.2,3.745
49.4,3.745
49.6,3.747
49.8,3.75
50.0,3.75
50.2,3.751
50.4,3.753
50.6,3.752
50.8,3.751
51.0,3.751
51.2,3.75
51.4,3.749
51.6,3.75
51.8,3.752
52.0,3.757
52.2,3.762
52.4,3.764
52.6,3.765
52.8,3.763
53.0,3.761
53.2,3.758
53.4,3.757
53.6,3.758
53.8,3.76
54.0,3.762
54.2,3.766
54.4,3.768
54.6,3.768
54.8,3.769
55.0,3.772
55.2,3.772
55.4,3.773
55.6,3.774
55.8,3.772
56.0,3.769
56.2,3.766
56.4,3.765
56.6,3.765
56.8,3.766
57.0,3.767
57.2,3.769
57.4,3.77
57.6,3.771
57.8,3.773
58.0,3.774
58.2,3.777
58.4,3.778
58.6,3.778
58.8,3.776
59.0,3.777
59.2,3.778
59.4,3.781
59.6,3.783
59.8,3.785
60.0,3.785
60.2,3.784
60.4,3.783
60.6,3.783
60.8,3.784
61.0,3.785
61.2,3.787
61.4,3.787
61.6,3.788
61.8,3.788
62.0,3.787
62.2,3.786
62.4,3.786
62.6,3.786
62.8,3.788
63.0,3.789
63.2,3.79
63.4,3.789
63.6,3.789
63.8,3.789
64.0,3.788
64.2,3.788
64.4,3.789
64.6,3.789
64.8,3.79
65.0,3.791
65.2,3.792
65.4,3.794
65.6,3.794
65.8,3.794
66.0,3.793
66.2,3.794
66.4,3.794
66.6,3.794
66.8,3.793
67.0,3.791
67.2,3.789
67.4,3.788
67.6,3.788
67.8,3.789
68.0,3.791
68.2,3.793
68.4,3.794
68.6,3.793
68.8,3.794
69.0,3.792
69.2,3.791
69.4,3.791
69.6,3.792
69.8,3.793
70.0,3.795
70.2,3.795
70.4,3.796
70.6,3.799
70.8,3.799
71.0,3.799
71.2,3.8
71.4,3.799
71.6,3.795
71.8,3.794
72.0,3.794
72.2,3.794
72.4,3.795
72.6,3.797
72.8,3.799
73.0,3.801
73.2,3.802
73.4,3.801
73.6,3.799
73.8,3.799
74.0,3.797
74.2,3.798
74.4,3.8
74.6,3.799
74.8,3.799
75.0,3.8
75.2,3.8
75.4,3.799
75.6,3.8
75.8,3.8
76.0,3.8
76.2,3.8
76.4,3.801
76.6,3.803
76.8,3.804
77.0,3.805
77.2,3.808
77.4,3.809
77.6,3.81
77.8,3.81
78.0,3.809
78.2,3.808
78.4,3.808
78.6,3.805
78.8,3.803
79.0,3.802
79.2,3.801
79.4,3.799
79.6,3.8
79.8,3.802
80.0,3.804
80.2,3.805
80.4,3.806
80.6,3.806
80.8,3.806
81.0,3.806
81.2,3.807
81.4,3.809
81.6,3.811
81.8,3.812
82.0,3.813
