t,y
0.0,0.0
0.2,0.001
0.4,0.002
0.6,0.008
0.8,0.013
1.0,0.021
1.2,0.028
1.4,0.036
1.6,0.042
1.8,0.048
2.0,0.055
2.2,0.065
2.4,0.075
2.6,0.083
2.8,0.088
3.0,0.092
3.2,0.093
3.4,0.095
3.6,0.098
3.8,0.105
4.0,0.112
4.2,0.12
4.4,0.128
4.6,0.135
4.8,0.14
5.0,0.143
5.2,0.148
5.4,0.153
5.6,0.158
5.8,0.164
6.0,0.173
6.2,0.181
6.4,0.189
6.6,0.197
6.8,0.204
7.0,0.212
7.2,0.221
7.4,0.227
7.6,0.234
7.8,0.242
8.0,0.248
8.2,0.252
8.4,0.258
8.6,0.266
8.8,0.273
9.0,0.281
9.2,0.29
9.4,0.299
9.6,0.306
9.8,0.312
10.0,0.319
10.2,0.325
10.4,0.33
10.6,0.335
10.8,0.341
11.0,0.348
11.2,0.355
11.4,0.362
11.6,0.371
11.8,0.378
12.0,0.386
12.2,0.392
12.4,0.399
12.6,0.405
12.8,0.412
13.0,0.417
13.2,0.426
13.4,0.433
13.6,0.438
13.8,0.443
14.0,0.449
14.2,0.455
14.4,0.461
14.6,0.47
14.8,0.48
15.0,0.489
15.2,0.494
15.4,0.5
15.6,0.504
15.8,0.51
16.0,0.513
16.2,0.52
16.4,0.526
16.6,0.532
16.8,0.536
17.0,0.544
17.2,0.552
17.4,0.56
17.6,0.569
17.8,0.578
18.0,0.585
18.2,0.592
18.4,0.598
18.6,0.604
18.8,0.613
19.0,0.622
19.2,0.628
19.4,0.635
19.6,0.642
19.8,0.649
20.0,0.656
20.2,0.664
20.4,0.672
20.6,0.679
20.8,0.685
21.0,0.691
21.2,0.696
21.4,0.7
21.6,0.706
21.8,0.714
22.0,0.72
22.2,0.726
22.4,0.735
22.6,0.743
22.8,0.748
23.0,0.755
23.2,0.763
23.4,0.768
23.6,0.773
23.8,0.78
24.0,0.788
24.2,0.796
24.4,0.803
24.6,0.811
24.8,0.815
25.0,0.819
25.2,0.824
25.4,0.829
25.6,0.834
25.8,0.842
26.0,0.85
26.2,0.856
26.4,0.862
26.6,0.873
26.8,0.88
27.0,0.888
27.2,0.895
27.4,0.901
27.6,0.904
27.8,0.908
28.0,0.913
28.2,0.917
28.4,0.922
28.6,0.927
28.8,0.931
29.0,0.935
29.2,0.944
29.4,0.952
29.6,0.961
29.8,0.971
30.0,0.976
30.2,0.979
30.4,0.982
30.6,0.986
30.8,0.989
31.0,0.995
31.2,1.001
31.4,1.008
31.6,1.016
31.8,1.026
32.0,1.035
32.2,1.042
32.4,1.047
32.6,1.051
32.8,1.056
33.0,1.061
33.2,1.07
33.4,1.078
33.6,1.085
33.8,1.089
34.0,1.09
34.2,1.091
34.4,1.093
34.6,1.097
34.8,1.101
35.0,1.11
35.2,1.118
35.4,1.125
35.6,1.13
35.8,1.136
36.0,1.142
36.2,1.15
36.4,1.158
36.6,1.167
36.8,1.175
37.0,1.177
37.2,1.176
37.4,1.177
37.6,1.18
37.8,1.184
38.0,1.193
38.2,1.203
38.4,1.212
38.6,1.217
38.8,1.223
39.0,1.228
39.2,1.232
39.4,1.236
39.6,1.242
39.8,1.246
40.0,1.25
40.2,1.255
40.4,1.26
40.6,1.265
40.8,1.269
41.0,1.276
41.2,1.282
41.4,1.288
41.6,1.294
41.8,1.298
42.0,1.301
42.2,1.303
42.4,1.308
42.6,1.312
42.8,1.317
43.0,1.321
43.2,1.326
43.4,1.329
43.6,1.331
43.8,1.336
44.0,1.343
44.2,1.35
44.4,1.357
44.6,1.365
44.8,1.368
45.0,1.372
45.2,1.373
45.4,1.377
45.6,1.38
45.8,1.386
46.0,1.392
46.2,1.398
46.4,1.402
46.6,1.407
46.8,1.413
47.0,1.42
47.2,1.424
47.4,1.43
47.6,1.436
47.8,1.441
48.0,1.444
48.2,1.446
48.4,1.449
48.6,1.454
48.8,1.457
49.0,1.461
49.2,1.465
49.4,1.469
49.6,1.473
49.8,1.48
50.0,1.487
50.2,1.495
50.4,1.5
50.6,1.505
50.8,1.506
51.0,1.509
51.2,1.51
51.4,1.516
51.6,1.518
51.8,1.521
52.0,1.524
52.2,1.529
52.4,1.533
52.6,1.537
52.8,1.542
53.0,1.546
53.2,1.549
53.4,1.552
53.6,1.554
53.8,1.557
54.0,1.562
54.2,1.567
54.4,1.573
54.6,1.578
54.8,1.582
55.0,1.585
55.2,1.588
55.4,1.592
55.6,1.596
55.8,1.601
56.0,1.607
56.2,1.612
56.4,1.612
56.6,1.611
56.8,1.612
57.0,1.613
57.2,1.618
57.4,1.623
57.6,1.629
57.8,1.632
58.0,1.636
58.2,1.638
58.4,1.642
58.6,1.649
58.8,1.656
59.0,1.66
59.2,1.666
59.4,1.672
59.6,1.674
59.8,1.677
60.0,1.679
60.2,1.682
60.4,1.681
60.6,1.68
60.8,1.68
61.0,1.68
61.2,1.681
61.4,1.685
61.6,1.692
61.8,1.7
62.0,1.707
62.2,1.711
62.4,1.716
62.6,1.718
62.8,1.719
63.0,1.72
63.2,1.724
63.4,1.728
63.6,1.735
63.8,1.741
64.0,1.748
64.2,1.753
64.4,1.758
64.6,1.761
64.8,1.764
65.0,1.764
65.2,1.764
