t,y
0.0,0.0
0.2,-0.002
0.4,-0.002
0.6,-0.0
0.8,0.001
1.0,0.002
1.2,0.003
1.4,0.002
1.6,0.001
1.8,-0.001
2.0,-0.002
2.2,-0.002
2.4,0.001
2.6,0.001
2.8,0.002
3.0,0.003
3.2,0.004
3.4,0.002
3.6,0.001
3.8,0.001
4.0,0.001
4.2,0.0
4.4,-0.0
4.6,0.0
4.8,-0.001
5.0,-0.003
5.2,-0.003
5.4,-0.003
5.6,-0.002
5.8,-0.001
6.0,0.001
6.2,0.003
6.4,0.005
6.6,0.007
6.8,0.01
7.0,0.011
7.2,0.011
7.4,0.008
7.6,0.005
7.8,0.002
8.0,0.0
8.2,-0.001
8.4,0.002
8.6,0.003
8.8,0.005
9.0,0.005
9.2,0.004
9.4,0.002
9.6,0.001
9.8,0.0
10.0,-0.001
10.2,-0.002
10.4,-0.002
10.6,-0.002
10.8,-0.002
11.0,-0.001
11.2,0.001
11.4,0.002
11.6,0.002
11.8,0.0
12.0,-0.002
12.2,-0.003
12.4,-0.003
12.6,-0.001
12.8,0.001
13.0,0.003
13.2,0.006
13.4,0.006
13.6,0.006
13.8,0.007
14.0,0.007
14.2,0.008
14.4,0.007
14.6,0.007
14.8,0.007
15.0,0.008
15.2,0.008
15.4,0.007
15.6,0.005
15.8,0.004
16.0,0.002
16.2,0.001
16.4,0.001
16.6,0.002
16.8,0.003
17.0,0.004
17.2,0.004
17.4,0.003
17.6,0.001
17.8,0.001
18.0,0.003
18.2,0.006
18.4,0.011
18.6,0.015
18.8,0.018
19.0,0.02
19.2,0.021
19.4,0.019
19.6,0.016
19.8,0.015
20.0,0.013
20.2,0.01
20.4,0.011
20.6,0.013
20.8,0.014
21.0,0.013
21.2,0.012
21.4,0.012
21.6,0.01
21.8,0.008
22.0,0.006
22.2,0.005
22.4,0.006
22.6,0.006
22.8,0.007
23.0,0.008
23.2,0.009
23.4,0.007
23.6,0.006
23.8,0.004
24.0,0.003
24.2,0.004
24.4,0.004
24.6,0.006
24.8,0.006
25.0,0.007
25.2,0.005
25.4,0.004
25.6,0.002
25.8,0.003
26.0,0.005
26.2,0.007
26.4,0.008
26.6,0.01
26.8,0.011
27.0,0.012
27.2,0.011
27.4,0.011
27.6,0.011
27.8,0.011
28.0,0.01
28.2,0.009
28.4,0.008
28.6,0.01
28.8,0.012
29.0,0.014
29.2,0.016
29.4,0.018
29.6,0.018
29.8,0.015
30.0,0.011
30.2,0.009
30.4,0.005
30.6,0.005
30.8,0.006
31.0,0.008
31.2,0.007
31.4,0.009
31.6,0.011
31.8,0.011
32.0,0.012
32.2,0.014
32.4,0.016
32.6,0.015
32.8,0.013
33.0,0.011
33.2,0.01
33.4,0.011
33.6,0.013
33.8,0.015
34.0,0.017
34.2,0.019
34.4,0.017
34.6,0.017
34.8,0.015
35.0,0.013
35.2,0.01
35.4,0.011
35.6,0.011
35.8,0.014
36.0,0.018
36.2,0.022
36.4,0.022
36.6,0.02
36.8,0.017
37.0,0.014
37.2,0.011
37.4,0.01
37.6,0.013
37.8,0.014
38.0,0.015
38.2,0.015
38.4,0.013
38.6,0.009
38.8,0.007
39.0,0.004
39.2,0.003
39.4,0.006
39.6,0.008
39.8,0.01
40.0,0.011
40.2,0.013
40.4,0.013
40.6,0.012
40.8,0.011
41.0,0.012
41.2,0.013
41.4,0.012
41.6,0.01
41.8,0.008
42.0,0.006
42.2,0.006
42.4,0.007
42.6,0.01
42.8,0.013
43.0,0.016
43.2,0.018
43.4,0.02
43.6,0.018
43.8,0.016
44.0,0.014
44.2,0.012
44.4,0.008
44.6,0.005
44.8,0.005
45.0,0.007
45.2,0.01
45.4,0.014
45.6,0.021
45.8,0.025
46.0,0.025
46.2,0.024
46.4,0.024
46.6,0.024
46.8,0.024
47.0,0.024
47.2,0.022
47.4,0.018
47.6,0.014
47.8,0.012
48.0,0.011
48.2,0.01
48.4,0.009
48.6,0.008
48.8,0.008
49.0,0.008
49.2,0.009
