,count_A,count_B,ratio_A,ratio_B,log2_fold
BBB,0,1,8.762322015310647e-15,8.447301517958319e-06,-29.844530166811857
BBC,20,14,0.00017524644031497526,0.00011826222114160153,0.5673958614159429
BBH,1,1,8.762322024072969e-06,8.447301517958319e-06,0.052822688617099677
BBS,5,4,4.381161008531556e-05,3.378920604649137e-05,0.3747507834323273
BBT,4,3,3.504928807000491e-05,2.534190453698035e-05,0.4678601877757189
BCB,24,10,0.00021029572837621784,8.447301510355747e-05,1.315857094366736
BCC,350,316,0.0030668127053674887,0.0026693472770139286,0.20025305227188198
BCD,7,13,6.133625411593685e-05,0.00010981491963209052,-0.8402621073712655
BCE,33,36,0.0002891566265140136,0.00030410285435084386,-0.07270819346311609
BCG,24,21,0.00021029572837621784,0.00017739333170817864,0.24546776655090796
BCH,66,51,0.000578313253019265,0.0004308123769935091,0.42479146599762874
BCS,90,113,0.0007886089813867206,0.0009545450705831922,-0.27550317746515046
BCT,100,128,0.000876232201539827,0.0010812545932258574,-0.3033211216050195
BEE,49,40,0.000429353778758984,0.0003378920603888879,0.3456044378383212
BGG,28,30,0.00024534501643746045,0.0002534190452937778,-0.046712984930379696
BHH,52,69,0.0004556407448049159,0.0005828638041647075,-0.35526205001314193
BII,0,1,8.762322015310647e-15,8.447301517958319e-06,-29.844530166811857
BSB,2,4,1.7524644039383615e-05,3.378920604649137e-05,-0.9471773110222267
BSC,53,47,0.00046440306682022655,0.00039702317095546505,0.22615429149918648
BSE,17,16,0.0001489594742690433,0.00013515682416062355,0.14028552986213508
BSG,2,2,1.7524644039383615e-05,1.6894603027469333e-05,0.052822688617099677
BSH,5,4,4.381161008531556e-05,3.378920604649137e-05,0.3747507834323273
BSS,75,67,0.0006571741511570609,0.0005659692011456854,0.21555218865291131
BST,13,6,0.00011391018620780072,5.06838090655134e-05,1.1682999059075632
BTB,2,0,1.7524644039383615e-05,8.447301509511016e-15,30.950175543324708
BTC,9,15,7.886089814655814e-05,0.00012670952265111254,-0.6841429054849866
BTE,7,3,6.133625411593685e-05,2.534190453698035e-05,1.2752151096787485
BTG,0,1,8.762322015310647e-15,8.447301517958319e-06,-29.844530166811857
BTH,4,2,3.504928807000491e-05,1.6894603027469333e-05,1.052822688256426
BTS,0,5,8.762322015310647e-15,4.223650755600238e-05,-32.16645826054506
BTT,145,155,0.001270536692228806,0.0013093317339826548,-0.0433926266415615
CBB,19,14,0.0001664841182996646,0.00011826222114160153,0.4933952799759626
