,count_A,count_B,ratio_A,ratio_B,log2_fold
BB,27,0,1.3132602318049722e-05,4.863926784282715e-16,34.652240356203166
BC,1430,227,0.0006955415301529146,0.00011041113800370402,2.6552509443694903
BD,11,1,5.350319463197379e-06,4.863926789146642e-07,3.459431617325756
BE,159,6,7.733643587058155e-05,2.9183560710560218e-06,4.727920454331823
BG,94,4,4.572091177274391e-05,1.9455707141994787e-06,4.554588851332311
BH,169,2,8.220036265486427e-05,9.727853573429356e-07,6.400879435569373
BI,1,0,4.863926789146642e-07,4.863926784282715e-16,29.897352855428956
BS,76,0,3.6965843561035026e-05,4.863926784282715e-16,36.14528036744883
BT,51,0,2.4806026600328236e-05,4.863926784282715e-16,35.569778195986046
CB,1355,224,0.0006590620792707942,0.0001089519599684192,2.596722214178254
CC,274495,450152,0.13351235826516886,0.21895063697984374,-0.7136323590915169
CD,21078,22913,0.010252184875911593,0.011144715440827471,-0.12042838073441123
CE,40771,45257,0.019830715892199542,0.022012673447628767,-0.15059761169414726
CG,6034,2579,0.0029348934216366766,0.0012544067176669985,1.2263029233571678
CH,40854,51935,0.01987108648450909,0.025260803754172764,-0.3462297873837057
CI,8,0,3.891141427912565e-06,4.863926784282715e-16,32.8973528541666
CS,26216,9038,0.012751270457676052,0.004396017027635204,1.5363721158716517
CT,34498,29567,0.016779574620418996,0.01438117232308919,0.2225248563758102
DB,19,1,9.241460890623552e-06,4.863926789146642e-07,4.247927512076822
DC,24468,27772,0.011901056055783434,0.013508097465310441,-0.18273489536288962
DD,357503,312815,0.17388684171614283,0.1521509257025402,0.1926456544391878
DE,797,353,0.00038765496470781875,0.00017169661548566622,1.1749115407170148
DG,180,63,8.755068211757526e-05,3.0642738741467496e-05,1.5145731728148732
DH,8087,5765,0.003933457590449918,0.0028040537911394716,0.48828400357799984
DI,3,1,1.4591780357712072e-06,4.863926789146642e-07,1.5849624997593594
DS,767,158,0.0003730631843549706,7.685004319215328e-05,2.2793020193185805
DT,1579,1165,0.0007680140392387271,0.0005666474703694226,0.4386812163182699
EB,29,0,1.4105387674906266e-05,4.863926784282715e-16,34.755333849163584
EC,43446,45785,0.021131816306995167,0.022269488781838896,-0.0756516659024637
ED,847,509,0.00041197459862923235,0.00024757387332047655,0.7346963132553724
EE,244346,242347,0.1188481054032349,0.11787580643905679,0.011851263956169604
EG,571,81,0.0002777302193830294,3.939780695317638e-05,2.8174969324629338
EH,1344,3015,0.0006537117598080833,0.0014664739254617249,-1.1656248640080917
ES,5606,1484,0.0027267173552693764,0.0007218067347880413,1.9174806524109758
ET,7271,6332,0.0035365611648524487,0.0030798384398083014,0.19949254000777855
GB,109,1,5.301680194916798e-05,4.863926789146642e-07,6.768184323347467
GC,3376,1996,0.0016420616823743309,0.0009708397861433163,0.7582031833696291
GD,176,36,8.560511140386217e-05,1.7510136423904163e-05,2.2895066171631075
GE,818,170,0.00039786921095481245,8.268675533329254e-05,2.2665660967973245
GG,15704,3215,0.007638310622038062,0.0015637524611473792,2.2882414352505047
GH,2577,819,0.001253433932310142,0.00039835560363324075,1.6537571802174094
GS,1007,124,0.0004897974271777558,6.0312692125592056e-05,3.0216516576097074
GT,3156,703,0.001535055293120111,0.0003419340529355612,2.166500610939328
HB,47,0,2.2860455886615152e-05,4.863926784282715e-16,35.451941705694594
HC,21919,37279,0.010661241118469769,0.018132232659128018,-0.7661811801543097
HD,10321,7417,0.005020058834058676,0.0036075744959029763,0.476675085892184
HE,825,4413,0.00040127395970381035,0.0021464508899044486,-2.4192937228413864
HG,1614,575,0.0007850377829837165,0.0002796757900967425,1.4890067174444275
HH,612925,619460,0.2981222324256488,0.30130080857917757,-0.01530057646296158
HI,1093,130,0.0005316271975225872,6.323104819616168e-05,3.0717098726336727
HS,2553,789,0.0012417605080278634,0.0003837638232803926,1.6940963323923968
HT,23124,13631,0.011247344295975837,0.006630018599656255,0.7624995721753287
IB,1,0,4.863926789146642e-07,4.863926784282715e-16,29.897352855428956
IC,134,8,6.517661890987477e-05,3.891141427912565e-06,4.066089190288202
ID,21,1,1.0214246247480093e-05,4.863926789146642e-07,4.392317421404765
IE,3,0,1.4591780357712072e-06,4.863926784282715e-16,31.482315355188316
IG,14,0,6.809497498482194e-06,4.863926784282715e-16,33.70470777614692
IH,774,107,0.0003764679331039685,5.204401659231144e-05,2.854722769731644
II,2723,221,0.0013244472633606697,0.00010749278193313439,3.6230787076463664
IS,65,9,3.161552409832404e-05,4.377534106340836e-06,2.852442811448038
IT,99,6,4.815287516488527e-05,2.9183560710560218e-06,4.044394119132577
SB,299,12,0.00014543141085053955,5.83671214162565e-06,4.6390391733615495
SC,33921,13996,0.016498926044965882,0.006807551927282574,1.2771641318667588
SD,551,86,0.000268002365814464,4.182977034531774e-05,2.6796437538549025
SE,7983,2022,0.0038828727518933777,0.0009834859957824514,1.9811480138398287
SG,609,29,0.00029621314116330373,1.4105387674906266e-05,4.392317422731382
SH,4240,1106,0.0020623049565363575,0.0005379503023421546,1.9387128792148904
SI,2,0,9.727853573429356e-07,4.863926784282715e-16,30.89735285470761
SS,18438,3474,0.008968108204860957,0.0016897281648603016,2.408012513603389
ST,5775,1106,0.0028089177179237545,0.0005379503023421546,2.384469560955021
TB,132,2,6.420383355301822e-05,9.727853573429356e-07,6.044394118648035
TC,43783,38403,0.021295730639625494,0.018678938029681395,0.18915179390819728
TD,1213,352,0.0005899943189339797,0.00017121022280723795,1.784932216480304
TE,7758,4987,0.003773434399247017,0.0024256402873222764,0.637512572866193
TG,2103,518,0.0010228838027351414,0.000251951407426331,2.021424847043127
TH,3471,1493,0.0016882689868250166,0.0007261842688938957,1.217137199693554
TI,4,0,1.9455707141994787e-06,4.863926784282715e-16,31.897352854346934
TS,17090,6755,0.008312450874339647,0.0032855825427834605,1.3391247223503258
TT,59212,30950,0.028800283275095297,0.01505385339735549,0.9359501749636263
