dataset	ESMC-600
SS3	"{""test_loss"": 0.731910228729248, ""test_f1"": 0.6902411935894291, ""test_acc"": 0.7422726863116158, ""test_prec"": 0.7297791396163673, ""test_rec"": 0.6779377726066178, ""test_mcc"": 0.6325201434550453}"
SS8	"{""test_loss"": 1.0947155952453613, ""test_f1"": 0.45520167949047313, ""test_acc"": 0.6400829052897179, ""test_prec"": 0.5638127423202408, ""test_rec"": 0.4299124954637617, ""test_mcc"": 0.5558319936790007}"
